0,1,2,3
,CalPERS 2023-2024 Annual Investment Report,,
,Derivatives,,
Security Name,Par Value,Book Value,Market Value
BCP77V2S2 TRS USD R V 12MFEDL,"62,697,600","62,697,600","62,697,600"
BCP77V2V5 TRS USD P E,"(1,100,000)","(43,868,000)","(43,747,000)"
BCP77V2V5 TRS USD R V 12MFEDL,"43,868,000","43,868,000","43,868,000"
BCP77V2W3 TRS USD P E,"(1,693,000)","(51,280,970)","(52,432,210)"
BCP77V2W3 TRS USD R V 12MFEDL,"51,280,970","51,280,970","51,280,970"
BCP77V310 TRS USD P E,"(118,000)","(98,088,680)","(106,834,840)"
BCP77V310 TRS USD R V 12MFEDL,"98,088,680","98,088,680","98,088,680"
BCP77V344 TRS USD P E,"(132,000)","(27,764,880)","(26,840,880)"
BCP77V344 TRS USD R V 12MFEDL,"27,764,880","27,764,880","27,764,880"
BCP781FL8 TRS USD P E,"(334,000)","(19,281,820)","(19,836,260)"
BCP781FL8 TRS USD R V 12MFEDL,"19,281,820","19,281,820","19,281,820"
BCP781FP9 TRS USD P E,"(220,000)","(43,887,800)","(42,763,600)"
BCP781FP9 TRS USD R V 12MFEDL,"43,887,800","43,887,800","43,887,800"
BCP781FS3 TRS USD P E,"(728,000)","(143,350,480)","(147,245,280)"
BCP781FS3 TRS USD R V 12MFEDL,"143,350,480","143,350,480","143,350,480"
BCP781FV6 TRS USD P E,"(33,000)","(25,173,390)","(24,967,800)"
BCP781FV6 TRS USD R V 12MFEDL,"25,173,390","25,173,390","25,173,390"
BCP781FY0 TRS USD P E,"(320,000)","(12,486,400)","(12,704,000)"
BCP781FY0 TRS USD R V 12MFEDL,"12,486,400","12,486,400","12,486,400"
BCP781G11 TRS USD P E,"(300,000)","(70,005,000)","(69,465,000)"
BCP781G11 TRS USD R V 12MFEDL,"70,005,000","70,005,000","70,005,000"
BCP781G45 TRS USD P E,"(1,500,000)","(291,720,000)","(315,930,000)"
BCP781G45 TRS USD R V 12MFEDL,"291,720,000","291,720,000","291,720,000"
BCP781G52 TRS USD P E,"(200,000)","(22,002,000)","(22,462,000)"
BCP781G52 TRS USD R V 12MFEDL,"22,002,000","22,002,000","22,002,000"
BCP781GA1 TRS USD P E,"(600,000)","(27,738,000)","(28,506,000)"
BCP781GA1 TRS USD R V 12MFEDL,"27,738,000","27,738,000","27,738,000"
BCP781GD5 TRS USD P E,"(135,000)","(18,206,100)","(18,480,150)"
BCP781GD5 TRS USD R V 12MFEDL,"18,206,100","18,206,100","18,206,100"
BCP781GG8 TRS USD P E,"(130,000)","(27,098,500)","(27,760,200)"
BCP781GG8 TRS USD R V 12MFEDL,"27,098,500","27,098,500","27,098,500"
BCP781GK9 TRS USD P E,"(600,000)","(78,042,000)","(78,918,000)"
BCP781GK9 TRS USD R V 12MFEDL,"78,042,000","78,042,000","78,042,000"
BCP781GN3 TRS USD P E,"(100,000)","(41,108,000)","(40,680,000)"
BCP781GN3 TRS USD R V 12MFEDL,"41,108,000","41,108,000","41,108,000"
BCP7899P9 TRS USD P E,"(298,000)","(50,969,920)","(49,149,140)"
BCP7899P9 TRS USD R V 12MFEDL,"50,969,920","50,969,920","50,969,920"
BCP7899S3 TRS USD P E,"(1,000,000)","(120,888,000)","(123,540,000)"
BCP7899S3 TRS USD R V 12MFEDL,"120,888,000","120,888,000","120,888,000"
BCP7899V6 TRS USD P E,"(737,000)","(152,278,940)","(146,795,660)"
BCP7899V6 TRS USD R V 12MFEDL,"152,278,940","152,278,940","152,278,940"
BCP78D5Z2 TRS USD P E,"(303,000)","(63,714,840)","(62,936,130)"
