0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
CENTURY COMMUNITIES,3.88,8/15/2029,"11,700,000","10,619,209"
CENTURY COMMUNITIES,6.75,6/1/2027,"9,575,000","9,582,966"
CF INDUSTRIES INC,5.15,3/15/2034,"2,000,000","1,927,331"
CGI INC,2.30,9/14/2031,"2,000,000","1,993,992"
CHAMPIONS FINANCING INC,8.75,2/15/2029,"9,750,000","9,893,148"
CHARLES SCHWAB CORP,1.00,8/24/2034,"20,000,000","20,466,145"
CHARLES SCHWAB CORP,1.00,5/19/2034,"58,500,000","58,557,622"
CHART INDUSTRIES INC,9.50,1/1/2031,"12,242,000","12,750,143"
CHART INDUSTRIES INC,7.50,1/1/2030,"39,641,000","40,271,457"
CHARTER COMM OPT LLC/CAP,5.50,4/1/2063,"5,000,000","4,180,884"
CHARTER COMM OPT LLC/CAP,6.83,10/23/2055,"2,841,000","2,759,544"
CHARTER COMM OPT LLC/CAP,4.80,3/1/2050,"8,200,000","7,803,004"
CHARTER COMM OPT LLC/CAP,5.75,4/1/2048,"15,172,000","17,356,406"
CHARTER COMM OPT LLC/CAP,6.48,10/23/2045,"112,030,000","116,502,473"
CHARTER COMM OPT LLC/CAP,3.50,3/1/2042,"10,600,000","7,418,494"
CHARTER COMM OPT LLC/CAP,3.50,6/1/2041,"27,000,000","26,553,682"
CHARTER COMM OPT LLC/CAP,5.38,4/1/2038,"10,153,000","12,174,327"
CHARTER COMM OPT LLC/CAP,6.38,10/23/2035,"103,302,000","115,386,620"
CHARTER COMM OPT LLC/CAP,4.40,4/1/2033,"20,000,000","17,877,228"
CHEMOURS CO,4.63,11/15/2029,"17,845,000","15,501,961"
CHEMOURS CO,5.75,11/15/2028,"26,005,000","24,247,390"
CHEMOURS CO,5.38,5/15/2027,"1,300,000","1,225,793"
CHENIERE ENERGY PARTNERS,3.25,1/31/2032,"9,000,000","7,532,513"
CHENIERE ENERGY PARTNERS,4.00,3/1/2031,"13,000,000","11,631,676"
CHESAPEAKE ENERGY CORP,6.75,4/15/2029,"56,812,000","56,775,914"
CHESAPEAKE ENERGY CORP,5.88,2/1/2029,"14,120,000","13,773,722"
CHESAPEAKE ENERGY CORP,5.50,2/1/2026,"18,070,000","17,916,441"
CHEVRON CORP,3.08,5/11/2050,"24,803,000","21,256,400"
CHEVRON CORP,2.98,5/11/2040,"2,000,000","2,103,579"
CHOBANI LLC/FINANCE CORP,7.63,7/1/2029,"5,450,000","5,481,806"
CHOICE HOTELS INTL INC,3.70,1/15/2031,"4,389,000","4,508,907"
CHORD ENERGY CORP,6.38,6/1/2026,"535,000","535,000"
CHROMALLOY CORPORATION,1.00,3/27/2031,"3,500,000","3,465,000"
CHS/COMMUNITY HEALTH SYS,10.88,1/15/2032,"49,160,000","50,431,683"
CHS/COMMUNITY HEALTH SYS,4.75,2/15/2031,"38,535,000","31,756,890"
CHS/COMMUNITY HEALTH SYS,5.25,5/15/2030,"70,141,000","59,680,501"
CHS/COMMUNITY HEALTH SYS,6.00,1/15/2029,"29,935,000","27,142,062"
CHS/COMMUNITY HEALTH SYS,8.00,12/15/2027,"8,145,000","8,069,845"
CHS/COMMUNITY HEALTH SYS,5.63,3/15/2027,"63,062,000","58,955,579"
CHUBB INA HOLDINGS LLC,2.85,12/15/2051,"800,000","573,543"
CHUBB INA HOLDINGS LLC,4.35,11/3/2045,"5,200,000","5,272,442"
CHURCH + DWIGHT CO INC,5.00,6/15/2052,"10,000,000","9,995,439"
CHURCHILL DOWNS INC,6.75,5/1/2031,"21,414,000","21,294,036"
CHURCHILL DOWNS INC,5.75,4/1/2030,"50,891,000","48,729,822"
CHURCHILL DOWNS INC,4.75,1/15/2028,"26,676,000","25,351,541"
CHURCHILL DOWNS INC,5.50,4/1/2027,"18,067,000","17,833,439"
CIGNA GROUP/THE,5.60,2/15/2054,"15,000,000","14,978,526"
CIGNA GROUP/THE,4.80,7/15/2046,"18,000,000","19,927,854"
CIGNA GROUP/THE,3.20,3/15/2040,"18,000,000","18,386,505"
CIGNA GROUP/THE,4.80,8/15/2038,"72,525,000","77,225,488"
CIGNA GROUP/THE,5.25,2/15/2034,"10,000,000","9,920,568"
CINEMARK USA INC,5.25,7/15/2028,"44,061,000","40,717,813"
CINEMARK USA INC,5.88,3/15/2026,"865,000","838,872"
