0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
SINGAPORE TELECOMMUNICATIONS,"234,200","404,530","475,226"
SINO BIOPHARMACEUTICAL,"352,000","136,474","120,378"
SINO LAND CO,"774,000","895,840","798,051"
SINOLINK SECURITIES CO LTD A,"6,300","8,036","6,546"
SINOMA INTERNATIONAL ENGIN A,"7,200","11,410","11,950"
SINOMA SCIENCE+TECHNOLOGY  A,"2,700","8,041","4,794"
SINOMINE RESOURCE GROUP CO A,"1,500","8,256","5,533"
SINOPAC FINANCIAL HOLDINGS,"368,000","200,144","288,125"
SINOPHARM GROUP CO H,"53,200","145,252","141,392"
SINOTRUK HONG KONG LTD,"24,000","44,636","62,402"
SITC INTERNATIONAL HOLDINGS,"35,000","77,535","95,038"
SK BIOPHARMACEUTICALS CO LTD,"1,161","70,940","65,367"
SK BIOSCIENCE CO LTD,"1,021","55,326","39,015"
SK HYNIX INC,"19,750","1,793,976","3,393,298"
SK IE TECHNOLOGY CO LTD,917,"58,926","29,379"
SK INC,"1,234","137,388","141,912"
SK INNOVATION CO LTD,"2,265","293,794","191,040"
SK SQUARE CO LTD,"3,441","113,661","249,982"
SK TELECOM,"1,684","67,141","63,005"
SKANDINAVISKA ENSKILDA BAN A,"45,476","542,650","672,036"
SKANSKA AB B SHS,"9,720","143,757","175,122"
SKC CO LTD,713,"49,139","87,331"
SKF AB B SHARES,"8,800","142,842","176,828"
SM INVESTMENTS CORP,"8,770","129,935","124,272"
SM PRIME HOLDINGS INC,"362,600","190,526","175,085"
SMC CORP,"1,600","792,995","759,319"
SMITH + NEPHEW PLC,"28,716","373,028","355,957"
SMITHS GROUP PLC,"12,818","265,028","276,265"
SMURFIT KAPPA GROUP PLC,"7,444","303,232","331,889"
SNAM SPA,"54,883","279,449","242,989"
SOC QUIMICA Y MINERA CHILE B,"5,302","326,353","213,597"
SOCIETE GENERALE SA,"20,385","556,523","478,900"
SODEXO SA,"2,512","196,529","226,148"
SOFINA,387,"86,862","88,428"
SOFTBANK CORP,"83,800","962,777","1,023,406"
SOFTBANK GROUP CORP,"29,100","1,288,295","1,879,579"
SOLAR INDUSTRIES INDIA LTD,996,"112,306","119,691"
SOMPO HOLDINGS INC,"24,900","362,107","531,714"
SONA BLW PRECISION FORGINGS,"14,461","96,485","111,162"
SONIC HEALTHCARE LTD,"12,517","256,917","219,854"
SONOVA HOLDING AG REG,"1,457","383,102","450,104"
SONY GROUP CORP,"34,900","2,967,354","2,959,319"
