0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
GEM SERVICES INC/TW,"169,000","375,066","350,070"
GEMDALE CORP A,"188,624","173,328","87,844"
GEMDALE PROPERTIES AND INVES,"8,950,000","1,136,917","282,010"
GEMTEK TECHNOLOGY CORP,"11,000","13,093","12,478"
GEMVAX + KAEL CO LTD,"64,528","1,187,658","488,302"
GENERAL INTERFACE SOLUTION,"418,000","1,299,059","876,164"
GENERALPLUS TECHNOLOGY INC,"157,000","307,254","309,243"
GENERTEC UNIVERSAL MEDICAL G,"2,442,000","1,559,594","1,329,323"
GENESIS ENERGY LTD,"959,117","1,625,385","1,279,919"
GENESIS MINERALS LTD,"1,803,848","2,013,786","2,114,249"
GENESYS LOGIC INC,"125,000","734,223","387,237"
GENIUS ELECTRONIC OPTICAL CO,"169,000","3,202,418","3,448,679"
GENMAB A/S,"110,099","26,097,170","27,611,132"
GENOMMA LAB INTERNACIONAL B,"1,092,200","1,060,555","1,027,969"
GENSCRIPT BIOTECH CORP,"1,304,000","2,922,913","1,389,618"
GENTERA SAB DE CV,"2,989,028","3,718,575","3,707,403"
GENTING BHD,"3,996,300","5,070,289","3,989,971"
GENTING MALAYSIA BHD,"23,533,500","15,056,827","12,720,865"
GENTING SINGAPORE LTD,"29,272,233","21,787,059","18,683,255"
GENUIT GROUP PLC,"454,193","2,480,231","2,477,641"
GENUS PLC,"111,732","2,752,273","2,330,475"
GEOVISION INC,"188,000","362,217","394,063"
GERDAU SA PREF,"2,515,120","8,435,003","8,322,903"
GEROVA FINANCIAL GROUP LTD,"43,540",0,4
GERRESHEIMER AG,"58,548","4,789,874","6,293,709"
GETAC HOLDINGS CORP,"1,218,000","3,309,023","4,280,073"
GETINGE AB B SHS,"364,538","8,945,642","6,197,733"
GETLINK SE,"643,398","9,394,251","10,656,733"
GF SECURITIES CO LTD A,"238,090","464,397","396,884"
GF SECURITIES CO LTD H,"2,064,800","2,551,531","1,711,118"
GFH FINANCIAL GROUP BSC,"5,743,849","1,641,131","1,657,702"
GFL ENVIRONMENTAL INC SUB VT,"300,400","9,065,727","11,696,824"
GFPT PUBLIC CO LTD NVDR,"386,400","134,168","134,775"
GHCL LTD,"112,714","859,658","761,687"
GHITHA HOLDING PJSC,"60,105","1,098,428","510,560"
GIANT MANUFACTURING,"489,009","3,377,649","3,195,746"
GIANT NETWORK GROUP CO LTD A,"115,100","176,130","148,825"
GIGABYTE TECHNOLOGY CO LTD,"735,000","6,568,518","6,921,520"
GIGADEVICE SEMICONDUCTO CL A,"28,795","386,518","377,137"
GILDAN ACTIVEWEAR INC,"325,400","8,250,166","12,339,685"
GINLONG TECHNOLOGIES CO LT A,"16,150","217,885","92,111"
GIVAUDAN REG,"38,640","108,137,146","183,180,948"
