0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
H.B. FULLER CO,4.25,10/15/2028,"3,969,000","3,970,482"
H+E EQUIPMENT SERVICES,3.88,12/15/2028,"56,816,000","51,494,016"
HACKENSACK MERIDIAN HLTH,2.68,9/1/2041,"11,438,000","11,453,829"
HALEON US CAPITAL LLC,4.00,3/24/2052,"8,700,000","7,551,947"
HALEON US CAPITAL LLC,3.63,3/24/2032,"17,000,000","16,013,352"
HALLIBURTON CO,5.00,11/15/2045,"4,200,000","3,833,083"
HALLIBURTON CO,4.85,11/15/2035,"27,984,000","28,012,681"
HANESBRANDS INC,9.00,2/15/2031,"23,232,000","23,498,744"
HANESBRANDS INC,4.88,5/15/2026,"25,658,000","24,914,678"
HARBOUR ENERGY PLC,5.50,10/15/2026,"800,000","800,000"
HARTFORD FINL SVCS GRP,3.60,8/19/2049,"27,173,000","26,188,567"
HARVEST MIDSTREAM I LP,7.50,5/15/2032,"8,045,000","8,079,090"
HARVEST MIDSTREAM I LP,7.50,9/1/2028,"20,560,000","20,587,787"
HASBRO INC,6.35,3/15/2040,"6,500,000","8,331,659"
HAWAIIAN BRAND INTELLECT,5.75,1/20/2026,"45,373,815","44,154,038"
HCA INC,6.00,4/1/2054,"75,000,000","73,632,290"
HCA INC,5.90,6/1/2053,"50,000,000","48,222,090"
HCA INC,4.63,3/15/2052,"22,000,000","17,694,280"
HCA INC,3.50,7/15/2051,"35,000,000","32,363,841"
HCA INC,5.50,6/15/2047,"27,525,000","29,950,878"
HCA INC,5.13,6/15/2039,"38,925,000","42,729,033"
HCA INC,2.38,7/15/2031,"4,500,000","4,480,699"
HCA INC,3.50,9/1/2030,"19,369,000","19,760,515"
HEALTH CARE SERVICE CORP,3.20,6/1/2050,"11,426,000","11,361,969"
HEALTHCARE RLTY HLDGS LP,2.00,3/15/2031,"19,548,000","19,426,693"
HEALTHCARE RLTY HLDGS LP,2.05,3/15/2031,"27,800,000","27,586,376"
HEALTHCARE RLTY HLDGS LP,2.40,3/15/2030,"10,000,000","9,992,793"
HEALTHEQUITY INC,4.50,10/1/2029,"35,479,000","32,970,541"
HEALTHPEAK OP LLC,5.25,12/15/2032,"22,000,000","21,951,162"
HELIOS SOFT/ION CORP SOL,8.75,5/1/2029,"27,539,000","27,693,939"
HERBALIFE/HLF FINANCING,7.88,9/1/2025,"2,200,000","2,149,165"
HERC HOLDINGS INC,6.63,6/15/2029,"22,282,000","22,333,928"
HERC HOLDINGS INC,5.50,7/15/2027,"44,942,000","43,854,414"
HERITAGE PETROL CO LTD,9.00,8/12/2029,"31,400,000","32,491,323"
HERTZ CORP/THE,5.00,12/1/2029,"25,378,000","21,164,044"
HERTZ CORP/THE,12.63,7/15/2029,"2,400,000","2,471,356"
HERTZ CORP/THE,4.63,12/1/2026,"16,093,000","14,670,809"
HESS CORP,5.80,4/1/2047,"4,329,000","4,539,746"
HESS CORP,5.60,2/15/2041,"15,500,000","16,482,430"
HESS CORP,6.00,1/15/2040,"8,437,000","10,180,493"
HESS CORP,7.13,3/15/2033,"3,000,000","3,251,420"
HESS CORP,7.30,8/15/2031,"9,100,000","11,208,137"
HESS MIDSTREAM OPERATION,5.50,10/15/2030,"1,150,000","1,150,809"
HESS MIDSTREAM OPERATION,4.25,2/15/2030,"18,090,000","16,562,109"
HESS MIDSTREAM OPERATION,6.50,6/1/2029,"7,200,000","7,230,783"
HESS MIDSTREAM OPERATION,5.13,6/15/2028,"13,130,000","12,660,044"
HESS MIDSTREAM OPERATION,5.63,2/15/2026,"20,460,000","20,444,091"
HIGHWOODS REALTY LP,7.65,2/1/2034,"7,680,000","8,186,651"
HIGHWOODS REALTY LP,2.60,2/1/2031,"17,200,000","17,141,496"
HIGHWOODS REALTY LP,3.05,2/15/2030,"5,800,000","5,719,355"
HILCORP ENERGY I/HILCORP,6.88,5/15/2034,"4,700,000","4,647,971"
HILCORP ENERGY I/HILCORP,8.38,11/1/2033,"15,380,000","15,558,879"
HILCORP ENERGY I/HILCORP,6.25,4/15/2032,"11,689,000","10,827,596"
