0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
KKR + CO INC,"1,188,055","50,202,429","125,031,045"
KLA CORP,"550,806","270,471,111","454,145,105"
KNIFE RIVER CORP,"96,278","4,153,644","6,752,939"
KNIGHT SWIFT TRANSPORTATION,"854,062","38,892,769","42,634,775"
KOHLS CORP,"199,519","7,406,664","4,586,949"
KRAFT HEINZ CO/THE,"4,330,545","157,656,179","139,530,160"
KROGER CO,"3,193,583","98,840,398","159,455,599"
KYNDRYL HOLDINGS INC,"383,652","7,710,891","10,093,889"
L3HARRIS TECHNOLOGIES INC,"811,375","141,353,812","182,218,598"
LABCORP HOLDINGS INC,"371,285","64,189,349","75,560,210"
LAM RESEARCH CORP,"266,555","90,520,812","283,841,101"
LAMB WESTON HOLDINGS INC,"527,842","43,723,418","44,380,955"
LANCASTER COLONY CORP,"102,847","15,842,612","19,434,999"
LANDSTAR SYSTEM INC,"70,512","7,859,128","13,008,059"
LANTHEUS HOLDINGS INC,"118,767","8,930,691","9,535,805"
LAS VEGAS SANDS CORP,"637,739","28,940,094","28,219,958"
LATTICE SEMICONDUCTOR CORP,"255,942","8,288,917","14,842,096"
LAZARD INC,"193,122","7,070,397","7,373,423"
LAZARE KAPLAN INTERNATIONAL,"45,000",0,0
LCI INDUSTRIES,"53,281","4,772,485","5,508,191"
LEAR CORP,"119,704","13,121,808","13,671,418"
LEGGETT + PLATT INC,"242,999","7,811,794","2,784,769"
LEIDOS HOLDINGS INC,"669,931","55,868,378","97,729,534"
LENNAR CORP A,"791,177","69,796,096","118,573,711"
LENNOX INTERNATIONAL INC,"83,441","17,827,749","44,639,276"
LIBERTY MEDIA CORP LIB NEW C,"267,054","11,526,335","19,185,192"
LIBERTY MEDIA CORP LIBER NEW,"272,031","6,772,790","6,028,246"
LIFE360 INC CDI,"314,974","2,350,420","3,443,535"
LIGHT + WONDER INC,"159,821","11,614,393","16,762,036"
LINCOLN ELECTRIC HOLDINGS,"105,720","9,922,875","19,943,024"
LINCOLN NATIONAL CORP,"283,591","10,359,609","8,819,721"
LINDE PLC,"855,149","188,266,171","375,247,939"
LITHIA MOTORS INC,"42,130","7,325,112","10,635,725"
LITTELFUSE INC,"51,625","7,633,011","13,194,837"
LIVE NATION ENTERTAINMENT IN,"327,849","22,697,257","30,732,581"
LKQ CORP,"486,427","17,507,102","20,230,591"
LOCKHEED MARTIN CORP,"839,445","268,513,210","392,104,760"
LOEWS CORP,"912,375","60,543,731","68,190,908"
LOUISIANA PACIFIC CORP,"117,069","4,256,705","9,638,337"
LOWE S COS INC,"1,812,077","281,103,967","399,490,566"
LPL FINANCIAL HOLDINGS INC,"147,743","17,841,242","41,264,652"
LUCID GROUP INC,"1,317,396","20,634,576","3,438,426"
