0,1,2
Security Name,Book Value,Market Value
"Phoenix Bear Partners, L.P.","962,273,841","1,039,525,185"
"Pioneer Pier Investments, L.P.","3,289,037","3,289,037"
"Project Metal Co-Invest Fund, L.P.","194,126,099","109,727,448"
"Project Quail Opportunities, L.P.","371,994,399","425,588,376"
"Project Stream Co-Invest Fund, L.P.","167,498,438","126,646,742"
"Proofpoint Co-Invest Fund, L.P.","75,047,802","107,933,374"
"Prysm Capital Fund I, L.P.","101,529,237","79,818,733"
PSG Encore L.P.,"51,177,147","49,620,952"
PSG Europe II L.P.,"16,819,256","18,256,636"
PSG V L.P.,"75,381,232","83,895,241"
"Q-Street Capital, L.P.","309,937,654","352,027,188"
"RC CC Fund, L.P.","541,639,800","541,639,800"
"RealPage Parent, L.P.","50,000,000","50,000,000"
"Red Admiral Fund, L.P.","262,332,637","317,510,110"
"Redwood Lane Capital, L.P.","375,244,107","557,986,861"
Redwood Opportunities SCSp,"520,795,011","649,201,188"
"Riverstone Global Energy and Power Fund V, L.P.","273,443,385","31,486,472"
"Riverstone Global Energy and Power Fund VI, L.P.","381,202,683","232,723,857"
"RSK Aggregator, L.P.","40,115,207","44,302,232"
Rubicon Partners SCSp,"178,927,431","191,766,099"
"Sacramento Private Equity Partners, L.P.","742,857","62,259,255"
SAIF Partners III L.P.,"100,036","46,580,686"
SAIF Partners IV L.P.,"44,238,903","94,152,022"
"Samson Brunello 1, L.P.","38,021,176","84,659,585"
"Samson Hockey 1, L.P.","38,519,319","69,583,301"
"Samson Hockey Partners 1, L.P.","86,011,708","155,920,046"
"Samson Partners, L.P.","158,973,977","229,804,197"
"Samson Shield 1, L.P.","170,705,376","206,181,538"
"Set Builders II, L.P.","10,921,986","10,921,986"
"Sierra Partners, L.P.","54,323,969","70,369,096"
"SignalFire Sage Fund, L.P.","27,565,365","28,582,223"
"Silver Lake Partners III, L.P.","86,749,840","25,094,831"
"Silver Lake Partners IV, L.P.","216,947,306","480,739,072"
"Silver Lake Partners V, L.P.","300,119,397","416,141,234"
"Silver Lake Partners VI, L.P.","735,833,649","901,332,938"
"Silver Lake Partners VII, L.P.","75,316,875","82,253,860"
"Silver Lake Strategic Investors VI, L.P.","752,095,289","952,426,398"
"Silver Lake Technology Investors IV, L.P.","47,356,431","138,729,148"
"Silver Lake Technology Investors V, L.P.","68,521,877","111,555,878"
"Siris Partners IV, L.P.","101,917,590","131,364,741"
"SL SPV-1, L.P.","83,704,893","89,318,059"
"SL SPV-2, L.P.","32,908,312","72,613,835"
