0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
FAR EAST HORIZON LTD,"52,000","35,752","33,835"
FAR EASTERN NEW CENTURY CORP,"101,000","91,340","109,744"
FAR EASTONE TELECOMM CO LTD,"58,000","128,905","150,357"
FAST RETAILING CO LTD,"4,900","1,143,928","1,235,509"
FASTIGHETS AB BALDER B SHRS,"132,166","626,422","906,300"
FASTPARTNER AB A,"9,211","63,102","61,319"
FENG TAY ENTERPRISE CO LTD,"21,000","116,605","100,334"
FERGUSON PLC,"2,192","347,234","424,481"
FERRARI NV,"3,537","1,096,264","1,443,151"
FERROVIAL SE,"14,101","436,855","547,988"
FINECOBANK SPA,"16,050","221,147","239,446"
FIRST ABU DHABI BANK PJSC,"158,805","572,771","538,718"
FIRST CAPITAL SECURITIES C A,"9,500","7,762","6,655"
FIRST FINANCIAL HOLDING CO,"407,000","340,909","352,533"
FIRST QUANTUM MINERALS LTD,"20,401","443,722","267,918"
FIRSTRAND LTD,"178,410","673,092","751,354"
FIRSTSERVICE CORP,"1,025","153,924","155,958"
FISHER + PAYKEL HEALTHCARE C,"17,758","241,995","325,491"
FLAT GLASS GROUP CO LTD A,"5,800","24,908","16,044"
FLAT GLASS GROUP CO LTD H,"13,000","31,939","19,149"
FLUTTER ENTERTAINMENT PLC DI,"4,944","876,518","904,020"
FOCUS MEDIA INFORMATION TE A,"23,700","24,748","19,766"
FOMENTO ECONOMICO MEXICA UBD,"70,617","775,553","760,140"
FORD OTOMOTIV SANAYI AS,"2,458","81,927","84,274"
FORMOSA CHEMICALS + FIBRE,"127,000","254,467","197,303"
FORMOSA PETROCHEMICAL CORP,"44,000","111,445","87,887"
FORMOSA PLASTICS CORP,"132,000","339,402","233,960"
FORTESCUE LTD,"48,126","644,328","688,138"
FORTIS INC,"15,251","594,130","592,608"
FORTUM OYJ,"14,657","193,958","214,423"
FORTUNE ELECTRIC CO LTD,"4,000","88,191","116,517"
FOSHAN HAITIAN FLAVOURING  A,"9,800","53,634","46,491"
FOSUN INTERNATIONAL LTD,"75,000","46,783","40,346"
FOUNDER SECURITIES CO LTD A,"12,500","12,180","13,298"
FOXCONN INDUSTRIAL INTERNE A,"25,700","65,743","96,914"
FRANCO NEVADA CORP,"5,487","755,873","650,412"
FRESENIUS MEDICAL CARE AG,"5,658","252,227","216,847"
FRESENIUS SE + CO KGAA,"12,595","383,744","376,344"
FUBON FINANCIAL HOLDING CO,"285,000","553,831","696,654"
FUJI ELECTRIC CO LTD,"3,500","170,224","199,130"
FUJIFILM HOLDINGS CORP,"32,500","647,801","760,071"
FUJITSU LIMITED,"49,100","624,119","768,275"
