0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
NBCUNIVERSAL MEDIA LLC,4.45,1/15/2043,"15,819,000","15,682,545"
NCL CORPORATION LTD,7.75,2/15/2029,"14,939,000","14,912,610"
NCL CORPORATION LTD,8.13,1/15/2029,"9,225,000","9,422,758"
NCL CORPORATION LTD,8.38,2/1/2028,"12,400,000","12,814,060"
NCL CORPORATION LTD,5.88,2/15/2027,"32,732,000","32,048,510"
NCL CORPORATION LTD,5.88,3/15/2026,"29,355,000","28,538,261"
NCL CORPORATION LTD,3.63,12/15/2024,"8,773,000","8,661,802"
NCL FINANCE LTD,6.13,3/15/2028,"12,325,000","11,410,521"
NCR ATLEOS LLC,9.50,4/1/2029,"72,413,000","72,663,712"
NCR ATLEOS LLC,1.00,3/27/2029,"1,489,500","1,499,740"
NCR VOYIX CORP,5.13,4/15/2029,"69,816,000","64,615,058"
NCR VOYIX CORP,5.00,10/1/2028,"34,166,000","31,922,811"
NECESS RETAIL/AFIN OP LP,4.50,9/30/2028,"5,100,000","4,464,145"
NEPTUNE BIDCO US INC,9.29,4/15/2029,"100,219,000","94,225,444"
NESCO HOLDINGS II INC,5.50,4/15/2029,"23,295,000","21,769,039"
NESTLE CAPITAL CORP,5.10,3/12/2054,"10,000,000","9,968,324"
NESTLE CAPITAL CORP,4.88,3/12/2034,"45,000,000","44,943,918"
NESTLE HOLDINGS INC,4.70,1/15/2053,"6,000,000","5,966,836"
NEVADA POWER CO,6.00,3/15/2054,"7,000,000","6,988,616"
NEVADA POWER CO,5.90,5/1/2053,"5,000,000","4,972,709"
NEVADA POWER CO,6.75,7/1/2037,"26,314,000","29,188,487"
NEW ENTERPRISE STONE + L,5.25,7/15/2028,"12,350,000","11,714,540"
NEW FORTRESS ENERGY INC,8.75,3/15/2029,"14,025,000","13,740,270"
NEW FORTRESS ENERGY INC,6.50,9/30/2026,"33,406,000","31,631,638"
NEW FORTRESS ENERGY INC,6.75,9/15/2025,"17,384,000","16,947,502"
NEW YORK LIFE INSURANCE,6.75,11/15/2039,"31,900,000","35,769,984"
NEWELL BRANDS INC,7.00,4/1/2046,"17,200,000","13,553,794"
NEWELL BRANDS INC,6.88,4/1/2036,"1,840,000","1,609,485"
NEWELL BRANDS INC,6.63,9/15/2029,"18,353,000","17,879,883"
NEWELL BRANDS INC,6.38,9/15/2027,"16,058,000","15,687,420"
NEWELL BRANDS INC,5.70,4/1/2026,"60,980,000","58,985,830"
NEWELL BRANDS INC,4.88,6/1/2025,"9,255,000","9,089,431"
NEWFOLD DIGITAL HLDGS GR,11.75,10/15/2028,"18,800,000","18,998,343"
NEWMONT / NEWCREST FIN,5.35,3/15/2034,"54,000,000","54,015,639"
NEWMONT CORP,4.88,3/15/2042,"4,000,000","3,769,117"
NEWMONT CORP,6.25,10/1/2039,"4,500,000","4,795,020"
NEWMONT CORP,2.60,7/15/2032,"14,500,000","14,203,490"
NEXSTAR MEDIA INC,4.75,11/1/2028,"32,233,000","29,174,540"
NEXSTAR MEDIA INC,5.63,7/15/2027,"68,802,000","66,006,649"
NEXTERA ENERGY CAPITAL,5.00,7/15/2032,"32,000,000","32,098,237"
NEXTERA ENERGY OPERATING,7.25,1/15/2029,"35,398,000","35,824,457"
NEXTERA ENERGY OPERATING,4.50,9/15/2027,"34,138,000","32,419,688"
NEXTERA ENERGY OPERATING,3.88,10/15/2026,"18,651,000","17,867,950"
NEXTERA ENERGY OPERATING,4.25,9/15/2024,"48,000","47,953"
NEXTERA ENERGY OPERATING,4.25,7/15/2024,"7,977,000","7,978,122"
NGL ENRGY OP/FIN CORP,8.38,2/15/2032,"20,485,000","20,690,122"
NGL ENRGY OP/FIN CORP,8.13,2/15/2029,"36,362,000","36,572,444"
NIKE INC,3.38,3/27/2050,"5,000,000","4,085,552"
NIKE INC,3.25,3/27/2040,"22,130,000","21,394,414"
NISOURCE INC,4.38,5/15/2047,"34,048,000","35,282,057"
NISOURCE INC,5.65,2/1/2045,"20,100,000","20,256,595"
NISOURCE INC,4.80,2/15/2044,"1,000,000","929,354"
NISOURCE INC,5.35,4/1/2034,"25,000,000","24,908,933"
