0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
ADVANCED INFO SERVICE FOR RG,"1,586,600","9,789,429","9,036,022"
ADVANCED INFO SERVICE NVDR,"3,330,111","20,195,921","18,965,684"
ADVANCED MICRO FABRICATION A,"24,900","474,169","481,776"
ADVANCED NANO PRODUCTS CO LT,"13,480","1,323,117","1,150,674"
ADVANCED PETROCHEMICALS CO,"142,577","1,649,946","1,465,066"
ADVANCED WIRELESS SEMICONDUC,"207,378","624,701","891,735"
ADVANCETEK ENTERPRISE CO LTD,"173,000","281,409","330,626"
ADVANTECH CO LTD,"2,301,095","17,531,360","26,244,321"
ADVANTEST CORP,"997,100","10,393,304","39,825,868"
ADVTECH LTD,"22,002","32,573","34,099"
ADYEN NV,"65,011","79,827,422","77,563,028"
AECC AERO ENGINE CONTROL A,"70,000","209,973","192,430"
AECC AVIATION POWER CO A,"106,262","578,154","531,978"
AECI LTD,"285,353","1,620,418","1,688,487"
AEGIS LOGISTICS LTD,"202,732","930,726","2,122,155"
AEGON LTD,"3,512,908","22,303,816","21,716,393"
AEM HOLDINGS LTD,"437,290","1,131,507","580,798"
AENA SME SA,"122,803","19,684,070","24,743,800"
AEON CO (M) BHD,"250,700","74,778","73,868"
AEON CO LTD,"1,854,290","32,808,356","39,642,567"
AEON CREDIT SERVICE M BHD,"320,400","488,694","507,342"
AEON DELIGHT CO LTD,"30,000","747,133","743,190"
AEON FINANCIAL SERVICE CO LT,"185,700","2,331,059","1,522,687"
AEON HOKKAIDO CORP,"84,600","774,340","477,539"
AEON MALL CO LTD,"169,800","2,385,739","2,000,846"
AEON THANA SINSAP THA FOREIG,"134,500","731,961","465,468"
AEON THANA SINSAP THAI NVDR,"4,400","15,566","15,231"
AERCAP HOLDINGS NV,"3,951,670","259,560,791","368,295,684"
AEROFLOT PJSC,"2,004,340",0,0
AES BRASIL ENERGIA SA,"415,533","836,351","852,105"
AFFLE INDIA PRIVATE LTD,"83,192","1,198,996","1,340,581"
AFRICAN RAINBOW MINERALS LTD,"154,773","1,800,805","1,924,077"
AFRIMAT LTD,"4,233","16,674","16,410"
AFRY AB,"181,294","3,030,452","3,252,625"
AGC INC,"799,971","29,468,700","25,889,898"
AGEAS,"288,303","19,329,532","13,187,783"
AGILE GROUP HOLDINGS LTD,"3,324,000","417,269","217,153"
AGL ENERGY LTD,"1,007,705","10,214,787","7,288,550"
AGNICO EAGLE MINES LTD,"840,694","43,719,598","54,975,373"
AGRICULTURAL BANK OF CHINA A,"269,851,979","129,470,129","161,153,103"
AGRICULTURAL BANK OF CHINA H,"154,107,599","58,849,456","65,927,118"
AGRITRADE RES,"5,555,000",0,1
