0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
KYUSHU FINANCIAL GROUP INC,"721,400","3,596,337","4,229,923"
KYUSHU RAILWAY COMPANY,"616,300","14,450,287","13,352,017"
L OCCITANE INTERNATIONAL SA,"916,250","2,909,059","3,896,444"
L OREAL,"424,926","127,923,426","186,749,320"
L+F CO LTD,"31,275","4,957,183","3,074,124"
L+K ENGINEERING CO LTD,"340,000","2,264,885","2,520,537"
L+T FINANCE LTD,"1,429,898","2,226,037","3,107,016"
L+T TECHNOLOGY SERVICES LTD,"47,024","2,722,485","2,768,356"
LA COMER SAB DE CV,"761,037","1,182,060","1,484,173"
LA FRANCAISE DES JEUX SAEM,"176,451","6,254,485","6,014,036"
LABORATORIOS FARMACEUTICOS R,"41,333","3,202,489","3,878,382"
LAGENDA PROPERTIES BHD,"355,200","109,087","91,106"
LAGERCRANTZ GROUP AB B SHS,"324,854","3,542,112","5,282,231"
LAKSHMI MACHINE WORKS LTD,"8,626","1,131,109","1,760,895"
LANCASHIRE HOLDINGS LTD,"436,823","3,707,573","3,390,464"
LAND + HOUSES PUB   NVDR,"1,870,800","345,697","300,809"
LAND + HOUSES PUB CO FOR REG,"13,156,300","3,536,945","2,115,190"
LANDIS   GYR GROUP AG,"38,971","3,002,744","3,148,575"
LANXESS AG,"145,403","4,146,785","3,581,118"
LAO FENG XIANG CO LTD B,"664,834","2,490,212","2,441,935"
LAOBAIXING PHARMACY CHAIN A,"26,273","93,483","66,072"
LARGAN PRECISION CO LTD,"492,882","38,076,040","41,704,640"
LARSEN + TOUBRO GDR REG S,"141,906","5,823,995","6,045,196"
LARSEN + TOUBRO LTD,"1,958,931","65,275,091","83,359,841"
LASERTEC CORP,"406,600","80,396,123","91,223,562"
LAURUS LABS LTD,"575,256","4,349,505","2,928,804"
LB GROUP CO LTD A,"119,162","334,590","303,095"
LBS BINA GROUP BHD,"1,741,200","257,017","265,748"
LEALEA ENTERPRISE,"379,000","112,203","113,555"
LEE + MAN PAPER MANUFACTURIN,"3,418,000","1,133,856","1,011,294"
LEEJAM SPORTS CO JSC,"75,392","4,372,511","4,553,744"
LEENO INDUSTRIAL INC,"15,717","1,416,284","2,683,267"
LEG IMMOBILIEN SE,"121,689","12,010,287","9,945,854"
LEGAL + GENERAL GROUP PLC,"10,048,416","28,525,453","28,834,827"
LEGEND HOLDINGS CORP H,"1,093,560","1,510,793","823,597"
LEGRAND SA,"468,585","35,043,231","46,528,750"
LELON ELECTRONICS CORP,"131,000","306,042","349,290"
LEMON TREE HOTELS LTD,"947,849","1,163,223","1,638,679"
LENDLEASE GROUP,"1,122,850","8,830,802","4,056,939"
LENOVO GROUP LTD,"15,334,000","14,508,305","21,644,141"
LENS TECHNOLOGY CO LTD A,"228,073","441,081","570,127"
LEONARDO SPA,"871,350","13,355,635","20,246,694"
