0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
BAE SYSTEMS PLC,"15,517,437","155,977,323","258,925,703"
BAHVEST RESOURCES BHD,"2,186,100","259,199","268,773"
BAIC MOTOR CORP LTD H,"5,151,233","2,197,197","1,319,577"
BAIDU INC CLASS A,"4,035,862","63,274,140","44,068,114"
BAIRONG INC,"1,005,000","1,298,495","1,145,645"
BAJAJ AUTO LTD,"114,528","7,133,907","13,050,124"
BAJAJ ELECTRICALS LTD,"62,970","993,119","797,931"
BAJAJ FINANCE LTD,"850,188","62,283,942","72,547,507"
BAJAJ FINSERV LTD,"437,146","6,085,567","8,325,998"
BAJAJ HOLDINGS AND INVESTMEN,"44,448","2,819,235","4,550,359"
BAKKAFROST P/F,"89,325","4,265,395","4,547,031"
BALAJI AMINES LTD,"22,488","1,152,140","617,456"
BALFOUR BEATTY PLC,"1,017,061","4,227,235","4,695,719"
BALKRISHNA INDUSTRIES LTD,"119,102","2,970,370","4,611,981"
BALOISE HOLDING AG   REG,"80,347","11,737,409","14,145,266"
BALRAMPUR CHINI MILLS LTD,"180,304","862,171","929,175"
BANCA GENERALI SPA,"124,927","3,769,845","5,015,647"
BANCA MEDIOLANUM SPA,"875,716","7,270,761","9,676,550"
BANCA MONTE DEI PASCHI SIENA,"1,673,259","7,975,613","7,863,695"
BANCA POPOLARE DI SONDRIO,"925,401","5,030,982","6,625,239"
BANCO ABC BRASIL SA,"45,100","200,728","179,768"
BANCO BILBAO VIZCAYA ARGENTA,"14,790,918","122,939,851","148,252,112"
BANCO BILBAO VIZCAYA SP ADR,"37,562","186,315","376,747"
BANCO BPM SPA,"4,043,798","16,848,583","26,064,690"
BANCO BRADESCO ADR,"1,167,526","3,424,171","2,615,258"
BANCO BRADESCO S.A.,"5,343,606","17,280,647","10,765,473"
BANCO BRADESCO SA PREF,"10,447,456","37,404,612","23,286,645"
BANCO BTG PACTUAL SA UNIT,"2,366,223","12,006,655","13,168,019"
BANCO DE SABADELL SA,"10,290,482","13,702,118","19,859,797"
BANCO DEL BAJIO SA,"1,346,800","3,651,043","4,088,559"
BANCO DO BRASIL S.A.,"11,976,900","53,455,534","57,594,001"
BANCO ESTADO RIO GRAN PREF B,"323,000","732,798","660,020"
BANCO PAN SA,"520,700","799,974","758,421"
BANCO SANTANDER  BRASIL UNIT,"303,739","1,628,945","1,501,755"
BANCO SANTANDER SA,"35,451,041","183,485,391","164,535,390"
BANCO SANTANDER SA SPON ADR,"79,341","209,634","367,349"
BANDAI NAMCO HOLDINGS INC,"2,639,137","39,996,617","51,516,164"
BANDHAN BANK LTD,"1,054,956","4,199,275","2,578,107"
BANGCHAK CORP PCL FOREIGN,"1,571,900","1,542,555","1,606,274"
BANGCHAK CORP PCL NVDR,"447,900","490,637","457,777"
BANGKOK AIRWAYS PCL NVDR,"157,100","72,844","89,900"
BANGKOK BANK PCL FOREIGN REG,"5,188,520","23,561,580","18,450,899"
