0,1,2,3,4,5,6,7,8,9
,"Impact after Two Full Years of the Current Strategy: As of December 31, 2024",,,,,,,•,"Driven by the 2023 and 2024 vintages,"
,,,,,,,,,CalPERS outperformed the SSPEI in the 1- and
,,,,,,,,,3-year periods as of 12/31/24
20.0%,,,,,,,,,
,,,,,,,,•,1- and 3-year performance drivers:
15.0%,,12.7%,,12.4%,13.0%,13.0%,,,
,,,,,,,12.2%,,
,11.1%,,11.0%,,,,,,
,,,,,,,,,"•
Maintaining consistent commitments"
10.0%,,,,,,,7.1%,,
,,,,,,,,,
,,,,,,6.6%,,,"•
Reducing traditional PE’s deployment lag"
,,,,,,3.1%,,,
5.0%,,,,,,,,,"•
Diversifying away from Large Buyout"
,,,,,,,,,"•
Improving manager selection"
0.0%,,,,,,,,,
,Since Inception,,,10-Year,5-Year,3-Year,1-Year,,"•
Achieving co-invest goal"
