0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
AL RAJHI BANK,"9,247,359","118,375,291","200,890,222"
AL RAJHI CO FOR CO OPERATIVE,"98,883","3,497,080","4,949,949"
AL YAH SATELLITE COMMUNICATI,"1,431,096","1,024,491","775,381"
AL YAMAMAH STEEL INDUSTRIES,"35,784","387,386","342,426"
ALABDULLATIF INDUSTRIAL INV,"12,519","61,832","57,796"
ALAMOS GOLD INC CLASS A,"1,061,839","14,195,353","16,652,969"
ALCHIP TECHNOLOGIES LTD,"116,000","9,617,113","8,778,300"
ALCON INC,"1,554,349","96,193,871","138,760,157"
ALCOR MICRO CORP,"10,000","47,513","48,703"
ALDAR PROPERTIES PJSC,"19,361,656","25,391,174","32,998,630"
ALDREES PETROLEUM AND TRANSP,"78,131","2,607,280","2,544,943"
ALEMBIC PHARMACEUTICALS LTD,"69,931","635,340","735,152"
ALFA LAVAL AB,"528,408","13,917,745","23,156,782"
ALFA S.A.B. A,"6,122,192","4,474,366","3,579,150"
ALFEN N.V.,"36,440","2,448,435","674,083"
ALFRESA HOLDINGS CORP,"949,194","13,141,935","12,999,343"
ALGONQUIN POWER + UTILITIES,"1,152,271","11,847,367","6,770,395"
ALI CORP,"136,000","92,528","93,276"
ALIBABA GROUP HOLDING LTD,"28,871,544","455,142,034","260,709,376"
ALIBABA GROUP HOLDING SP ADR,"32,691","2,747,659","2,353,752"
ALIBABA HEALTH INFORMATION T,"8,320,000","7,797,101","3,335,553"
ALIBABA PICTURES GROUP LTD,"26,070,000","3,629,114","1,385,820"
ALIMENTATION COUCHE TARD INC,"1,342,970","44,439,405","75,346,249"
ALINMA BANK,"6,068,386","30,294,976","50,305,684"
ALJAZIRA TAKAFUL TA AWUNI CO,"48,913","256,627","237,029"
ALK ABELLO A/S,"237,736","2,997,985","5,230,876"
ALKEM LABORATORIES LTD,"123,655","6,477,004","7,401,683"
ALKERMES PLC,"323,548","8,516,113","7,797,521"
ALKYL AMINES CHEMICALS LTD,"19,636","870,051","503,174"
ALLEGION PLC,"156,296","12,956,878","18,466,374"
ALLEIMA AB,"369,856","2,004,030","2,402,797"
ALLFUNDS GROUP PLC,"546,323","4,324,185","3,068,136"
ALLIANCE BANK MALAYSIA BHD,"1,733,700","1,345,417","1,392,833"
ALLIANZ MALAYSIA BHD,"1,900","8,406","8,981"
ALLIANZ SAUDI FRANSI COOPERA,"43,728","251,121","212,835"
ALLIANZ SE REG,"880,326","194,592,387","244,836,194"
ALLIED SUPREME CORP,"77,000","939,848","1,008,739"
ALLOS SA,"1,781,506","8,243,858","6,773,929"
ALLREAL HOLDING AG REG,"26,167","4,264,935","4,478,626"
ALLTOP TECHNOLOGY CO LTD,"51,000","353,631","389,871"
ALMARAI CO,"765,711","11,537,232","11,572,613"
ALMIRALL SA,"172,231","2,597,383","1,735,133"
