0,1,2,3,4
Rate,Maturity Date,Par Value,Book Value,Market Value
2.50,10/1/2050,"25,337,703","21,000,868","20,931,855"
3.00,7/1/2050,"17,726,215","15,523,686","15,264,191"
2.50,10/1/2040,"15,021,179","13,338,101","13,026,253"
4.00,5/1/2045,"5,827","6,238","5,449"
3.50,10/1/2045,"33,442,397","35,788,910","30,354,136"
4.00,10/1/2045,"185,064","199,108","172,989"
4.50,4/1/2047,"5,783,468","6,277,571","5,572,312"
3.50,12/1/2047,"226,537","220,729","204,232"
4.50,7/1/2048,"89,424,410","92,316,959","86,118,827"
4.50,11/1/2048,"38,628,590","41,614,219","37,200,680"
4.50,11/1/2048,"37,774,680","40,872,007","36,378,335"
4.50,11/1/2048,"37,146,738","40,192,558","35,773,605"
5.00,11/1/2024,200,201,199
5.00,1/1/2025,"4,940","4,993","4,917"
3.50,3/1/2048,"29,054,832","31,761,919","26,342,881"
3.00,1/1/2047,"5,087,210","5,338,535","4,443,995"
3.50,5/1/2048,"11,929,526","13,042,187","10,798,143"
4.50,1/1/2041,"469,369","513,837","455,869"
4.50,1/1/2041,"349,111","382,765","339,070"
4.50,8/1/2041,"1,203,101","1,320,049","1,167,291"
4.50,10/1/2041,"134,010","145,623","130,116"
4.00,4/1/2042,"347,217","377,098","326,627"
4.00,5/1/2042,"954,646","1,036,867","898,037"
4.00,7/1/2042,"351,748","380,527","330,890"
4.00,7/1/2042,"118,172","127,222","111,164"
3.00,12/1/2042,"9,417","9,385","8,356"
3.00,3/1/2043,"123,860","120,455","109,779"
3.00,11/1/2045,"40,954","41,037","35,923"
3.00,11/1/2045,"290,369","290,962","254,297"
3.00,12/1/2045,"347,295","345,268","304,718"
3.50,2/1/2046,"1,706,206","1,728,159","1,537,476"
3.50,5/1/2046,"1,351,470","1,435,770","1,217,820"
3.00,7/1/2046,"65,342","63,103","57,080"
3.00,9/1/2046,"29,660,714","30,865,722","25,910,482"
3.00,8/1/2046,"710,587","707,556","620,742"
3.00,10/1/2046,"39,128","40,995","34,176"
3.00,10/1/2046,"46,217","48,142","40,373"
3.00,11/1/2046,"12,087","12,664","10,558"
3.00,11/1/2046,"222,656","223,621","194,504"
3.00,12/1/2046,"13,164,847","13,108,501","11,500,314"
3.00,11/1/2046,"8,610,811","8,582,919","7,522,080"
3.00,12/1/2046,"1,311,223","1,303,505","1,145,435"
3.00,12/1/2046,"10,760,938","10,714,880","9,400,350"
3.50,12/1/2046,"7,743","8,160","6,980"
3.00,11/1/2046,"9,826","10,295","8,583"
3.00,1/1/2047,"15,638","15,670","13,661"
3.00,1/1/2047,"7,104,834","7,583,020","6,106,659"
3.00,1/1/2047,"4,365,768","4,374,807","3,813,771"
3.00,2/1/2047,"307,272","296,572","268,422"
