0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
IG GROUP HOLDINGS PLC,"711,815","6,096,737","7,370,567"
IGG INC,"1,457,000","833,635","561,741"
IGO LTD,"1,098,764","5,856,497","4,138,754"
IHH HEALTHCARE BHD,"15,321,000","20,906,312","20,460,477"
IHI CORP,"209,365","5,086,544","6,253,912"
IIDA GROUP HOLDINGS CO LTD,"240,400","3,959,211","3,164,534"
IIFL FINANCE LTD,"636,863","2,927,649","3,953,137"
IINO KAIUN KAISHA LTD,"147,700","1,037,701","1,175,283"
IJM CORP BHD,"13,633,640","7,667,292","8,814,619"
IKD CO LTD A,"115,300","341,700","233,574"
ILUKA RESOURCES LTD,"709,740","2,809,139","3,104,720"
IMCD NV,"220,534","24,229,298","30,561,090"
IMDEX LTD,"801,321","1,089,606","1,188,064"
IMEIK TECHNOLOGY DEVELOPME A,"13,600","470,555","320,589"
IMERYS SA,"69,491","2,818,518","2,500,996"
IMI PLC,"453,865","7,002,740","10,121,427"
IMPALA PLATINUM HOLDINGS LTD,"1,325,454","9,379,451","6,589,821"
IMPERIAL OIL LTD,"298,907","13,868,662","20,376,399"
IMUGENE LTD,"11,214,791","2,665,954","426,919"
INABA DENKI SANGYO CO LTD,"92,000","1,923,061","2,241,966"
INABATA + CO LTD,"81,600","1,156,712","1,790,698"
INARI AMERTRON BHD,"15,779,200","9,780,448","12,375,843"
INCHCAPE PLC,"690,239","5,227,907","6,492,200"
INCITEC PIVOT LTD,"3,290,822","8,148,502","6,373,554"
IND + COMM BK OF CHINA A,"135,887,013","91,375,598","106,091,205"
IND + COMM BK OF CHINA H,"411,312,870","252,229,386","244,446,664"
INDAH KIAT PULP + PAPER TBK,"5,170,600","3,262,582","2,810,280"
INDIA CEMENTS LTD,"323,041","889,835","1,137,300"
INDIABULLS HOUSING FINANCE L,"745,843","1,404,056","1,489,431"
INDIABULLS REAL ESTATE LTD,"702,092","786,609","1,221,378"
INDIAMART INTERMESH LTD,"42,310","1,745,037","1,360,289"
INDIAN BANK,"438,639","1,988,100","2,869,468"
INDIAN ENERGY EXCHANGE LTD,"659,312","1,198,835","1,427,518"
INDIAN HOTELS CO LTD,"1,261,892","6,017,694","9,458,822"
INDIAN RAILWAY CATERING + TO,"457,575","3,332,824","5,428,489"
INDIAN RAILWAY FINANCE CORP,"2,930,179","2,386,854","6,107,603"
INDIVIOR PLC,"209,615","3,272,131","3,285,691"
INDOCEMENT TUNGGAL PRAKARSA,"1,953,350","1,753,921","864,842"
INDOFOOD CBP SUKSES MAKMUR T,"3,279,500","2,299,099","2,062,889"
INDOFOOD SUKSES MAKMUR TBK P,"7,328,300","3,452,125","2,718,788"
INDORAMA VENTURES FOREIGN,"2,869,900","2,763,662","1,524,983"
INDORAMA VENTURES PCL NVDR,"1,028,500","685,550","546,523"
