0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
NATIONAL INDUSTRIALIZATION C,"368,912","1,355,221","1,122,981"
NATIONAL MARINE DREDGING CO,"518,313","4,123,041","3,400,871"
NATIONAL MEDICAL CARE CO,"34,698","1,250,257","2,008,851"
NATURA +CO HOLDING SA,"1,393,717","4,052,519","3,899,313"
NATURGY ENERGY GROUP SA,"244,936","6,270,877","5,292,235"
NATWEST GROUP PLC,"11,155,155","65,905,682","43,971,095"
NAURA TECHNOLOGY GROUP CO A,"28,800","1,182,660","1,261,890"
NAVER CORP,"507,059","72,135,509","61,480,727"
NAVIN FLUORINE INTERNATIONAL,"50,269","1,772,347","2,154,716"
NAVINFO CO LTD A,"91,070","115,100","77,588"
NBCC INDIA LTD,"943,774","1,376,988","1,776,463"
NCC AB B SHS,"158,265","2,109,058","2,054,870"
NCC LTD,"748,800","1,240,864","2,841,875"
NCSOFT CORP,"30,975","7,626,851","4,048,249"
NEC CORP,"1,262,288","49,724,872","103,935,127"
NEC NETWORKS + SYSTEM INTEGR,"111,000","1,920,629","1,685,782"
NEDBANK GROUP LTD,"1,029,754","13,916,384","14,460,011"
NEL ASA,"2,753,426","2,900,003","1,448,669"
NEMAK SAB DE CV,"4,385,603","960,403","697,936"
NEMETSCHEK SE,"224,414","18,690,814","22,091,394"
NEOEN SA,"110,703","3,408,556","4,468,325"
NEOENERGIA SA,"416,700","1,833,597","1,393,143"
NEPI ROCKCASTLE N.V.,"912,514","6,638,935","6,565,225"
NESTE OYJ,"705,036","17,673,785","12,562,307"
NESTLE (MALAYSIA) BERHAD,"96,000","2,970,781","2,472,533"
NESTLE INDIA LTD,"660,944","15,844,285","20,225,217"
NESTLE SA REG,"8,690,921","796,427,200","887,081,320"
NET ONE SYSTEMS CO LTD,"128,700","3,079,044","2,358,635"
NETCARE LTD,"2,365,030","1,591,885","1,650,084"
NETCOMPANY GROUP AS,"55,560","2,355,973","2,385,867"
NETDRAGON WEBSOFT HOLDINGS L,"432,000","874,827","652,950"
NETEASE INC,"4,630,300","80,465,323","88,428,002"
NETEASE INC ADR,"21,439","1,951,257","2,049,140"
NETLINK NBN MANAGEMENT PTE L,"4,934,300","3,438,832","3,021,954"
NETMARBLE CORP,"28,554","2,373,009","1,113,949"
NETWEALTH GROUP LTD,"171,373","1,653,646","2,537,408"
NETWORK INTERNATIONAL HOLDIN,"2,230,989","12,078,091","11,026,951"
NEULAND LABORATORIES LTD,"12,475","909,164","1,119,763"
NEUREN PHARMACEUTICALS LTD,"220,248","2,252,333","3,128,662"
NEW CHINA LIFE INSURANCE C A,"107,407","545,608","441,818"
NEW CHINA LIFE INSURANCE C H,"1,403,733","4,328,907","2,679,185"
NEW HOPE CORP LTD,"897,805","3,260,849","2,926,053"
