0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
FED HM LN PC POOL QI0901,6.50,3/1/2054,"9,604,698","10,021,794"
FED HM LN PC POOL QI0902,7.00,3/1/2054,"12,654,226","13,197,391"
FED HM LN PC POOL QI0903,7.00,3/1/2054,"7,926,446","8,371,506"
FED HM LN PC POOL QI0905,7.00,3/1/2054,"10,302,936","10,830,436"
FED HM LN PC POOL QI0907,7.00,2/1/2054,"7,127,170","7,575,020"
FED HM LN PC POOL QI0924,7.00,3/1/2054,"8,249,597","8,658,888"
FED HM LN PC POOL QI0933,6.50,3/1/2054,"10,544,465","10,950,180"
FED HM LN PC POOL QI0939,7.00,2/1/2054,"7,125,479","7,408,729"
FED HM LN PC POOL QI0940,6.50,2/1/2054,"7,276,917","7,518,631"
FED HM LN PC POOL QI0941,6.50,2/1/2054,"7,205,451","7,464,852"
FED HM LN PC POOL QI0944,6.50,3/1/2054,"14,993,614","15,672,562"
FED HM LN PC POOL QI0947,7.00,3/1/2054,"7,048,419","7,531,126"
FED HM LN PC POOL QI1005,7.00,2/1/2054,"2,284,564","2,387,313"
FED HM LN PC POOL QI4953,6.50,5/1/2054,"7,484,923","7,701,189"
FED HM LN PC POOL QI4954,6.50,5/1/2054,"7,282,788","7,582,708"
FED HM LN PC POOL QI8827,7.00,6/1/2054,"3,954,854","4,111,277"
FED HM LN PC POOL QK0571,2.00,12/1/2040,"26,106,635","26,992,697"
FED HM LN PC POOL QK0575,2.00,12/1/2040,"19,361,097","20,018,215"
FED HM LN PC POOL QK0599,2.00,1/1/2041,"24,449,829","25,280,402"
FED HM LN PC POOL QK0839,2.00,6/1/2041,"23,438,930","23,879,293"
FED HM LN PC POOL QK1092,2.50,9/1/2041,"10,992,167","11,421,333"
FED HM LN PC POOL QK1219,2.50,11/1/2041,"19,976,387","20,627,274"
FED HM LN PC POOL QK1278,2.50,1/1/2042,"14,647,992","15,053,435"
FED HM LN PC POOL QK1392,2.50,2/1/2042,"32,196,748","32,403,940"
FED HM LN PC POOL QK1424,3.00,3/1/2042,"20,300,385","20,697,511"
FED HM LN PC POOL QN0571,2.00,9/1/2034,"559,887","576,476"
FED HM LN PC POOL RA2643,2.50,6/1/2050,"82,872,456","85,633,277"
FED HM LN PC POOL RA2790,2.50,6/1/2050,"34,462,259","29,001,180"
FED HM LN PC POOL RA2894,2.50,6/1/2050,"13,146,283","10,866,221"
FED HM LN PC POOL RA2903,3.00,6/1/2050,"17,468,885","15,146,467"
FED HM LN PC POOL RA3060,3.00,7/1/2050,"80,503,702","66,828,110"
FED HM LN PC POOL RA3173,3.00,7/1/2050,"6,675,348","5,707,172"
FED HM LN PC POOL RA3382,3.00,8/1/2050,"80,604,816","69,311,990"
FED HM LN PC POOL RA3575,2.00,9/1/2050,"9,861,414","7,853,620"
FED HM LN PC POOL RA3662,2.50,10/1/2050,"4,295,186","3,423,824"
FED HM LN PC POOL RA4524,1.50,2/1/2051,"49,988,219","36,771,245"
FED HM LN PC POOL RA4636,1.50,2/1/2051,"37,136,777","26,718,888"
FED HM LN PC POOL RA5247,2.00,5/1/2051,"156,165,021","157,743,547"
FED HM LN PC POOL RA5560,2.50,7/1/2051,"1,077,863","855,023"
FED HM LN PC POOL RA5731,2.00,8/1/2051,"2,350,055","1,788,369"
FED HM LN PC POOL RA5855,2.50,9/1/2051,"22,491,427","23,324,678"
FED HM LN PC POOL RA5923,2.50,9/1/2051,"206,742,505","214,013,703"
FED HM LN PC POOL RA6020,2.50,10/1/2051,"185,504,356","191,778,127"
FED HM LN PC POOL RA6051,2.50,7/1/2051,"1,136,185","1,171,891"
FED HM LN PC POOL RA6059,2.50,9/1/2051,"5,847,233","6,029,232"
FED HM LN PC POOL RA6440,2.00,12/1/2051,"212,919,404","212,127,996"
FED HM LN PC POOL RA6508,2.00,12/1/2051,"218,847,077","219,019,151"
FED HM LN PC POOL RA6844,3.00,2/1/2052,"2,574,404","2,620,697"
FED HM LN PC POOL RA6845,3.00,12/1/2051,"1,148,623","1,169,474"
