0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
TAIWAN SURFACE MOUNTING TECH,"704,711","2,061,367","2,606,737"
TAIWAN UNION TECHNOLOGY CORP,"375,000","1,485,278","1,878,384"
TAIYEN BIOTECH CO LTD,"7,000","7,322","7,325"
TAIYO HOLDINGS CO LTD,"55,800","1,148,670","1,181,151"
TAIYO YUDEN CO LTD,"553,500","14,172,312","14,059,437"
TAKARA BIO INC,"84,300","567,084","578,563"
TAKARA HOLDINGS INC,"279,900","2,291,608","1,898,377"
TAKARA STANDARD CO LTD,"69,800","949,887","752,848"
TAKASAGO THERMAL ENGINEERING,"110,700","2,033,841","3,936,400"
TAKASHIMAYA CO LTD,"615,569","8,286,901","10,360,892"
TAKEDA PHARMACEUTICAL CO LTD,"6,917,626","232,137,166","179,412,754"
TAKEUCHI MFG CO LTD,"61,100","1,526,960","2,138,466"
TAKUMA CO LTD,"126,800","1,272,771","1,303,013"
TAL EDUCATION GROUP  ADR,"732,334","16,853,731","7,814,151"
TALANX AG,"185,145","9,246,394","14,792,926"
TANGSHAN JIDONG CEMENT INV A,"114,800","95,753","63,841"
TANGSHAN SANYOU CHEMICAL I A,"263,832","203,536","181,409"
TANLA PLATFORMS LTD,"97,441","1,144,672","1,100,313"
TATA CHEMICALS LTD,"252,275","2,887,123","3,337,252"
TATA COMMUNICATIONS LTD,"199,714","3,001,878","4,441,689"
TATA CONSULTANCY SVCS LTD,"5,039,759","212,152,294","235,958,328"
TATA CONSUMER PRODUCTS LTD,"1,025,633","10,116,498","13,500,437"
TATA ELXSI LTD,"52,587","5,005,295","4,415,622"
TATA INVESTMENT CORP LTD,"19,346","1,775,514","1,502,150"
TATA MOTORS LTD,"5,239,746","44,880,505","62,192,038"
TATA MOTORS LTD A DVR,"705,998","2,263,414","5,635,284"
TATA POWER CO LTD,"2,339,912","5,883,931","12,363,631"
TATA STEEL LTD,"13,101,545","17,181,898","27,339,827"
TATA TELESERVICES MAHARASHTR,"757,446","1,357,710","706,062"
TATE + LYLE PLC,"671,802","5,227,066","5,078,364"
TATNEFT PJSC,"176,387",0,0
TATNEFT PJSC   PREF,"510,344",0,0
TATUNG CO LTD,"3,234,000","4,874,884","5,682,219"
TAYHO ADVANCED MATERIALS G A,"92,300","257,730","111,885"
TAYLOR WIMPEY PLC,"5,958,274","11,208,928","10,706,770"
TBC BANK GROUP PLC,"92,796","3,300,429","3,014,722"
TBEA CO LTD A,"208,103","451,475","395,350"
TBS HOLDINGS INC,"64,400","1,193,293","1,623,012"
TC ENERGY CORP,"1,717,655","74,487,180","65,098,748"
TCC GROUP HOLDINGS,"28,859,794","33,231,892","30,424,147"
TCC STEEL,"27,931","1,103,259","1,130,227"
TCI CO LTD,"129,428","881,664","624,379"
