0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
BANGKOK BANK PUBLIC CO NVDR,"1,799,700","7,734,593","6,399,914"
BANGKOK CHAIN HOSPITAL FOREG,"1,556,775","702,081","725,413"
BANGKOK COMMERCIAL FOREIGN,"2,580,400","1,627,696","527,366"
BANGKOK DUSIT MED SERVI NVDR,"36,820,702","28,466,041","26,839,806"
BANGKOK DUSIT MED SERVICE F,"19,024,000","14,598,603","13,867,212"
BANGKOK EXPRESSWAY AND M FOR,"11,374,200","3,315,512","2,371,078"
BANGKOK EXPRESSWAY NVDR,"42,326,620","12,295,925","8,823,464"
BANGKOK LIFE ASSURANCE NVDR,"894,500","800,277","458,252"
BANK AL JAZIRA,"2,545,587","10,263,853","11,195,806"
BANK ALBILAD,"2,165,945","18,240,433","18,821,251"
BANK BTPN SYARIAH TBK PT,"1,071,700","74,228","74,937"
BANK CENTRAL ASIA TBK PT,"267,605,600","114,873,409","162,197,593"
BANK CIMB NIAGA TBK PT,"331,100","37,560","35,587"
BANK DANAMON INDONESIA TBK,"1,500",254,236
BANK HAPOALIM BM,"2,600,177","19,798,202","22,991,053"
BANK LEUMI LE ISRAEL,"3,151,248","22,561,649","25,680,429"
BANK MANDIRI PERSERO TBK PT,"237,799,292","78,322,488","89,310,879"
BANK NEGARA INDONESIA PERSER,"74,192,600","22,074,630","21,113,741"
BANK OF AYUDHYA PUBLIC NVDR,"1,600","1,108","1,073"
BANK OF BARODA,"2,440,961","5,768,853","8,061,693"
BANK OF BEIJING CO LTD  A,"6,020,519","4,582,691","4,815,874"
BANK OF CHANGSHA CO LTD A,"587,881","669,047","658,677"
BANK OF CHINA LTD A,"75,091,729","38,744,803","47,518,274"
BANK OF CHINA LTD H,"521,235,324","208,180,884","257,033,374"
BANK OF CHONGQING CO LTD H,"1,613,500","972,637","1,041,593"
BANK OF COMMUNICATIONS CO A,"67,127,856","53,535,521","68,683,110"
BANK OF COMMUNICATIONS CO H,"39,162,346","29,637,037","30,748,416"
BANK OF EAST ASIA LTD,"2,272,204","5,338,766","2,887,063"
BANK OF GUIYANG CO LTD A,"3,878,564","3,166,766","2,799,683"
BANK OF HANGZHOU CO LTD A,"364,627","665,696","651,764"
BANK OF INDIA,"1,517,272","1,715,726","2,192,735"
BANK OF JIANGSU CO LTD A,"33,937,194","36,563,718","34,537,537"
BANK OF KAOHSIUNG,"43,000","15,232","15,839"
BANK OF MAHARASHTRA,"1,451,887","1,078,644","1,128,432"
BANK OF MONTREAL,"1,222,641","95,266,919","102,602,843"
BANK OF NANJING CO LTD  A,"510,205","693,340","726,097"
BANK OF NINGBO CO LTD  A,"349,561","1,325,575","1,056,230"
BANK OF NOVA SCOTIA,"2,162,998","110,312,618","98,922,959"
BANK OF QUEENSLAND LTD,"1,107,643","6,583,005","4,297,919"
BANK OF SHANGHAI CO LTD A,"17,393,476","16,800,405","17,296,170"
BANK OF ZHENGZHOU CO LTD A,"429,309","117,473","101,738"
BANK RAKYAT INDONESIA PERSER,"261,745,589","80,221,249","73,528,532"
