0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
EUROFINS SCIENTIFIC,"232,170","12,425,345","11,583,218"
EURONAV NV,"38,215","509,311","629,511"
EURONEXT NV,"140,305","11,415,792","13,007,199"
EVA AIRWAYS CORP,"6,623,014","5,670,925","7,788,419"
EVE ENERGY CO LTD A,"92,767","648,801","507,266"
EVEN CONSTRUTORA E INCORPORA,"20,200","28,144","23,821"
EVERBRIGHT SECURITIE CO  A,"156,807","356,370","314,013"
EVEREST GROUP LTD,"232,913","74,343,101","88,744,511"
EVEREST TEXTILE,"91,000","23,046","22,412"
EVERGREEN INTERNATIONAL STOR,"1,032,000","1,069,955","1,010,005"
EVERGREEN MARINE CORP LTD,"8,255,036","49,515,153","49,110,631"
EVERGREEN STEEL CORP,"559,000","2,285,984","2,403,727"
EVERLIGHT CHEMICAL,"138,000","82,572","81,673"
EVERLIGHT ELECTRONICS CO LTD,"1,297,000","2,164,355","3,054,733"
EVOLUTION AB,"320,412","29,143,029","33,402,152"
EVOLUTION MINING LTD,"3,118,677","8,950,284","7,289,834"
EVONIK INDUSTRIES AG,"392,928","10,142,849","8,022,361"
EVOTEC SE,"268,701","4,632,322","2,584,627"
EVRAZ PLC,"1,259,607",0,2
EVT LTD,"186,881","1,639,493","1,450,275"
EXEDY CORP,"20,000","352,462","366,530"
EXEO GROUP INC,"816,500","8,682,518","8,118,810"
EXIDE INDUSTRIES LTD,"772,133","2,860,709","5,227,771"
EXOR NV,"334,529","23,853,649","35,028,604"
EXPERIAN PLC,"2,164,635","55,261,659","100,860,734"
EZAKI GLICO CO LTD,"84,650","2,605,435","2,200,191"
EZRA HOLDINGS LTD,"3,815,700",0,3
F+F CO LTD / NEW,"25,634","3,257,578","1,162,055"
FABEGE AB,"436,688","3,467,298","3,490,577"
FABRINET,"61,723","7,654,374","15,109,175"
FAGRON,"99,868","1,899,906","1,950,155"
FAIRFAX FINANCIAL HLDGS LTD,"40,851","24,584,758","46,463,130"
FAMOUS BRANDS LTD,101,269,289
FANCL CORP,"118,900","2,348,082","2,032,671"
FANGDA CARBON NEW MATERIAL A,"147,417","107,624","87,032"
FANUC CORP,"2,119,145","66,956,851","58,083,554"
FAR EAST HORIZON LTD,"4,196,309","3,427,477","2,730,407"
FAR EASTERN DEPARTMENT STORE,"1,772,466","1,454,461","1,857,625"
FAR EASTERN INTL BANK,"4,283,859","1,697,845","2,192,057"
FAR EASTERN NEW CENTURY CORP,"18,838,569","18,929,817","20,469,447"
FAR EASTONE TELECOMM CO LTD,"6,802,737","16,243,419","17,635,133"
FARADAY TECHNOLOGY CORP,"346,908","2,074,782","3,593,045"
