0,1
Highlights of CalPERS PE’s Efforts over the Last Year to Enhance Returns through Building a More Sustainable Portfolio:,
•,Labor Principles
,"•
Coordinated with Sustainable Investments to adopt the Labor Principles"
,"•
Working with PE investment partners to obtain their attestations to operate in broad alignment with the Labor Principles"
,"•
Scaling back or declining commitments to PE funds that have not been aligning with CalPERS values on human capital"
•,Diversity
,"•
Shifting focus to smaller funds in Buyout, expanding Growth, and adding Venture to increase the diverse opportunity set"
,"•
In FY 2023-24, committed over $4bn to diverse managers in the non-intermediated portfolio (i.e., beyond Project Mosaic)"
,"•
Co-hosted Catalyst: California’s Diverse Investment Manager Forum"
•,Diligence
,"•
Incorporated a broader set of Governance and Sustainability questions into the CalPERS Due Diligence Questionnaire"
,"•
Coordinating with Sustainable Investments as it further integrates Governance and Sustainability into Private Markets diligence"
,"•
Collecting more information from our PE investment partners by encouraging their participation in the ESG Data Convergence"
,Initiative (EDCI)
•,Climate
,"•
Working with Sustainable Investments to develop an actionable pipeline to meet the $100bn 2030 goal"
,"•
Made primary commitments to several specialized Climate funds"
,"•
Approved over $600mm of co-investments supporting Climate solutions and continuing to source opportunities"
