0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
ARCS CO LTD,"71,500","1,384,230","1,292,123"
ARDENTEC CORP,"745,513","995,634","1,574,148"
ARE HOLDINGS INC,"140,700","1,654,070","1,835,933"
AREZZO INDUSTRIA E COMERCIO,"35,350","370,105","326,813"
ARGENX SE,"75,902","17,960,182","33,238,928"
ARIAKE JAPAN CO LTD,"28,500","1,023,392","926,615"
ARISTOCRAT LEISURE LTD,"1,202,298","24,965,620","39,955,308"
ARJO AB B SHARES,"434,310","1,960,431","1,682,255"
ARKEMA,"101,931","9,382,072","8,865,634"
ARM HOLDINGS PLC ADR,"5,568","292,069","911,036"
ARMAC LOCACAO LOGISTICA E SE,"4,300","8,798","7,633"
AROUNDTOWN SA,"1,193,994","2,533,168","2,515,188"
ARRAIL GROUP LTD,"431,500","608,505","286,289"
ARRIYADH DEVELOPMENT COMPANY,"222,919","1,480,265","1,270,394"
ARTIENCE CO LTD,"79,400","1,536,436","1,658,495"
AS ONE CORP,"84,400","2,578,142","1,504,269"
ASAHI GROUP HOLDINGS LTD,"791,424","27,363,721","27,921,039"
ASAHI INDIA GLASS LTD,"162,246","1,225,595","1,305,559"
ASAHI INTECC CO LTD,"324,900","5,326,888","4,555,589"
ASAHI KASEI CORP,"5,820,835","43,768,701","37,289,385"
ASCENTAGE PHARMA GROUP INTER,"245,100","1,054,758","802,103"
ASCENTIAL PLC,"390,861","2,580,041","1,689,905"
ASE TECHNOLOGY HOLDING CO LT,"17,494,936","57,252,105","90,868,077"
ASHMORE GROUP PLC,"833,876","2,434,135","1,793,258"
ASHOK LEYLAND LTD,"1,621,910","2,270,232","4,704,938"
ASHTEAD GROUP PLC,"576,906","16,846,496","38,520,175"
ASHTROM GROUP LTD,"66,552","881,657","760,175"
ASIA CEMENT CORP,"11,943,925","19,753,746","16,144,171"
ASIA OPTICAL CO INC,"617,000","1,291,179","1,323,713"
ASIA POTASH INTERNATIONAL A,"109,000","423,392","241,265"
ASIA TECH IMAGE INC,"80,000","179,406","171,879"
ASIA VITAL COMPONENTS,"528,700","9,769,199","12,467,237"
ASIAINFO TECHNOLOGIES LTD,"986,400","1,036,114","886,931"
ASIAN PAINTS LTD,"719,397","22,217,944","25,167,472"
ASIANA AIRLINES,"58,908","841,115","450,210"
ASICS CORP,"1,222,648","8,655,413","18,705,405"
ASKUL CORP,"61,400","917,873","834,017"
ASM INTERNATIONAL NV,"88,082","27,600,108","67,195,424"
ASMEDIA TECHNOLOGY INC,"72,000","3,707,895","4,971,410"
ASML HOLDING NV,"761,009","337,931,522","786,414,172"
ASML HOLDING NV NY REG SHS,"49,337","42,061,745","50,458,430"
ASMPT LTD,"557,000","5,817,217","7,769,314"
