0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
SBI HOLDINGS INC,"443,453","9,662,143","11,211,812"
SBI LIFE INSURANCE CO LTD,"723,325","10,326,173","12,941,954"
SBM OFFSHORE NV,"266,616","3,883,129","4,086,177"
SCATEC ASA,"198,587","2,557,469","1,616,117"
SCB X PCL FOREIGN,"3,759,334","12,364,348","10,551,438"
SCB X PCL NVDR,"409,900","1,225,826","1,150,843"
SCG PACKAGING PCL FOREIGN,"1,804,900","2,850,867","1,659,933"
SCG PACKAGING PCL NVDR,"94,300","80,686","86,726"
SCHAEFFLER INDIA LTD,"64,190","2,924,283","3,649,353"
SCHIBSTED ASA B SHS,"196,745","5,197,006","5,539,732"
SCHIBSTED ASA CL A,"100,708","2,669,765","2,981,290"
SCHINDLER HOLDING AG REG,"102,871","21,015,915","25,643,339"
SCHINDLER HOLDING PART CERT,"190,188","47,610,822","47,790,397"
SCHNEIDER ELECTRIC SE,"949,545","122,677,261","228,286,449"
SCHRODERS PLC,"1,473,772","8,468,093","6,777,903"
SCIENTECH CORP,"29,000","290,664","316,000"
SCIENTEX BHD,"1,253,424","1,022,861","1,145,168"
SCINOPHARM TAIWAN LTD,"27,000","23,272","24,136"
SCOR SE,"278,798","8,502,915","7,070,732"
SCOUT24 SE,"773,706","41,972,892","59,040,448"
SCREEN HOLDINGS CO LTD,"370,700","20,900,078","33,415,152"
SCSK CORP,"517,500","7,974,034","10,336,488"
SD BIOSENSOR INC,"65,150","2,479,596","466,204"
SD GUTHRIE BHD,"6,278,492","6,751,034","5,616,372"
SDI CORPORATION,"272,000","798,201","1,169,617"
SDIC CAPITAL CO LTD A,"171,100","158,328","132,412"
SEA LTD ADR,"147,621","21,743,477","10,543,092"
SEADRILL LIMITED,"75,132","3,746,213","3,849,214"
SEAH STEEL HOLDINGS CORP,"1,156","206,950","161,412"
SEALAND SECURITIES CO LTD  A,"270,246","128,578","107,718"
SEATRIUM LTD,"3,516,219","5,382,900","3,580,520"
SEAZEN GROUP LTD,"3,871,602","2,439,476","674,418"
SEAZEN HOLDINGS CO LTD A,"101,144","192,718","122,885"
SEB SA,"42,594","4,841,835","4,364,184"
SEBANG CO LTD,"88,676","851,645","905,120"
SEBANG GLOBAL BATTERY CO LTD,"18,442","979,325","1,393,367"
SECOM CO LTD,"1,003,001","76,998,855","59,216,092"
SECTRA AB B SHS,"269,082","3,405,038","6,153,966"
SECURITAS AB B SHS,"796,494","7,149,542","7,912,152"
SEEGENE INC,"41,032","1,456,676","596,186"
SEEK LTD,"584,205","8,975,646","8,333,889"
SEERA GROUP HOLDING,"221,567","1,237,471","1,503,060"
