0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
BEIJING ENLIGHT MEDIA CO L A,"4,000","5,140","4,630"
BEIJING ENTERPRISES HLDGS,"16,500","59,192","55,371"
BEIJING ENTERPRISES WATER GR,"158,000","36,883","48,569"
BEIJING KINGSOFT OFFICE SO A,984,"50,009","30,809"
BEIJING NEW BUILDING MATER A,"5,900","26,768","24,084"
BEIJING ORIENTAL YUHONG A,"2,000","8,293","3,397"
BEIJING ROBOROCK TECHNOLOG A,205,"9,085","11,077"
BEIJING SHANGHAI HIGH SPE A,"101,700","71,326","75,162"
BEIJING TIANTAN BIOLOGICAL A,"4,680","13,194","15,716"
BEIJING TONGRENTANG CO A,"1,900","14,418","9,992"
BEIJING WANTAI BIOLOGICAL A,"2,000","13,631","18,134"
BEIJING YANJING BREWERY CO A,"34,300","45,478","41,683"
BERKELEY GROUP HOLDINGS/THE,"2,938","151,673","170,395"
BETHEL AUTOMOTIVE SAFETY S A,980,"7,171","5,247"
BHARAT ELECTRONICS LTD,"139,439","286,327","511,520"
BHARAT FORGE LTD,"9,037","130,530","181,022"
BHARAT HEAVY ELECTRICALS,"36,736","101,048","132,538"
BHARAT PETROLEUM CORP LTD,"53,586","145,235","195,323"
BHARTI AIRTEL LTD,"82,111","985,318","1,421,944"
BHP GROUP LTD,"142,479","4,192,100","4,061,199"
BID CORP LTD,"11,946","271,881","277,957"
BIDVEST GROUP LTD,"11,478","159,811","178,795"
BILIBILI INC CLASS Z,"8,740","132,994","142,058"
BIM BIRLESIK MAGAZALAR AS,"15,951","157,260","265,173"
BIOMERIEUX,"1,245","127,235","118,422"
BKW AG,387,"65,545","61,715"
BLOOMAGE BIOTECHNOLOGY COR A,970,"12,371","7,552"
BLUESCOPE STEEL LTD,"10,901","151,346","148,735"
BNP PARIBAS,"28,691","1,838,838","1,830,523"
BOC AVIATION LTD,"7,000","52,549","50,209"
BOC HONG KONG HOLDINGS LTD,"100,000","286,964","308,041"
BOC INTERNATIONAL CHINA CO A,"3,800","5,991","4,749"
BOE TECHNOLOGY GROUP CO LT A,"58,800","32,832","33,098"
BOLIDEN AB,"7,382","202,959","236,373"
BOLLORE SE,"18,010","105,261","105,776"
BOSCH LTD,267,"97,447","109,135"
BOSIDENG INTL HLDGS LTD,"144,000","57,862","89,822"
BOUBYAN BANK K.S.C,"51,415","96,904","94,868"
BOUYGUES SA,"5,521","189,450","177,337"
BP PLC,"476,699","3,049,558","2,863,531"
BRAMBLES LTD,"37,373","361,418","362,662"
BRENNTAG SE,"3,605","290,267","243,256"
