0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
ELECTROSTEEL CASTINGS LTD,"506,833","974,557","1,054,178"
ELEKTA AB B SHS,"616,079","3,755,105","3,851,167"
ELEMENT FLEET MANAGEMENT COR,"674,700","8,007,258","12,272,669"
ELGI EQUIPMENTS LTD,"333,032","2,181,412","2,869,354"
ELIA GROUP SA/NV,"177,794","21,438,454","16,663,668"
ELIS SA,"339,079","5,753,843","7,348,146"
ELISA OYJ,"733,110","33,629,344","33,659,859"
ELITE MATERIAL CO LTD,"350,000","4,597,099","5,124,660"
ELITE SEMICONDUCTOR MICROELE,"354,000","649,801","1,096,656"
ELM CO,"43,972","6,019,403","10,047,126"
ELNUSA PT,"507,500","12,711","13,761"
EMAAR DEVELOPMENT PJSC,"5,437,472","10,826,054","11,843,119"
EMAAR ECONOMIC CITY,"349,465","870,977","602,686"
EMAAR PROPERTIES PJSC,"16,520,916","32,348,163","36,883,069"
EMAMI LTD,"343,836","2,052,306","2,842,444"
EMBRACER GROUP AB,"1,556,791","3,903,598","3,423,701"
EMBRAER SA,"1,247,906","6,196,981","8,121,915"
EMBRAER SA SPON ADR,"59,592","1,464,625","1,537,474"
EMEMORY TECHNOLOGY INC,"101,000","6,004,838","8,001,171"
EMERA INC,"1,140,276","45,051,032","38,041,144"
EMERALD RESOURCES NL,"801,458","1,693,980","1,889,446"
EMERGING DISPLAY TECHNOLOGIE,"8,000","7,955","7,940"
EMIRATES CENTRAL COOLING SYS,"3,127,484","1,490,348","1,243,161"
EMIRATES NBD PJSC,"9,355,552","44,091,956","42,027,391"
EMIRATES TELECOM GROUP CO,"16,303,984","94,523,825","71,465,871"
EMMI AG REG,"3,587","3,650,357","3,544,706"
EMS CHEMIE HOLDING AG REG,"34,270","20,673,978","28,087,976"
EN JAPAN INC,"47,800","1,296,604","777,652"
ENAGAS SA,"1,142,848","22,862,589","17,013,137"
ENAUTA PARTICIPACOES SA,"25,200","128,713","99,540"
ENBRIDGE INC,"3,967,008","141,622,990","141,102,324"
ENCAVIS AG TEND,"177,407","2,420,181","3,251,330"
ENCHEM CO LTD,"23,445","4,429,637","3,832,275"
ENDEAVOUR GROUP LTD/AUSTRALI,"2,354,006","10,826,975","7,939,232"
ENDEAVOUR MINING PLC,"304,656","6,046,829","6,493,113"
ENDESA SA,"557,624","12,407,223","10,480,748"
ENDURANCE TECHNOLOGIES LTD,"47,881","860,112","1,537,810"
ENEL SPA,"15,392,008","104,152,391","107,132,457"
ENEOS HOLDINGS INC,"21,162,830","83,925,751","108,747,950"
ENERGEAN PLC,"237,354","3,788,102","2,958,403"
ENERGISA SA UNITS,"484,200","4,561,793","3,976,853"
ENERGIX RENEWABLE ENERGIES,"460,884","1,856,768","1,731,129"
