0,1,2
Security Name,Book Value,Market Value
"Madison Dearborn Capital Partners V, L.P.","47,291,324","60,963"
"Madison Dearborn Capital Partners VIII, L.P.","374,380,041","397,426,877"
"Magnolia Opportunities, LLC","3,267,000","3,092,711"
"MDCP Co-Investors (Tango), L.P.","97,269,244","155,866,766"
"MDCP Co-Investors (Vision), L.P.","99,656,056","165,934,708"
"Middlefield Road Private Opportunities Fund, L.P.","106,456,220","123,909,824"
"Minerva Partners, L.P.","274,830,354","315,206,781"
"Moreton Bay SPV, L.P.","903,228,612","940,098,404"
"Muir Woods Partners, L.P.","75,693,908","91,110,411"
"New Mountain CAS Continuation Fund, L.P.","63,836,583","75,659,629"
"New Mountain Partners III, L.P.","28,774,907","15,668,100"
"New Mountain Partners VI, L.P.","493,098,376","628,411,967"
"NM Pacific, L.P.","271,454,387","332,755,303"
Nordic Bear SCSp,"1,287,802,250","1,390,892,108"
"Oak HC/FT Partners V, L.P.","35,693,136","36,513,471"
"Oak Hill Capital Partners II, L.P.","25,482,901",0
"Oaktree Latigo Investment Fund, L.P.","248,700,000","393,311,589"
"Oaktree Opportunities Fund VIIIb, L.P.",0,"25,704,203"
"OHA Black Bear Fund, L.P.","92,178,218","217,102,287"
"Onex Fox III, L.P.","50,000,000","72,552,900"
"Onex North Star Co-Invest, L.P.","49,905,782","71,415,274"
"Onex OD Co-Invest, L.P.","50,000,000","94,699,750"
"Onex Partners IV, L.P.","199,866,809","185,604,913"
"Onex Partners V-B, L.P.","426,579,917","596,317,480"
"Onex SIG Co-Invest, L.P.","166,930","68,660"
"Orchard Park, L.P.","350,269,742","399,703,310"
"PAG Asia I, L.P.","44,518,917","21,177,113"
"PAG Asia III, L.P.","303,731,363","363,679,178"
"PAGAC Drone Holding, L.P.","6,595,201","14,140"
"Palladium Equity Partners V, L.P.","64,378,959","75,086,990"
"Pantheon Global Secondary Fund VII Feeder (US), L.P.","64,527,803","76,906,430"
"Patience DF Holdings, L.P.","90,076,176","106,799,359"
"Patient Square Equity Partners, L.P.","182,859,867","199,772,576"
"Patria Brazilian Private Equity Fund V, L.P.","125,600,189","219,196,696"
Permira Europe III,"16,516,591","86,125"
Permira Growth Opportunities I L.P. 1,"189,017,828","188,774,101"
Permira Growth Opportunities II SCSP,"59,481,253","47,886,394"
Permira IV L.P.2,"35,678,308","64,764,158"
"Permira V, L.P.","142,220,931","181,826,137"
Permira VI L.P. 1,"356,816,915","627,001,874"
Permira VII L.P.1,"540,595,072","653,480,072"
Permira VIII-2 SCSp,"263,429,757","278,991,654"
