0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
LUKOIL PJSC SPON ADR,"32,282",0,0
LULULEMON ATHLETICA INC,"221,646","48,632,343","66,205,680"
LUMAX INTERNATIONAL CORP LTD,"3,000","10,198","11,606"
LUMENA NEWMAT,"131,850",0,0
LUMINE GROUP INC,"469,400","6,438,289","12,668,500"
LUNDBERGS AB B SHS,"127,503","5,631,493","6,308,821"
LUNDIN MINING CORP,"1,144,000","8,137,075","12,732,970"
LUNIT INC,"35,940","2,303,346","1,220,629"
LUOYANG XINQIANGLIAN SLEWI A,"11,740","44,156","24,153"
LUPIN LTD,"548,104","8,593,209","10,657,104"
LUXI CHEMICAL GROUP CO LT A,"97,187","160,477","154,284"
LUXSHARE PRECISION INDUSTR A,"296,351","1,346,035","1,595,645"
LUYE PHARMA GROUP LTD,"3,005,000","1,672,687","1,039,216"
LUZHOU LAOJIAO CO LTD A,"61,194","1,688,492","1,202,717"
LVGEM CHINA REAL ESTATE INVE,"1,592,000","384,040","128,464"
LVMH MOET HENNESSY LOUIS VUI,"439,873","211,619,353","336,422,997"
LWSA SA,"485,500","549,221","354,002"
LX INTERNATIONAL CORP,"48,092","1,190,024","1,065,611"
LX SEMICON CO LTD,"18,953","903,985","1,119,424"
LY CORP,"11,954,201","34,989,990","28,900,838"
LYNAS RARE EARTHS LTD,"1,654,369","10,365,444","6,552,053"
M DIAS BRANCO SA,"209,900","1,565,659","1,108,372"
M VIDEO PJSC,"91,821",0,0
M+A RESEARCH INSTITUTE HOLDI,"38,100","1,363,269","950,961"
M+G PLC,"3,834,177","9,124,337","9,888,309"
M3 INC,"720,300","12,049,398","6,866,738"
M31 TECHNOLOGY CORP,"37,200","881,494","1,301,481"
MAANSHAN IRON + STEEL A,"775,700","268,239","214,621"
MAANSHAN IRON + STEEL H,"1,642,000","575,416","237,655"
MABUCHI MOTOR CO LTD,"164,000","2,586,265","2,434,106"
MACAUTO INDUSTRIAL CO LTD,"9,000","19,595","19,725"
MACNICA HOLDINGS INC,"87,100","3,752,629","3,654,905"
MACQUARIE GROUP LTD,"618,599","59,321,794","84,564,868"
MACQUARIE TECHNOLOGY GROUP L,"23,457","1,099,835","1,481,512"
MACRONIX INTERNATIONAL CO,"2,798,830","3,158,744","2,247,416"
MACROTECH DEVELOPERS LTD,"399,209","4,021,583","7,198,217"
MAEDA KOSEN CO LTD,"68,600","623,653","721,144"
MAGAZINE LUIZA SA,"124,012","371,705","269,045"
MAGELLAN FINANCIAL GROUP LTD,"234,982","4,401,197","1,321,395"
MAGNA INTERNATIONAL INC,"475,172","19,883,851","19,911,924"
MAGNIT PJSC,"99,452",0,0
MAGNITOGORSK IRON + STEEL WO,"4,440,489",0,0
