0,1,2,3,4
,,Key Initiatives | Integration of Governance and Sustainability,,
,,,•,"Since the last PE Annual Program Review, CalPERS co-hosted"
,,,,
,Emerging and Diverse Managers,,,with CalSTRS the second edition of the Catalyst: California’s
,,,,"Emerging and Diverse Investment Manager Forum, bringing"
In billions ($),,,,
,,,,together institutional investors and other global allocators to
,,,,engage with diverse entrepreneurs and entrepreneurial general
$7.0,,,,
,,,,partners to forge a new path in leadership and growth
,,$6.3,,
$6.0,,,,
,,,•,"Under its current strategy, CalPERS PE is pursuing alpha through"
$5.0,,,,"better manager selection.  As part of that effort, PE has increased"
,$4.1,,,its commitments to emerging and diverse managers in its non-
,,,,
$4.0,,,,"intermediated portfolio (i.e., CalPERS PE’s direct portfolio, which"
,,,,"excludes TPG Next and GCM Elevate, both of which select"
$3.0,,,,
,,,,managers on behalf of CalPERS under the oversight of
,,$2.0,,
,,,,Sustainable Investments).  PE’s emerging and diverse manager
$2.0,,,,
,$1.4,,,
,,,,commitments are reported to the California legislature in
$1.0,,,,compliance with California law
,,,,
$-,,,•,The $1bn partnership with external emerging manager advisors
,FY 22-23,FY 23-24,,
,,,,TPG Next and GCM Grosvenor is designed to invest over
,,,,"multiple years, is focused on Private Market investments, and is"
,Diverse Managers,Emerging Managers,,
,,,,overseen by Sustainable Investments
