0,1,2
Security Name,Book Value,Market Value
"TPG Asia VIII (A), L.P.","75,369,567","82,172,273"
"TPG Biotechnology Partners III, L.P.","55,327,330","48,274,332"
"TPG Golden Bear Partners, L.P.","433,167,611","729,835,011"
"TPG Growth IV, L.P.","59,245,471","81,763,016"
"TPG Growth V, L.P.","170,889,270","226,266,451"
"TPG Healthcare Partners, L.P.","83,551,948","102,592,496"
"TPG Holdings, L.P.",0,"10,328,670"
"TPG Partners IV, L.P.","67,780,016","268,784"
"TPG Partners IX, L.P.","88,066,270","94,216,554"
"TPG Partners V, L.P.","262,149,933","604,665"
"TPG Partners VIII, L.P.","128,065,980","180,932,065"
"TPG STAR, L.P.","76,887,362","13,799,688"
"TPG Tech Adjacencies II, L.P.","100,840,203","107,991,891"
"Triangle Investment Opportunities, L.P.","689,791,513","707,268,071"
"Trident IX, L.P.","287,771,935","317,916,621"
Trident VI,"90,035,563","275,681,240"
"Trident VII, L.P.","226,321,260","448,677,647"
"Trident VIII, L.P.","362,095,281","503,483,712"
Triton Fund IV L.P.,"59,462,440","46,813,012"
"Triton Fund V, L.P.","178,213,863","259,079,633"
"T-VI Co-Invest-A, L.P.","23,504,454","365,712,635"
"T-VIII Skopima Co-Invest, L.P.","37,572,464","76,936,721"
Valor Equity Partners VI L.P.,"190,880,499","189,778,928"
Verdane Edda III (D1) AB,"10,259,211","10,523,830"
"Vicente Capital Partners Growth Equity Fund, L.P.","568,602","397,551"
"VIP IV, L.P.","272,973,978","309,857,969"
VIP V S.C.Sp.,"25,130,791","15,825,622"
"Vista Equity Partners Fund VII-Z, L.P.","345,597,330","419,899,356"
"WCAS Blackjack Co-Investment, LLC","50,000,000","102,656,700"
"WCAS Spartan Co-Investment, LLC","83,444,640","61,512,468"
"WCAS XIII, L.P.","334,209,837","424,519,441"
"WCAS XIV, L.P.","141,096,267","124,565,711"
"Welsh, Carson, Anderson & Stowe XI, L.P.","27,785,446","673,924"
"Welsh, Carson, Anderson & Stowe XII, L.P.","153,397,601","282,441,872"
Whitney Global Partners L.P.,"767,686,825","846,238,963"
"Wigeavenmore Co-Investment, L.P.","29,659,958","36,557,039"
"Wigmore Street (BDC III), L.P.","17,838,413","30,966,142"
"Wigmore Street BDC IV Co-Investment No.1, L.P.","38,078,030","40,983,257"
"Wigmore Street Co-investment No. 1, L.P.","27,920,666","44,367,348"
"Wigmore Street VI Co-Investment No., L.P.","90,337,779","158,852,791"
"Yucaipa American Alliance Fund II, L.P.","194,707,639","336,138,948"
"Yucaipa Corporate Initiatives Fund I, L.P.","127,663,316","5,132,449"
