0,1
,Positioning for the Market Environment
Themes Since Nov. 2022:,
•,Commit consistently by vintage year to avoid another lost decade for CalPERS PE from under-allocation and procyclicality
•,Invest in diverse and emerging managers to improve returns
•,"Engage with investment partners to prioritize sustainable investment frameworks, such as Climate and Labor Principles"
•,Diversify the portfolio with Venture and Growth strategies to reduce Buyout exposure proportionally
•,Recompose the Buyout portfolio from Mega/Large to Middle Market
•,Make manager selection the centerpiece of the investment process
•,Pursue structural alpha opportunities:
,"•
Reduce costs by increasing co-investment without management fees or carry to enhance net returns"
