0,1,2
Security Name,Book Value,Market Value
"HongShan Capital Expansion Fund I, L.P.","5,360,000","5,360,000"
"HongShan Capital Growth Fund VII, L.P.","12,480,000","9,991,101"
"HongShan Capital Seed Fund III, L.P.","3,601,617","3,117,318"
"HongShan Capital Venture Fund IX, L.P.","6,583,674","5,436,265"
"Hornet Co-Invest, L.P.","92,498,070","119,435,728"
"Impower Five, L.P.","20,196,000","17,324,149"
"Innovation Opportunities, L.P.","372,941,048","405,236,251"
"Insight Partners XI, L.P.","387,248,775","591,325,781"
"Insight Partners XII Buyout Annex Fund, L.P.","135,480,208","165,103,090"
"Insight Partners XII, L.P.","509,729,570","487,944,238"
"Insight Venture Partners Growth-Buyout Coinvestment Fund (B), L.P. 281,338,350",,"866,008,054"
"Insight Venture Partners IX, L.P.","66,934,545","245,242,662"
"Insight Venture Partners X, L.P.","210,969,596","495,127,043"
Ithaca L.P.,"65,274,334","261,263,918"
"Jade Equity Investors, L.P.","123,326,498","168,612,481"
"K5 Private Investors, L.P.","91,527,495","110,622,510"
"Karakoram Fund C II, L.P.","100,000,000","107,948,500"
"Karakoram Fund C, L.P.","196,348,288","247,073,297"
"Khosla Ventures III, L.P.","140,963,402","13,895,053"
"Khosla Ventures Seed, L.P.","58,224,216","79,064,410"
KKR Asian Fund II L.P.,"254,614,003","145,553,539"
KKR Asian Fund IV SCSp,"156,870,678","177,603,130"
KKR Asian Fund L.P.,"56,828,911",0
"KKR European Fund III, L.P.","62,541,051","3,500,018"
KKR European Fund V (USD) SCSp,"270,017,131","311,226,336"
KKR North America Fund XIII SCSp,"348,899,348","378,633,946"
KKR Pebble Co-Invest L.P.,"75,000,000","102,275,250"
"KM Corporate Partners Fund II, L.P.","92,985,997","37,226,391"
"KOALA PACIFIC PARTNERSHIP, L.P.","31,584,208","30,467,927"
"Lightspeed Opportunity Fund II, L.P.","146,000,000","145,690,772"
"Lightspeed Venture Partners Select V, L.P.","63,000,000","58,143,147"
"Lightspeed Venture Partners XIV-A (Inception), L.P.","28,800,000","30,566,822"
"Lightspeed Venture Partners XIV-B (Ignite), L.P.","30,250,000","35,600,529"
"Lime Rock Partners IV, L.P.","24,498,587","96,753"
"Lincoln Plaza Fund, L.P.","253,400,389","239,837,627"
Lindsay Goldberg - Alpine Co-Inv. L.P.,"50,523,351","171,420,223"
"Lindsay Goldberg IV, L.P.","96,334,502","109,753,234"
Lindsay Goldberg V L.P.,"163,047,065","239,348,528"
"LongRange Capital Fund I, L.P.","708,302,375","808,043,390"
"LRC Fund I PNP Coinvest, L.P.","174,542,900","174,138,484"
"LS Investments C, L.P.","38,125,000","38,125,000"
"Lux Ventures VIII, L.P.","49,500,000","46,138,010"
