0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
ENERGY ABSOLUTE PCL FOREIGN,"2,431,100","3,395,215","741,967"
ENERGY ABSOLUTE PCL NVDR,"133,200","40,675","40,675"
ENEVA SA,"813,300","1,973,673","1,859,575"
ENGIE,"3,989,362","79,256,359","57,018,812"
ENGIE BRASIL ENERGIA SA,"113,273","987,162","903,224"
ENGINEERS INDIA LTD,"437,026","952,529","1,314,641"
ENI SPA,"6,037,018","93,454,316","92,877,149"
ENI SPA SPONSORED ADR,"6,442","180,709","198,349"
ENLIGHT RENEWABLE ENERGY LTD,"191,149","3,768,698","3,036,801"
ENN ENERGY HOLDINGS LTD,"1,354,400","13,835,949","11,163,924"
ENN NATURAL GAS CO LTD A,"392,365","1,032,014","1,117,853"
ENNOCONN CORP,"131,286","1,120,590","1,357,725"
ENNOSTAR INC,"942,300","1,804,486","1,262,055"
ENTAIN PLC,"1,027,469","11,919,256","8,182,657"
EO TECHNICS CO LTD,"14,197","1,249,342","1,927,672"
EPIROC AB A,"1,102,938","13,996,696","22,027,164"
EPIROC AB B,"1,701,183","13,606,194","31,131,582"
EPISIL TECHNOLOGIES INC,"440,205","1,458,560","819,580"
EQT AB,"1,038,658","27,359,171","30,717,862"
EQUATORIAL ENERGIA SA,"20,116","114,053","112,596"
EQUATORIAL ENERGIA SA   ORD,"1,004,906","4,676,958","5,552,429"
EQUINOR ASA,"2,699,438","72,116,705","77,059,796"
EQUINOR ASA SPON ADR,"159,792","4,998,380","4,563,660"
EQUITAL LTD,"28,089","898,890","805,278"
EQUITAS SMALL FINANCE BANK L,"799,766","724,959","931,859"
ERG SPA,"98,246","2,314,258","2,468,169"
ERICSSON LM B SHS,"5,088,944","45,326,506","31,619,144"
ESCORTS KUBOTA LTD,"50,835","1,196,336","2,527,841"
ESON PRECISION IND CO LTD,"60,000","101,747","121,881"
ESR GROUP LTD,"3,583,400","8,707,156","4,709,104"
ESSA INDUSTRIES INDONESIA TB,"18,129,000","998,185","852,486"
ESSILORLUXOTTICA,"522,597","76,095,319","112,691,860"
ESSITY AKTIEBOLAG B,"1,067,626","24,669,998","27,360,551"
ETERNAL MATERIALS CO LTD,"1,682,272","1,621,651","1,602,471"
ETERNIT SA,"5,400","7,642","5,746"
ETIHAD ETISALAT CO,"2,011,150","19,396,403","28,626,562"
ETRON TECHNOLOGY INC,"375,172","782,584","582,856"
EUCATEX SA INDUSTRIA PREF,"2,900","7,938","7,826"
EUGENE TECHNOLOGY CO LTD,"23,652","660,401","853,122"
EUGLENA CO LTD,"177,000","1,350,925","595,285"
EURAZEO SE,"109,524","7,719,815","8,727,796"
EUROCHARM HOLDINGS CO LTD,"3,000","17,688","19,003"
