0,1,2,3
,Long-Term Care 2023-2024 Annual Investment Report,,
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
KKR + CO INC,"7,767","511,191","817,399"
KLA CORP,"1,523","780,443","1,255,729"
KNIGHT SWIFT TRANSPORTATION,"1,610","86,170","80,371"
KRAFT HEINZ CO/THE,"10,962","357,296","353,196"
KROGER CO,"8,576","388,498","428,200"
L3HARRIS TECHNOLOGIES INC,"1,996","345,329","448,262"
LABCORP HOLDINGS INC,966,"197,499","196,591"
LAM RESEARCH CORP,"1,473","1,031,182","1,568,524"
LAMB WESTON HOLDINGS INC,"1,822","176,640","153,194"
LAS VEGAS SANDS CORP,"4,437","232,367","196,337"
LATTICE SEMICONDUCTOR CORP,"1,523","140,996","88,319"
LEIDOS HOLDINGS INC,"1,388","135,274","202,481"
LENNAR CORP A,"2,447","284,303","366,732"
LENNOX INTERNATIONAL INC,364,"135,969","194,733"
LINDE PLC,"5,403","2,065,904","2,370,890"
LIVE NATION ENTERTAINMENT IN,"1,929","159,838","180,824"
LKQ CORP,"2,862","146,478","119,031"
LOCKHEED MARTIN CORP,"2,669","1,187,452","1,246,690"
LOEWS CORP,"1,717","105,990","128,329"
LOWE S COS INC,"6,631","1,528,388","1,461,870"
LPL FINANCIAL HOLDINGS INC,812,"190,146","226,792"
LYONDELLBASELL INDU CL A,"3,308","326,554","316,443"
M + T BANK CORP,"1,814","224,591","274,567"
MANHATTAN ASSOCIATES INC,726,"145,106","179,090"
MARATHON OIL CORP,"6,228","168,280","178,557"
MARATHON PETROLEUM CORP,"4,530","666,001","785,864"
MARKEL GROUP INC,132,"192,239","207,987"
MARKETAXESS HOLDINGS INC,408,"98,270","81,816"
MARRIOTT INTERNATIONAL  CL A,"3,020","606,891","730,145"
MARSH + MCLENNAN COS,"6,170","1,190,743","1,300,142"
MARTIN MARIETTA MATERIALS,724,"320,093","392,263"
MARVELL TECHNOLOGY INC,"10,473","607,837","732,063"
MASCO CORP,"2,565","146,924","171,009"
MASTERCARD INC   A,"9,368","3,856,453","4,132,787"
MATCH GROUP INC,"3,065","140,157","93,115"
MCDONALD S CORP,"8,285","2,313,191","2,111,349"
MCKESSON CORP,"1,469","598,787","857,955"
MERCK + CO. INC.,"28,547","3,068,283","3,534,119"
META PLATFORMS INC CLASS A,"25,025","7,559,297","12,618,106"
METLIFE INC,"6,943","443,583","487,329"
METTLER TOLEDO INTERNATIONAL,276,"334,667","385,735"
MGM RESORTS INTERNATIONAL,"3,142","135,976","139,630"
