0,1,2
Security Name,Book Value,Market Value
"Clearlake Capital Partners IV, L.P.","34,429,116","38,288,792"
"Clearlake Capital Partners V, L.P.","59,024,481","88,111,002"
"Clearlake Capital Partners VII, L.P.","201,920,387","223,330,208"
"Clearlake Opportunities Partners (P), L.P.","51,470,449","53,860,311"
"Clearwater Capital Partners Fund III, L.P.",0,"11,195,808"
"Coalesce Capital Fund I, L.P.","9,131,045","6,239,133"
"Coastal Pacific Partners, L.P.","15,029,880","16,304,158"
"Cobalt Investment Fund, L.P.","260,965","260,965"
"Coefficient Capital Apex Fund I, L.P.","16,704,416","13,216,083"
"Coller International Partners V-A, L.P.","33,325,359","10,606"
"Crosspoint Capital Fund II, L.P.","183,990,059","186,820,930"
CV Consortio Fund L.P.,"454,844,775","556,201,020"
CVC Capital Partners Asia V L.P.,"170,597,515","220,533,455"
"CVC Capital Partners Strategic Opportunities Compounding Capital L.P.657,924,311",,"1,230,300,371"
"CVC Capital Partners VI, L.P.","325,307,345","479,324,547"
CVC Capital Partners VII (A) L.P.,"429,688,069","757,641,550"
CVC Capital Partners VIII (A) L.P.,"650,384,872","707,396,277"
"CVC European Equity Partners III, L.P.","23,331,144","13,673,917"
CVC European Equity Partners V (B) L.P.,"56,212,363","12,209,140"
"Daytona Investco, L.P.","175,000,000","178,260,950"
"Dragoneer Opportunities Fund VI, L.P.","19,553,902","18,616,016"
"DS Opportunities ©, L.P.","140,713,521","288,656,487"
"EMAlternatives Investments, L.P.","42,188,065","12,789,565"
EQT IX (No.2) USD SCSp,"707,579,645","820,478,931"
EQT X (No.2) USD SCSp,"76,070,127","69,953,785"
"Equip Opportunities Fund, L.P.","27,635,416","27,555,467"
"First Reserve Fund XI, L.P.","330,549,235","121,973"
"First Reserve Fund XIII, L.P.","295,093,802","160,227,350"
Forbion Growth Opportunities Fund II Cooperatief U.A.,"5,238,292","5,293,070"
Forbion Ventures Fund VI Cooperatief U.A.,"30,104,703","29,550,827"
ForCal I Investment Fund C.V.,"80,811,668","82,298,011"
"Forecastle, L.P.","516,796,263","727,984,022"
Fourth Street Partners - CPS L.P.,"450,365,526","593,922,690"
"Francisco Partners Agility II, L.P.","40,150,000","60,057,815"
"Francisco Partners II, L.P.","55,041,708","441,839"
"Francisco Partners III, L.P.","24,605,032","42,744,609"
"Francisco Partners VI, L.P.","221,457,520","271,804,780"
"Francisco Partners VII, L.P.","6,750,000","3,375,000"
"GC Customer Value Fund II, L.P.","76,732,842","84,970,803"
"GC Venture XI (S), L.P.","250,251,251","322,880,420"
"GC XI Alpha Co-invest, L.P.","127,985,409","138,949,791"
"GCM Grosvenor DEM II, L.P.","156,586,487","208,277,409"
