0,1,2,3
,Long-Term Care 2023-2024 Annual Investment Report,,
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
FIDELITY NATIONAL INFO SERV,"7,260","407,766","547,114"
FIFTH THIRD BANCORP,"8,340","225,764","304,327"
FIRST CITIZENS BCSHS   CL A,112,"149,985","188,564"
FIRST SOLAR INC,"1,206","224,194","271,905"
FIRSTENERGY CORP,"6,682","233,603","255,720"
FISERV INC,"7,327","892,399","1,092,016"
FORD MOTOR CO,"45,667","550,690","572,664"
FORTINET INC,"7,297","451,512","439,790"
FORTIVE CORP,"3,714","287,116","275,207"
FORTUNE BRANDS INNOVATIONS I,"1,305","88,432","84,747"
FOX CORP CLASS A,163,"5,123","5,602"
FOX CORP CLASS B,"7,811","223,112","250,108"
FRANKLIN RESOURCES INC,"3,594","93,488","80,326"
FREEPORT MCMORAN INC,"15,778","645,002","766,811"
GARTNER INC,836,"292,780","375,414"
GE HEALTHCARE TECHNOLOGY,"4,497","305,521","350,406"
GE VERNOVA INC,"3,255","316,442","558,265"
GEN DIGITAL INC,"6,974","143,985","174,211"
GENERAL DYNAMICS CORP,"2,470","554,088","716,646"
GENERAL ELECTRIC CO,"12,252","1,109,535","1,947,700"
GENERAL MILLS INC,"6,921","457,088","437,822"
GENERAL MOTORS CO,"14,660","488,257","681,104"
GENUINE PARTS CO,"1,540","234,604","213,013"
GILEAD SCIENCES INC,"15,004","1,127,684","1,029,424"
GLOBAL PAYMENTS INC,"2,991","377,826","289,230"
GODADDY INC   CLASS A,"1,626","118,617","227,168"
GOLDMAN SACHS GROUP INC,"3,693","1,196,064","1,670,418"
GRACO INC,"1,921","147,321","152,297"
HALLIBURTON CO,"9,715","394,533","328,173"
HARTFORD FINANCIAL SVCS GRP,"3,799","275,463","381,951"
HCA HEALTHCARE INC,"2,268","621,085","728,663"
HEICO CORP,242,"40,421","54,114"
HEICO CORP CLASS A,"1,306","182,070","231,841"
HENRY SCHEIN INC,"1,177","87,447","75,446"
HERSHEY CO/THE,"2,030","426,257","373,175"
HESS CORP,"2,912","458,054","429,578"
HEWLETT PACKARD ENTERPRISE,"15,028","265,026","318,143"
HF SINCLAIR CORP,"1,793","103,300","95,639"
HILTON WORLDWIDE HOLDINGS IN,"2,703","402,038","589,795"
HOLOGIC INC,"2,280","168,842","169,290"
HOME DEPOT INC,"11,267","3,692,440","3,878,552"
HONEYWELL INTERNATIONAL INC,"7,533","1,399,738","1,608,597"
