0,1
ESG Data Convergence Initiative (EDCI),
•,EDCI is a global partnership of private markets stakeholders committed to streamlining the industry’s historically
,"fragmented approach to collecting and reporting ESG data.  The mission is to create a critical mass of meaningful,"
,"performance-based, and comparable private company sustainability data"
•,CalPERS Private Equity co-founded EDCI in 2021 and serves on the steering committee
•,EDCI launched with 7 GPs and 9 LPs/IMs representing about $4 trillion in assets under management (AUM) and
,now has over 350 GPs and 150 LPs/IMs representing about $38 trillion of AUM
•,"As part of its current strategy launched in Q4 2022, CalPERS PE has worked to increase engagement with EDCI,"
,as well as the participation of its active Buyout managers in EDCI
,"The number of GPs participating went from 20 to 42, increasing the engagement rate from 49% to 68%"
