0,1,2
Security Name,Book Value,Market Value
"SLP Ace Co-Invest, L.P.","245,510,827","363,050,854"
"SLP Emblem Co-Invest, L.P.","75,445,446","99,462,372"
"SLP Redwood Co-Invest, L.P.","97,061,587","136,463,253"
"SPRINGBLUE A, L.P.","32,125,000","26,297,011"
"Springblue A-V, L.P.","5,400,000","5,116,073"
"SPRINGBLUE B, L.P.","42,250,000","39,325,709"
"Springblue B-III SPV (Z), L.P.","18,650,000","18,334,591"
"Springblue B-III, L.P.","5,600,000","5,072,138"
"SR One Capital Fund II-A, L.P.","42,099,187","39,260,565"
"SR One Capital Opportunities Fund I, L.P.","31,907,648","30,174,265"
"Summit Partners Co-Invest (Indigo), L.P.","68,615,146","68,535,484"
"Summit Partners Growth Equity Fund X-A, L.P.","219,253,816","283,788,765"
"Summit Partners Growth Equity Fund XI-A, L.P.","110,854,683","125,924,269"
Sunrise Boulevard PE Partners L.P.,"362,601,469","460,708,010"
"Sunshine Coast SPV, L.P.","773,451,381","773,136,586"
"TA Select Opportunities Fund II-A, L.P.","36,875,000","36,219,842"
"TA XIV-A, L.P.","138,972,450","134,270,546"
"Tailwind Capital Partners (PP), L.P.","35,090,688",0
"Tailwind Capital Partners II, L.P.","21,489,514","72,664,877"
"Tailwind Capital Partners III, L.P.","82,995,531","188,538,105"
"TCC Opportunities, L.P.","333,591,718","410,538,317"
"TCP II Co-Invest B, L.P.","31,697,500","66,181,374"
"TCV X, L.P.","112,406,983","249,053,410"
"TCV XI, L.P.","237,790,710","226,313,266"
"The Rise Fund (A), L.P.","50,990,426","80,822,934"
"The Rise Fund III, L.P.","31,159,544","31,604,533"
"The Veritas Capital Fund VIII, L.P.","435,487,742","479,208,534"
"Thoma Bravo Fund XIV, L.P.","548,283,586","642,091,618"
"Thoma Bravo Fund XV, L.P.","427,818,403","500,494,482"
"Three Pillars Flex Opportunities Fund, L.P.","53,000,000","51,219,677"
"Three Pillars Secondaries Fund, L.P.",0,"7,044,288"
"Thrive Capital Partners VIII Growth, L.P.","197,024,510","228,492,477"
"Thrive Capital Partners VIII Growth, LLC","500,643,564","645,845,217"
"Tiger Global Private Investment Partners XV, L.P.","279,000,000","197,200,548"
"Timber Coast Private Opportunities, L.P.","70,149,725","75,264,692"
"Top Castle Sidecar VII, L.P.","90,031,791","144,273,604"
"TowerBrook Investors II, L.P.","32,506,028","1,282,412"
"TowerBrook Investors IV (Onshore), L.P.","170,402,133","207,991,961"
"Towerbrook Investors V (Onshore), L.P.","374,428,789","479,292,439"
"Towerbrook Structured Opportunities Fund (Onshore), L.P.","153,216,804","154,869,247"
"Towerbrook Structured Opportunities Fund II (Onshore), L.P.","205,015,712","215,446,706"
"TPG Asia V, L.P.","104,580,714","14,576,130"
