0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
360 SECURITY TECHNOLOGY IN A,"15,300","23,179","16,172"
37 INTERACTIVE ENTERTAINME A,"5,000","16,190","8,980"
3I GROUP PLC,"27,034","686,473","1,047,765"
AAC TECHNOLOGIES HOLDINGS IN,"24,000","52,769","94,372"
ABB INDIA LTD,"1,870","109,135","190,412"
ABB LTD REG,"44,447","1,673,720","2,469,168"
ABRDN EUROPEAN LOGISTICS INCOM,"71,512","58,995","54,239"
ABSA GROUP LTD,"31,457","295,751","272,966"
ABU DHABI COMMERCIAL BANK,"111,133","261,030","242,659"
ABU DHABI ISLAMIC BANK,"51,111","143,956","161,140"
ABU DHABI NATIONAL OIL CO FO,"109,296","113,966","100,875"
ACCENTURE PLC CL A,"7,070","2,307,078","2,145,109"
ACCIONA SA,676,"91,464","79,913"
ACCOR SA,"5,464","197,098","224,287"
ACCTON TECHNOLOGY CORP,"18,000","266,324","307,939"
ACER INC,"98,000","124,254","141,526"
ACM RESEARCH SHANGHAI I A,"1,630","24,018","18,958"
ACS ACTIVIDADES CONS Y SERV,"5,940","208,942","256,430"
ACWA POWER CO,"5,025","370,521","474,426"
ADANI ENTERPRISES LTD,"6,034","217,844","229,902"
ADANI GREEN ENERGY LTD,"11,180","206,106","239,830"
ADANI PORTS AND SPECIAL ECON,"18,636","242,632","330,336"
ADANI POWER LTD,"27,222","176,710","234,588"
ADARO ENERGY INDONESIA TBK P,"637,800","107,839","108,669"
ADECCO GROUP AG REG,"4,717","198,345","156,533"
ADES HOLDING CO,"12,211","65,218","65,488"
ADIDAS AG,"4,538","897,798","1,084,584"
ADMIRAL GROUP PLC,"7,447","227,859","246,170"
ADP,"1,015","132,766","123,577"
ADVANCED MICRO FABRICATION A,"1,313","26,749","25,526"
ADVANCED PETROCHEMICALS CO,"3,557","39,828","36,550"
ADVANTECH CO LTD,"18,000","195,229","205,293"
ADVANTEST CORP,"21,500","666,749","858,744"
ADYEN NV,603,"536,763","719,423"
AECC AERO ENGINE CONTROL A,"2,800","8,469","7,734"
AECC AVIATION POWER CO A,"5,100","27,618","25,654"
AEGON LTD,"37,937","189,596","234,521"
AENA SME SA,"2,220","348,089","447,306"
AEON CO LTD,"20,500","426,670","438,266"
AEON MALL CO LTD,"16,400","195,563","193,250"
AERCAP HOLDINGS NV,"5,500","349,314","512,600"
AGC INC,"5,600","197,504","181,236"
