0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
TC ENERGY CORP,"29,382","1,071,091","1,113,568"
TCC GROUP HOLDINGS,"230,000","252,343","242,467"
TCL TECHNOLOGY GROUP CORP A,"33,800","19,613","20,096"
TCL ZHONGHUAN RENEWABLE EN A,"8,900","31,522","10,595"
TDK CORP,"11,100","433,212","680,725"
TECH MAHINDRA LTD,"18,934","298,423","324,776"
TECHTRONIC INDUSTRIES CO LTD,"37,500","381,368","428,440"
TECK RESOURCES LTD CLS B,"12,978","544,727","621,798"
TELE2 AB B SHS,"15,360","110,861","154,757"
TELECOM ITALIA SPA,"251,917","80,671","60,343"
TELEFONICA BRASIL S.A.,"15,443","129,480","126,059"
TELEFONICA SA,"142,510","573,672","604,831"
TELEKOM MALAYSIA BHD,"39,900","44,072","57,175"
TELENOR ASA,"20,250","216,764","231,456"
TELEPERFORMANCE,"1,568","219,337","165,261"
TELIA CO AB,"75,764","159,069","203,393"
TELKOM INDONESIA PERSERO TBK,"1,748,100","428,293","334,141"
TELSTRA GROUP LTD,"112,379","287,904","271,689"
TELUS CORP,"16,257","280,658","246,050"
TEMENOS AG   REG,"1,751","131,739","120,812"
TENAGA NASIONAL BHD,"91,800","195,118","268,151"
TENARIS SA,"13,817","223,322","212,500"
TENCENT HOLDINGS LTD,"238,100","9,955,270","11,356,974"
TERNA RETE ELETTRICA NAZIONA,"40,175","327,062","310,790"
TERUMO CORP,"38,400","573,854","633,316"
TESCO PLC,"218,589","718,659","845,534"
TEVA PHARMACEUTICAL SP ADR,"32,222","323,712","523,608"
TFI INTERNATIONAL INC,"2,177","294,563","316,030"
THALES SA,"2,768","409,850","443,508"
THE SAUDI NATIONAL BANK,"101,610","963,950","993,999"
THE SHANGHAI COMMERCIAL + SA,"143,000","191,408","202,985"
THERMAX LTD FOREIGN,"1,454","92,543","93,304"
THOMSON REUTERS CORP,"4,473","583,695","753,841"
THUNDER SOFTWARE TECHNOLOG A,"1,400","15,496","8,784"
TIANQI LITHIUM CORP A,"3,300","26,944","13,584"
TIANSHAN ALUMINUM GROUP CO A,"15,300","14,552","17,077"
TIANSHUI HUATIAN TECHNOLOG A,"3,800","4,732","4,262"
TIM SA,"27,221","78,346","77,824"
TINGYI (CAYMAN ISLN) HLDG CO,"72,000","105,620","86,779"
TIS INC,"4,500","103,172","87,225"
TITAN CO LTD,"13,122","571,015","535,691"
TMX GROUP LTD,"7,516","163,262","209,164"
