0,1
,"Agenda Item 6c, Attachment 1, Page 7 of 16"
"Private Equity Annual Program Review as of December 31, 2024",
,Program Overview
,Capital Contributions and Distributions
"As of December 31, 2024",
$ in mm,
"15,000",
"10,000",
,"5,000"
,-
"(5,000)",
"(10,000)",
"(15,000)",
"(20,000)",
"(25,000)",
,"2015
2016
2017
2018
2019
2020
2021
2022
2023
2024"
,"Capital Contributed
Total Distributions"
•,CalPERS PE has been cash flow negative as it scales to meet higher asset allocation targets and executes the current PE strategy
,"•
In 2021, CalPERS approved increasing the PE target from 8% to 13%"
,"•
In 2024, CalPERS approved an increase from 13% to 17%, avoiding repeating its past mistakes of procyclicality"
,"•
Emphasis on secondaries and co-invest has accelerated (1) NAV scaling and (2) the impact of decisions by CalPERS PE on returns"
,"Source: PEARS as of December 31, 2023"
,7
