0,1,2,3
,Long-Term Care 2023-2024 Annual Investment Report,,
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
COMCAST CORP CLASS A,"45,743","2,033,997","1,791,296"
CONAGRA BRANDS INC,"8,951","259,887","254,387"
CONFLUENT INC CLASS A,"2,269","70,306","67,004"
CONOCOPHILLIPS,"13,253","1,627,417","1,515,878"
CONSOLIDATED EDISON INC,"4,019","347,684","359,379"
CONSTELLATION BRANDS INC A,"2,702","694,247","695,171"
CONSTELLATION ENERGY,"3,692","414,401","739,397"
COOPER COS INC/THE,"2,009","176,567","175,386"
COPART INC,"9,764","442,792","528,818"
CORNING INC,"9,786","313,145","380,186"
CORPAY INC,799,"216,421","212,862"
CORTEVA INC,"7,806","397,855","421,056"
COSTAR GROUP INC,"5,037","418,377","373,443"
COSTCO WHOLESALE CORP,"5,009","2,750,420","4,257,600"
COTERRA ENERGY INC,"8,803","247,804","234,776"
CRH PLC,"7,091","577,886","531,683"
CROWDSTRIKE HOLDINGS INC   A,"2,832","485,865","1,085,194"
CROWN HOLDINGS INC,"1,296","117,499","96,409"
CSX CORP,"22,083","661,291","738,676"
CUMMINS INC,"1,540","357,034","426,472"
CVS HEALTH CORP,"13,836","911,072","817,154"
DANAHER CORP,"7,921","1,832,719","1,979,062"
DARDEN RESTAURANTS INC,"1,467","222,441","221,986"
DATADOG INC   CLASS A,"2,998","302,122","388,811"
DAVITA INC,614,"60,818","85,082"
DAYFORCE INC,"1,548","112,068","76,781"
DECKERS OUTDOOR CORP,305,"161,018","295,225"
DEERE + CO,"2,988","1,237,262","1,116,406"
DELL TECHNOLOGIES  C,"3,029","231,315","417,729"
DELTA AIR LINES INC,"1,723","71,393","81,739"
DEVON ENERGY CORP,"8,424","448,364","399,298"
DEXCOM INC,"4,731","475,431","536,401"
DIAMONDBACK ENERGY INC,"1,889","291,265","378,159"
DICK S SPORTING GOODS INC,632,"70,809","135,785"
DISCOVER FINANCIAL SERVICES,"2,736","253,203","357,896"
DOCUSIGN INC,"2,237","116,142","119,680"
DOLLAR GENERAL CORP,"2,429","309,844","321,187"
DOLLAR TREE INC,"2,271","264,049","242,475"
DOMINION ENERGY INC,"9,428","440,962","461,972"
DOMINO S PIZZA INC,406,"158,295","209,630"
DOORDASH INC   A,"2,817","237,966","306,433"
DOVER CORP,"1,565","224,801","282,404"
