0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
CHINA KEPEI EDUCATION GROUP,"1,000,000","451,577","194,688"
CHINA LESSO GROUP HOLDINGS L,"1,862,000","1,545,450","744,162"
CHINA LIFE INSURANCE CO H,"12,973,606","25,958,746","18,345,718"
CHINA LILANG LTD,"783,000","503,089","463,341"
CHINA LITERATURE LTD,"663,697","4,037,035","2,138,050"
CHINA LONGYUAN POWER GROUP H,"7,046,252","5,782,312","6,335,620"
CHINA MAN MADE FIBER CORP,"233,000","57,353","58,535"
CHINA MEDICAL SYSTEM HOLDING,"1,940,260","2,229,487","1,645,333"
CHINA MEHECO CO LTD  A,"55,300","89,484","76,654"
CHINA MEIDONG AUTO HOLDINGS,"648,000","2,260,563","174,298"
CHINA MENGNIU DAIRY CO,"4,620,000","18,259,218","8,284,508"
CHINA MERCHANTS BANK A,"5,665,088","36,288,051","26,529,700"
CHINA MERCHANTS BANK H,"6,599,327","30,396,606","29,965,934"
CHINA MERCHANTS ENERGY  A,"14,972,440","14,021,590","17,329,094"
CHINA MERCHANTS PORT HOLDING,"3,557,994","5,638,919","5,295,491"
CHINA MERCHANTS SECURITIES A,"315,505","631,961","601,132"
CHINA MERCHANTS SECURITIES H,"772,979","777,169","610,851"
CHINA MERCHANTS SHEKOU IND A,"354,674","563,114","427,027"
CHINA METAL RECYCLING,"1,401,600",0,0
CHINA MINSHENG BANKING A,"13,724,070","7,517,510","7,124,521"
CHINA MINSHENG BANKING COR H,"15,945,894","7,851,176","5,514,959"
CHINA MODERN DAIRY HOLDINGS,"3,809,000","685,745","341,512"
CHINA MOTOR CORP,"445,000","1,291,312","1,700,933"
CHINA NATIONAL BUILDING MA H,"6,534,800","5,120,183","2,343,602"
CHINA NATIONAL CHEMICAL A,"251,300","287,330","283,626"
CHINA NATIONAL GOLD GROUP  A,"206,625","360,032","272,261"
CHINA NATIONAL NUCLEAR POW A,"2,508,638","3,384,723","3,662,904"
CHINA NATIONAL SOFTWARE  A,"41,560","203,594","170,322"
CHINA NEW HIGHER EDUCATION G,"2,782,000","1,343,850","719,815"
CHINA NONFERROUS MINING CORP,"4,461,000","3,348,037","3,891,112"
CHINA NORTHERN RARE EARTH  A,"190,794","585,191","449,541"
CHINA ORIENTAL GROUP CO LTD,"3,662,000","1,389,059","539,406"
CHINA OVERSEAS GRAND OCEANS,"3,528,000","1,254,974","885,761"
CHINA OVERSEAS LAND + INVEST,"6,906,645","17,899,341","11,979,179"
CHINA OVERSEAS PROPERTY HOLD,"3,135,000","1,790,968","1,879,230"
CHINA PACIFIC INSURANCE GR A,"337,794","1,327,516","1,289,047"
CHINA PACIFIC INSURANCE GR H,"5,497,088","16,238,842","13,420,180"
CHINA PETROCHEMICAL DEV CORP,"5,598,285","1,978,223","1,786,054"
CHINA PETROLEUM + CHEMICAL A,"10,830,800","8,219,925","9,375,710"
CHINA PETROLEUM + CHEMICAL H,"122,729,500","66,227,192","79,541,367"
CHINA POWER INTERNATIONAL,"6,792,962","2,515,746","3,523,799"
CHINA RAILWAY GROUP LTD A,"42,988,503","48,403,387","38,390,742"
