0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
ICICI PRUDENTIAL LIFE INSURA,"12,701","79,564","92,256"
ICL GROUP LTD,"23,351","136,882","101,098"
IDEMITSU KOSAN CO LTD,"23,500","109,228","152,152"
IDFC FIRST BANK LTD,"121,991","132,505","120,195"
IEIT SYSTEMS CO LTD A,"3,000","15,565","15,016"
IFLYTEK CO LTD   A,"5,100","36,545","30,146"
IGM FINANCIAL INC,"3,330","91,955","91,917"
IHH HEALTHCARE BHD,"71,600","90,911","95,618"
IMCD NV,"1,466","199,553","203,154"
IMEIK TECHNOLOGY DEVELOPME A,560,"24,633","13,264"
IMPALA PLATINUM HOLDINGS LTD,"33,068","148,998","164,380"
IMPERIAL OIL LTD,"5,368","310,230","365,935"
INARI AMERTRON BHD,"124,000","81,304","97,255"
IND + COMM BK OF CHINA A,"122,500","76,950","96,098"
IND + COMM BK OF CHINA H,"2,339,000","1,100,322","1,390,086"
INDAH KIAT PULP + PAPER TBK,"101,100","64,818","54,949"
INDIAN HOTELS CO LTD,"34,435","182,594","258,115"
INDIAN OIL CORP LTD,"99,666","148,943","197,963"
INDIAN RAILWAY CATERING + TO,"8,469","79,841","100,470"
INDOFOOD CBP SUKSES MAKMUR T,"92,300","67,570","58,057"
INDOFOOD SUKSES MAKMUR TBK P,"159,500","71,574","59,173"
INDUS TOWERS LTD,"29,621","123,800","133,314"
INDUSIND BANK LTD,"11,358","215,618","199,476"
INDUSTRIA DE DISENO TEXTIL,"31,867","1,233,843","1,583,355"
INDUSTRIAL BANK CO LTD  A,"45,200","100,025","109,609"
INDUSTRIAL BANK OF KOREA,"9,096","76,280","92,645"
INDUSTRIAL SECURITIES CO A,"15,500","13,555","10,794"
INDUSTRIAS PENOLES SAB DE CV,"6,599","87,421","85,801"
INDUSTRIES QATAR,"56,825","198,263","199,769"
INDUSTRIVARDEN AB A SHS,"3,871","106,310","131,809"
INDUSTRIVARDEN AB C SHS,"3,297","86,356","111,330"
INDUTRADE AB,"6,756","140,125","173,267"
INFINEON TECHNOLOGIES AG,"36,652","1,292,012","1,347,562"
INFO EDGE INDIA LTD,"2,504","157,771","203,769"
INFORMA PLC,"45,741","429,372","494,834"
INFOSYS LTD,"120,222","2,283,878","2,258,826"
INFRASTRUTTURE WIRELESS ITAL,"9,324","114,934","97,432"
ING GROEP NV,"92,949","1,300,936","1,590,105"
INGENIC SEMICONDUCTOR CO  A,"1,200","12,572","9,156"
INNER MONGOLIA BAOTOU STE A,"99,000","24,659","19,075"
INNER MONGOLIA DIAN TOU EN A,"6,400","12,192","18,585"
INNER MONGOLIA JUNZHENG EN A,"8,000","4,631","4,063"
