0,1,2
Security Name,Book Value,Market Value
ARA China Long Term Hold,"614,839,847","765,308,373"
Blackstone Mileway Logistics L.P.,"722,063,806","765,461,285"
"Blackstone Property Partners Europe, L.P.","750,103,062","936,508,924"
Blackstone Property Partners Life Sciences L.P.,"761,056,680","786,520,115"
CalEast Canada Limited Partnership,"26,005","26,005"
CalEast Solstice (Original),"(3,169,736)","(3,169,736)"
"CalEast Solstice, LLC","7,309,668,903","10,925,418,555"
CalWest CalPERS GIP,"5,411","5,411"
"Canyon Catalyst Fund II, LLC","72,412,609","103,014,902"
"Canyon Johnson Urban Fund, III",0,0
CCF II Industrial,"473,664","1,944,366"
CCF III Industrial,"128,847,385","176,662,521"
"CCF III, LLC","303,155,441","199,846,130"
CCP 2020,"92,632,181","73,810,619"
Core Property Index Trust,"449,319,604","383,295,683"
"DW Life Sciences Partners, LLC","456,679,260","212,402,437"
FSP - Base,"5,421,949,044","4,409,855,503"
FSP - DT 2012 and Beyond,"561,743,479","322,887,343"
Gotham Office Realty Partnership,"421,455,653","233,746,470"
GRI - Base,"3,030,426,608","4,591,829,674"
GRI - DT 2012 and Beyond,"25,075,412","39,762,207"
"HC Green Development Fund, L.P","165,279,697","234,739,647"
"HC LTH, LLC","547,758,459","378,532,318"
"HCB Interests II, L.P","51,928,809","141,361,537"
"HCM Holdings II, L.P","(1,689)","(1,689)"
"Hearthstone Housing Partners II, LLC","1,090,053","1,090,053"
IMI - Base,"2,670,714,834","4,366,592,047"
IMP - Base,"5,072,011,730","6,342,905,709"
IMP - DT 2012 and Beyond,"116,865,607","132,980,323"
IMP - ICMI,"555,595,784","621,464,998"
IMP Abaca,"120,404,371","129,142,477"
IMP DT 2020,"770,515,185","845,117,236"
"IMP Fairmont Residential Owner, LLC","64,867,140","50,130,818"
"Institutional Logistics Partners, LLC","3,099,804,530","4,310,805,166"
"KC 2011, LLC","(6,318,662)","(6,318,662)"
Land Management Company Resmark,"3,812,691","3,812,691"
"National Office Partners, LLC (CWP)","319,827","319,827"
"ORA Residential Investments I, L.P.","15,288,127","50,296,258"
PMI Tactical,"1,134,589,807","976,973,725"
Sacramento Venture Hines Base,"50,781,247","44,013,884"
Sacramento Venture Hines DT,"33,824,972","28,514,282"
Strategic Property Fund Asia SCSP,"248,392,072","257,960,383"
