0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
TIANQI LITHIUM CORP A,"83,000","644,277","340,045"
TIANQI LITHIUM CORP H,"142,200","808,289","407,986"
TIANSHAN MATERIAL CO L A,"90,100","83,149","66,642"
TIANSHUI HUATIAN TECHNOLOG A,"288,900","321,766","322,503"
TIBET MINERAL DEVELOPMENT A,"52,400","314,635","129,765"
TIETOEVRY OYJ,"516,406","12,817,650","9,984,389"
TIGER BRANDS LTD,"237,268","3,039,440","2,585,394"
TIM SA,"5,349,400","17,262,649","15,293,768"
TIMAH TBK PT,"2,053,300","117,043","109,718"
TIME DOTCOM BHD,"2,035,500","1,882,480","2,170,399"
TIMKEN INDIA LTD,"49,177","1,796,133","2,522,673"
TINGYI (CAYMAN ISLN) HLDG CO,"8,998,000","15,785,122","10,844,991"
TIS INC,"1,070,600","22,351,196","20,751,777"
TISCO FINANCIAL FOREIGN,"961,478","2,537,689","2,502,109"
TISCO FINANCIAL GROUP NVDR,"288,498","779,501","750,775"
TITAGARH RAIL SYSTEM LTD,"113,805","1,712,712","2,538,269"
TITAN CO LTD,"628,533","15,725,116","25,659,844"
TITAN WIND ENERGY SUZHOU A,"69,800","115,153","85,474"
TKC CORP,"50,800","1,036,334","1,094,257"
TKG HUCHEMS,"42,746","696,323","618,605"
TKH GROUP NV DUTCH CERT,"76,908","2,947,097","3,356,408"
TMBTHANACHART BANK P FOREIGN,"100,759,080","4,759,639","4,695,089"
TMBTHANACHART BANK PCL NVDR,"16,716,874","712,669","778,971"
TMX GROUP LTD,"1,287,825","24,793,544","35,839,059"
TOA PAINT THAILAND PCL FOR,"807,100","848,853","435,468"
TOAGOSEI CO LTD,"197,100","1,856,796","1,855,781"
TOBU RAILWAY CO LTD,"982,328","26,547,270","16,540,068"
TOCALO CO LTD,"86,900","736,255","1,111,777"
TODA CORP,"420,400","2,230,743","2,749,361"
TOEI ANIMATION CO LTD,"80,000","1,463,850","1,239,339"
TOEI CO LTD,"57,120","1,274,575","1,349,354"
TOFFLON SCIENCE + TECHNOLO A,"76,700","370,187","124,912"
TOHO CO LTD,"528,289","18,235,826","15,448,660"
TOHO GAS CO LTD,"174,100","4,985,269","4,224,258"
TOHO HOLDINGS CO LTD,"122,200","2,329,496","3,193,659"
TOHO TITANIUM CO LTD,"61,800","866,650","550,922"
TOHOKU ELECTRIC POWER CO INC,"929,400","9,727,909","8,386,343"
TOKAI CARBON CO LTD,"364,800","3,827,416","2,087,558"
TOKAI CARBON KOREA CO LTD,"7,571","728,605","737,024"
TOKAI HOLDINGS CORP,"212,000","1,317,944","1,296,831"
TOKAI RIKA CO LTD,"84,400","1,086,011","1,132,260"
TOKAI TOKYO FINANCIAL HOLDIN,"403,000","1,304,007","1,440,544"
