0,1,2
Security Name,Book Value,Market Value
"2SP I, L.P.","31,140,497","31,140,497"
"57 Stars Global Opportunities Fund 2 (CalPERS), LLC","28,096,212","312,744,710"
"57 Stars Global Opportunities Fund, LLC",0,"16,106,004"
"AACP AP Investors, L.P.","10,130,491","49,110"
AACP China Growth Investors,"14,859,570","1,060,528"
AACP India Investors B,"573,314","2,276,011"
AACP India Investors C,"4,691,886","6,629,935"
AACP India Venture Investors A,"3,269,445","263,704"
Advent Global Technology II Limited Partnership,"62,303,082","78,699,010"
Advent International GPE IX Limited Partnership,"498,263,766","712,784,255"
"Advent International GPE V-D, L.P.","3,984,684","1,924,861"
"Advent International GPE VI-A, L.P.","110,405,338","42,182,962"
"Advent International GPE VII-C, L.P.","149,643,266","49,316,584"
Advent International GPE VIII-B Limited Partnership,"322,290,174","457,505,609"
Advent International GPE X Limited Partnership,"269,828,620","289,810,779"
"AHVF II Rand Warrant Co-Invest, L.P.","50,192,068","51,638,855"
"AlpInvest Secondaries Fund (onshore) VII, L.P.","360,925,078","432,000,610"
"Amberbrook IX, L.P.","44,475,208","56,048,147"
"American Industrial Partners Capital Fund VIII, L.P.","22,125,346","20,727,799"
"AMZL, L.P.","168,203,689","164,451,065"
"AP DSB Co-Invest III, L.P.","8,425,810","10,855,477"
"AP IX Connect Co-Invest Holdings, L.P.","39,524,289","20,376,431"
"Apollo Co-Investors (MHE), L.P.","1,232,678","4,348"
"Apollo European Principal Finance Fund, L.P.","439,730","134,321"
"Apollo Investment Fund IV, L.P.",0,"73,984"
"Apollo Investment Fund IX, L.P","368,626,222","534,658,351"
"Apollo Investment Fund VI, L.P.","62,810,231","8,833,596"
"Apollo Investment Fund VIII, L.P.","105,000,130","104,420,310"
"Apollo Investment Fund X, L.P.","44,883,331","40,836,470"
"Apollo Special Opportunities Managed Account, L.P.",0,"28,916,843"
"ArcLight Energy Partners Fund IV, L.P.","19,782,688","481,668"
"Ares Corporate Opportunities Fund V, L.P.","277,649,280","424,734,565"
"Ares Corporate Opportunities Fund VI, L.P.","216,611,199","271,227,979"
"Ares Private Opportunities (CP), L.P.","158,681,200","232,311,658"
"Arlington Capital Partners VI, L.P.","144,347,311","153,566,105"
"Arsenal Capital Partners Growth, L.P.","16,177,820","10,880,636"
"Arsenal Capital Partners VI, L.P.","58,351,371","48,234,527"
ASF VIII B L.P.,"137,866,787","219,801,708"
"Asia Alternatives Capital Partners II, L.P.","8,579,820","4,457,638"
"Asia Alternatives Capital Partners, L.P.","11,561,648","3,987,828"
"B Capital Global Growth III, L.P.","36,902,032","38,121,303"
"B Capital Opportunities Fund II, L.P.","17,553,071","30,704,797"
