0,1,2,3,4,5,6,7
,,,,,,•,"As of 9/30/22, all time horizons exhibited"
,Internal Rate of Return (IRR) Differences Between CalPERS PE and State Street PE Index (SSPEI),,,,,,
,,,,,,,"underperformance, resulting from:"
"Prior to the Implementation of the Current Strategy: As of September 30, 2022",,,,,,,"•
Inconsistent and procyclical allocation"
,,,18.8%,,,,"•
Favoring Large over Middle Buyout"
20.0%,,,,,,,
,,16.2%,,,,,
,14.6%,,14.5%,,,,"•
Under-allocation to Growth and Venture"
13.3%,,,,,,,
15.0%,12.3%,11.9%,,,,,
11.0%,,,,,,,
,,,,,,,"•
Below-average manager selection"
10.0%,,,,,,,
,,,,,,,"•
Missing longstanding co-invest goals"
5.0%,,,,,,,
,,,,,,,"•
Co-invest deals underperforming funds"
0.0%,,,,,,,
Since Inception,10 Year,5 Year,3 Year,,1 Year,•,Made possible by CalPERS leadership and
-5.0%,,,,,,,
,,,,,-1.6%,,
,,,,-3.9%,,,"launched in Q4 2022, the current PE strategy"
-10.0%,,,,,,,
,CalPERS PE,State Street PE Index,,,,,has erased in two years the -430 bps deficit to
