0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
CHESAPEAKE ENERGY CORP,"219,452","15,954,551","18,036,779"
CHEVRON CORP,"3,094,552","359,107,391","484,049,824"
CHIPOTLE MEXICAN GRILL INC,"2,689,533","58,832,746","168,499,441"
CHOICE HOTELS INTL INC,"94,421","8,087,850","11,236,107"
CHORD ENERGY CORP,"99,871","14,803,161","16,746,371"
CHURCH + DWIGHT CO INC,"1,182,834","75,393,168","122,636,229"
CHURCHILL DOWNS INC,"103,749","7,178,796","14,483,367"
CIBL INC RSTD,88,0,0
CIENA CORP,"242,899","9,672,151","11,702,883"
CIM FUND III,"205,035,538","205,035,538","161,066,077"
CINCINNATI FINANCIAL CORP,"515,001","42,753,781","60,821,624"
CINTAS CORP,"168,678","39,597,650","118,118,461"
CIRRUS LOGIC INC,"109,329","5,999,550","13,956,947"
CISCO SYSTEMS INC,"19,379,780","894,811,128","920,733,348"
CITIGROUP INC,"6,012,039","328,937,026","381,524,149"
CITIZENS FINANCIAL GROUP,"772,337","26,034,665","27,827,336"
CIVITAS RESOURCES INC,"149,278","9,540,844","10,300,186"
CLEAN HARBORS INC,"106,602","8,980,970","24,108,076"
CLEVELAND CLIFFS INC,"805,288","12,025,905","12,393,382"
CLOROX COMPANY,"598,227","86,153,041","81,640,039"
CLOUDFLARE INC   CLASS A,"500,494","32,971,720","41,455,921"
CME GROUP INC,"1,784,089","302,604,429","350,751,897"
CMS ENERGY CORP,"1,366,487","72,845,456","81,346,971"
CNO FINANCIAL GROUP INC,"194,214","3,394,462","5,383,620"
COBALT INTERNATIONAL ENERGY,"51,680",0,0
COCA COLA CO/THE,"11,677,533","564,032,843","743,274,975"
COGNEX CORP,"231,352","8,654,181","10,818,035"
COGNIZANT TECH SOLUTIONS A,"2,478,878","160,760,438","168,563,704"
COHERENT CORP,"173,828","7,086,386","12,595,579"
COINBASE GLOBAL INC  CLASS A,"338,045","34,114,714","75,123,751"
COLDWATER CREEK INC,"54,625",0,0
COLGATE PALMOLIVE CO,"4,241,917","295,799,770","411,635,626"
COLUMBIA BANKING SYSTEM INC,"288,453","7,207,102","5,737,334"
COMCAST CORP CLASS A,"15,005,259","575,200,796","587,605,942"
COMERICA INC,"237,809","12,378,766","12,137,772"
COMFORT SYSTEMS USA INC,"65,534","10,906,695","19,930,201"
COMMERCE BANCSHARES INC,"219,097","9,015,404","12,221,234"
COMMERCIAL METALS CO,"233,882","9,741,429","12,861,245"
COMMUNITY FINANCIAL SYSTEM I,"113,005","6,579,803","5,334,969"
CONAGRA BRANDS INC,"2,324,247","72,303,243","66,055,100"
CONCENTRIX CORP,"88,141","5,612,098","5,577,563"
CONFLUENT INC CLASS A,"312,559","9,562,035","9,229,868"
