0,1,2,3
,International Real Estate Investment Trusts (REITs),,
Security Name,Shares,Book Value,Market Value
ABACUS GROUP,"89,801","66,213","69,270"
ABACUS STORAGE KING,"95,693","75,554","73,814"
ABRDN PROPERTY INCOME TRUST,"74,873","46,384","48,838"
ACTIVIA PROPERTIES INC,123,"344,757","279,094"
ADVANCE LOGISTICS INVESTMENT,118,"105,388","88,100"
ADVANCE RESIDENCE INVESTMENT,241,"565,064","490,660"
AEDIFICA,"8,659","548,771","525,728"
AEON REIT INVESTMENT CORP,314,"316,071","260,007"
AEW UK REIT PLC,"30,224","36,325","32,590"
AIMS APAC REIT,"118,200","110,955","109,020"
ALLIED PROPERTIES REAL ESTAT,"22,467","339,654","251,376"
ARENA REIT,"69,066","165,100","178,507"
ARGAN,"2,143","168,052","167,204"
ARGOSY PROPERTY LTD,"156,867","108,207","97,499"
ASCENCIO,946,"44,461","45,726"
ASSURA PLC,"540,724","305,534","275,736"
BALANCED COMM PROPERTY TRUST,"96,599","83,316","96,712"
BIG YELLOW GROUP PLC,"34,083","456,165","505,810"
BOARDWALK REAL ESTATE INVEST,"7,370","379,019","379,609"
BRITISH LAND CO PLC,"168,116","666,565","874,713"
BWP TRUST,"97,967","229,599","226,378"
CAN APARTMENT PROP REAL ESTA,"32,256","1,159,290","1,047,816"
CAPITALAND ASCENDAS REIT,"749,800","1,535,293","1,416,335"
CAPITALAND ASCOTT TRUST,"456,600","325,184","294,798"
CAPITALAND INTEGRATED COMMER,"1,051,200","1,475,749","1,535,787"
CARE PROPERTY INVEST,"5,860","81,893","82,902"
CARMILA,"10,292","159,656","172,516"
CDL HOSPITALITY TRUSTS,"155,300","117,531","108,862"
CENTURIA INDUSTRIAL REIT,"94,179","186,162","189,321"
CENTURIA OFFICE REIT,"88,046","70,156","64,976"
CHAMPION REIT,"297,000","92,772","59,724"
CHARTER HALL LONG WALE REIT,"117,928","265,549","255,964"
CHARTER HALL RETAIL REIT,"88,016","194,432","191,040"
CHARTER HALL SOCIAL INFRASTR,"74,564","130,506","118,020"
CHOICE PROPERTIES REIT,"47,460","460,349","445,344"
CLS HOLDINGS PLC,"25,266","37,819","28,905"
COFINIMMO,"6,529","478,086","394,307"
COMFORIA RESIDENTIAL REIT IN,125,"288,204","247,109"
COVIVIO,"11,860","558,154","564,112"
CRE LOGISTICS REIT INC,109,"127,156","97,169"
CROMBIE REAL ESTATE INVESTME,"19,619","193,807","182,806"
CROMWELL PROPERTY GROUP,"222,250","65,560","57,888"
