0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
360 ONE WAM LTD,"293,080","2,044,596","3,445,037"
360 SECURITY TECHNOLOGY IN A,"278,200","355,991","292,648"
37 INTERACTIVE ENTERTAINME A,"90,646","233,318","162,029"
3BB INTERNET INFRASTRUCTUR F,"6,538,155","1,638,933","979,902"
3I GROUP PLC,"2,217,735","44,613,775","85,963,533"
3M INDIA LTD,"4,447","1,463,529","1,962,762"
3PEAK INC A,"25,108","324,690","336,374"
3R PETROLEUM OLEO E GAS SA,"347,941","2,272,442","1,721,404"
3SBIO INC,"3,657,000","3,691,221","3,016,527"
4IMPRINT GROUP PLC,"50,226","3,334,782","3,720,572"
77 BANK LTD/THE,"133,200","2,362,450","3,705,524"
A DATA TECHNOLOGY CO LTD,"401,731","946,149","1,337,429"
A LIVING SMART CITY SERVICES,"1,120,500","500,045","401,854"
A.G.V. PRODUCTS,"24,000","8,927","9,506"
A2 MILK CO LTD,"1,192,320","8,530,708","5,158,435"
A2A SPA,"2,921,776","5,021,373","5,823,080"
AAC TECHNOLOGIES HOLDINGS IN,"1,187,325","4,332,535","4,668,766"
AAEON TECHNOLOGY INC,"2,000","10,939","10,912"
AAK AB,"338,164","5,494,831","9,918,083"
AALBERTS NV,"166,179","7,724,513","6,753,651"
AAPICO HITECH PCL NVDR,"38,500","22,995","21,297"
AARTI INDUSTRIES LIMITED,"279,143","2,671,218","2,297,260"
AAVAS FINANCIERS LTD,"69,590","1,533,997","1,546,492"
ABB INDIA LTD,"99,635","5,075,828","10,146,826"
ABB LTD REG,"3,272,127","107,968,828","181,774,815"
ABC MART INC,"124,800","2,105,955","2,191,723"
ABCELLERA BIOLOGICS INC,"298,613","3,881,108","883,894"
ABDULLAH AL OTHAIM MARKETS,"1,445,925","4,711,979","4,378,321"
ABICO AVY CO LTD,"675,000","660,688","759,444"
ABILITY ENTERPRISE CO LTD,"179,000","230,089","299,055"
ABN AMRO BANK NV CVA,"943,617","16,903,982","15,524,058"
ABRDN PLC,"2,986,621","11,354,986","5,595,449"
ABSA GROUP LTD,"1,404,035","13,788,529","12,183,446"
ABSOLUTE CLEAN ENERG FOREIGN,"62,500","2,348","2,265"
ABU DHABI COMMERCIAL BANK,"14,395,409","33,352,067","31,432,393"
ABU DHABI ISLAMIC BANK,"8,357,562","22,282,502","26,349,188"
ABU DHABI NATIONAL OIL CO FO,"13,987,837","15,958,201","12,910,092"
ABU DHABI PORTS CO PJSC,"1,072,973","1,567,123","1,489,859"
ACBEL POLYTECH INC,"1,031,970","1,319,667","1,235,832"
ACC LTD,"118,104","3,024,534","3,709,436"
ACCELLERON INDUSTRIES AG,"168,433","4,766,437","6,597,868"
ACCENT GROUP LTD,"602,407","719,578","778,486"
