0,1,2
Security Name,Book Value,Market Value
"Alinda Infrastructure Fund II, L.P.","2,028,227","2,217,740"
"Archmore International Infrastructure Fund II (B), L.P.","16,166,064","15,875,964"
"Archmore International Infrastructure Fund II (C), L.P.","30,146,573","33,834,132"
"BIF V Co-Invest (C), L.P.","133,696,433","143,907,766"
Brookfield Infrastructure Fund V,"219,714,286","240,036,320"
"Carlyle Infrastructure Partners, L.P.","711,915","711,915"
"CIM Infrastructure Fund, L.P.","82,155,194","107,528,333"
"Concession Investment Holdings, LLC","255,759,171","1,059,246,809"
"DB SAF C Strategic Partners, L.P","132,943,913","144,606,418"
"DCP C Strategic Partners, L.P","1,107,530,663","1,291,116,053"
"DigitalBridge Partners II, L.P","386,213,380","468,509,272"
"DigitalBridge Strategic Assets Fund, L.P","237,963,904","252,708,623"
"GIP Aquarius Fund, SCSp","725,554,644","871,048,666"
"GIP IV Gutenberg Co-Invest, SCSP","170,322,335","129,983,826"
"GIP IV Seaway Co-Invest 2, L.P.","15,776,279","16,081,440"
"Global Infrastructure Partners II, L.P. (GIP II)","61,646,877","120,574,758"
"Global Infrastructure Partners IV-A/B, L.P.","389,278,285","472,740,327"
Global Infrastructure Partners V,"79,445,052","109,650,855"
Golden Reef Infrastructure Trust,"2,748,796,246","3,129,089,458"
"Harbert Gulf Pacific Power, LLC (HGPP)","1,820,324,736","1,978,980,599"
"Harbert Infrastructure Fund VI, L.P.","67,582,769","88,555,392"
"Harbert Power Fund V, L.P. (HPF V)","17,561,591","21,145,315"
"IFM Global Infrastructure (US), L.P.","803,847,977","803,847,977"
"IIF Hedged, L.P","479,041,310","558,494,144"
"Macquarie Infrastructure Partners VI, L.P.","189,903,108","193,001,947"
"Neptune Regional Transmission System, LLC","190,266,296","339,999,973"
"North Haven Infrastructure Partners II, L.P","125,962,628","78,749,694"
"Sierra Nevada Investment Partners, L.P","9,538,652","88,906,704"
"Stonepeak Infrastructure Fund IV, L.P","272,902,013","336,703,502"
"Tower Bridge Infrastructure Partners, L.P.","2,645,552,244","3,124,894,564"
TOTAL,"13,418,332,765","16,222,748,483"
