0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
ANGEL OAK MORTGAGE TRUST,1.00,8/25/2068,"1,827,316","1,786,121",
BANC OF AMERICA COMMERCIAL MOR,3.75,2/15/2050,"1,000,000","916,442",
BANC OF AMERICA COMMERCIAL MOR,3.17,7/15/2049,"43,000","39,876",
BANK 2017 BNK5 A5,3.39,6/15/2060,"50,000","46,160",
BANK 2017 BNK7 A5,3.44,9/15/2060,"21,000","19,296",
BANK 2017 BNK8 A3,3.23,11/15/2050,"43,728","39,704",
BANK 2018 BN13 A5,1.00,8/15/2061,"88,000","82,435",
BANK 2018 BN14 A4,1.00,9/15/2060,"256,000","240,037",
BANK 2018 BN15 A4,1.00,11/15/2061,"125,000","117,881",
BANK 2019 BN16 A4,4.01,2/15/2052,"347,000","320,281",
BANK 2019 BN18 A4,3.58,5/15/2062,"179,000","159,835",
BANK 2019 BN20 A3,3.01,9/15/2062,"347,000","294,066",
BANK 2020 BN25 A5,2.65,1/15/2063,"347,000","291,121",
BANK 2020 BN26 AS,2.69,3/15/2063,"320,000","255,751",
BANK 2020 BN28 A4,1.84,3/15/2063,"147,000","116,292",
BANK 2020 BN29 A4,2.00,11/15/2053,"347,000","266,243",
BANK 2021 BN31 A4,2.04,2/15/2054,"210,000","165,925",
BANK 2021 BN33 A5,2.56,5/15/2064,"179,000","145,528",
BANK 2021 BN34 A5,2.44,6/15/2063,"347,000","272,202",
BANK 2021 BN37 A4,2.37,11/15/2064,"520,000","413,176",
BANK 2024 BNK47 A5,5.72,6/15/2057,"3,230,000","3,326,727",
BANK5 2023 5YR3 A3,1.00,9/15/2056,"555,000","579,352",
BARCLAYS COMMERCIAL MORTGAGE S,1.00,5/15/2057,"2,000,000","1,999,863",
BARCLAYS COMMERCIAL MORTGAGE S,5.83,5/15/2057,"1,010,000","1,040,145",
BARCLAYS COMMERCIAL MORTGAGE S,5.42,2/15/2057,"2,600,000","2,676,962",
BARCLAYS COMMERCIAL MORTGAGE S,1.00,11/15/2056,"720,000","761,991",
BARCLAYS COMMERCIAL MORTGAGE S,1.00,9/15/2056,"2,830,000","2,900,133",
BARCLAYS COMMERCIAL MORTGAGE S,2.69,11/15/2054,"286,000","233,187",
BARCLAYS COMMERCIAL MORTGAGE S,2.32,9/15/2054,"179,000","142,661",
BARCLAYS COMMERCIAL MORTGAGE S,2.64,2/15/2053,"179,000","151,081",
BARCLAYS COMMERCIAL MORTGAGE S,3.58,5/15/2052,"347,000","313,108",
BARCLAYS COMMERCIAL MORTGAGE S,3.67,2/15/2050,"314,000","292,214",
BARCLAYS MORTGAGE LOAN TRUST,1.00,1/25/2064,"1,516,121","1,512,541",
BENCHMARK MORTGAGE TRUST,1.00,5/15/2055,"179,000","160,404",
BENCHMARK MORTGAGE TRUST,3.46,3/15/2055,"520,000","443,680",
BENCHMARK MORTGAGE TRUST,2.43,11/15/2054,"1,570,000","1,352,295",
BENCHMARK MORTGAGE TRUST,2.58,4/15/2054,"433,000","338,631",
BENCHMARK MORTGAGE TRUST,2.58,3/15/2054,"179,000","142,129",
BENCHMARK MORTGAGE TRUST,2.07,2/15/2054,"347,000","267,080",
BENCHMARK MORTGAGE TRUST,1.97,1/15/2054,"107,000","83,448",
BENCHMARK MORTGAGE TRUST,1.85,9/15/2053,"268,000","205,037",
BENCHMARK MORTGAGE TRUST,1.93,7/15/2053,"226,000","177,208",
BENCHMARK MORTGAGE TRUST,2.29,3/15/2053,"268,000","215,658",
BENCHMARK MORTGAGE TRUST,3.42,8/15/2052,"1,500,000","1,282,545",
BENCHMARK MORTGAGE TRUST,3.54,5/15/2052,"347,000","309,066",
BENCHMARK MORTGAGE TRUST,1.00,7/15/2051,"572,000","531,518",
BENCHMARK MORTGAGE TRUST,4.03,4/10/2051,"214,000","198,152",
BENCHMARK MORTGAGE TRUST,1.00,2/15/2051,"50,000","45,705",
BENCHMARK MORTGAGE TRUST,3.61,2/15/2051,"39,000","35,446",
