0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
VODACOM GROUP LTD,"17,432","99,397","93,088"
VODAFONE GROUP PLC,"680,050","628,287","599,692"
VOESTALPINE AG,"3,112","91,115","84,116"
VOLKSWAGEN AG,650,"86,466","78,093"
VOLKSWAGEN AG PREF,"6,034","707,307","681,616"
VOLTRONIC POWER TECHNOLOGY,"2,000","98,886","118,675"
VOLVO AB A SHS,"5,953","118,446","155,371"
VOLVO AB B SHS,"45,040","937,089","1,152,985"
VOLVO CAR AB B,"23,755","84,789","73,540"
VONOVIA SE,"146,495","3,530,920","4,168,512"
WALLENSTAM AB B SHS,"59,966","208,902","285,102"
WALMART DE MEXICO SAB DE CV,"187,471","728,396","638,317"
WALSIN LIHWA CORP,"100,000","117,865","109,428"
WALVAX BIOTECHNOLOGY CO A,"3,000","9,833","4,699"
WAN HAI LINES LTD,"29,000","42,999","79,201"
WANDA FILM HOLDING CO LTD A,"2,500","4,595","4,160"
WANHUA CHEMICAL GROUP CO  A,"6,600","87,750","73,448"
WANT WANT CHINA HOLDINGS LTD,"169,000","111,454","102,170"
WARTSILA OYJ ABP,"14,354","194,637","276,910"
WASHINGTON H. SOUL PATTINSON,"7,125","153,177","156,172"
WASTE CONNECTIONS INC,"2,706","377,305","474,524"
WEG SA,"60,785","440,075","461,705"
WEICHAI POWER CO LTD A,"10,600","18,206","23,692"
WEICHAI POWER CO LTD H,"71,000","96,183","135,863"
WEIHAI GUANGWEI COMPOSITES A,"1,900","7,307","6,493"
WENS FOODSTUFFS GROUP CO L A,"14,900","34,176","40,644"
WESFARMERS LTD,"31,575","1,101,330","1,374,475"
WEST FRASER TIMBER CO LTD,"1,521","114,749","116,791"
WEST JAPAN RAILWAY CO,"13,600","295,101","253,214"
WESTERN MINING CO  A,"5,000","9,101","12,352"
WESTERN SECURITIES CO LTD A,"9,000","8,240","7,667"
WESTERN SUPERCONDUCTING TE A,"2,163","14,292","11,407"
WESTON (GEORGE) LTD,"2,168","253,720","311,792"
WESTPAC BANKING CORP,"97,683","1,364,340","1,776,420"
WH GROUP LTD,"273,000","146,343","179,729"
WHARF HOLDINGS LTD,"29,644","77,151","83,342"
WHARF REAL ESTATE INVESTMENT,"318,000","1,285,593","843,123"
WHEATON PRECIOUS METALS CORP,"12,916","552,708","677,067"
WHITBREAD PLC,"5,589","248,277","210,185"
WIHLBORGS FASTIGHETER AB,"48,149","357,411","445,108"
WILL SEMICONDUCTOR CO LTD A,"2,600","33,017","35,557"
WILLIS TOWERS WATSON PLC,"1,128","230,247","295,694"
