0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
SERVICE PROPERTIES TRUST,8.63,11/15/2031,"18,302,000","18,733,489"
SERVICE PROPERTIES TRUST,8.38,6/15/2029,"9,300,000","9,191,091"
SERVICE PROPERTIES TRUST,5.50,12/15/2027,"725,000","726,788"
SERVICE PROPERTIES TRUST,5.25,2/15/2026,"1,325,000","1,317,494"
SHEA HOMES LP/FNDG CP,4.75,4/1/2029,"1,075,000","1,078,485"
SHELL INTERNATIONAL FIN,3.00,11/26/2051,"23,500,000","17,215,833"
SHELL INTERNATIONAL FIN,3.25,4/6/2050,"87,000,000","83,745,815"
SHELL INTERNATIONAL FIN,3.75,9/12/2046,"13,612,000","14,049,274"
SHELL INTERNATIONAL FIN,4.00,5/10/2046,"6,000,000","5,188,406"
SHELL INTERNATIONAL FIN,4.38,5/11/2045,"13,800,000","14,913,924"
SHELL INTERNATIONAL FIN,4.55,8/12/2043,"5,385,000","6,119,809"
SHELL INTERNATIONAL FIN,2.88,11/26/2041,"38,813,000","36,525,482"
SHELL INTERNATIONAL FIN,6.38,12/15/2038,"5,000,000","5,651,362"
SHELL INTERNATIONAL FIN,4.13,5/11/2035,"7,000,000","6,691,060"
SHERWIN WILLIAMS CO,4.50,6/1/2047,"3,000,000","2,600,863"
SHERWIN WILLIAMS CO,2.20,3/15/2032,"1,000,000","817,604"
SHIFT4 PAYMENTS LLC/FIN,4.63,11/1/2026,"5,003,000","4,972,644"
SILGAN HOLDINGS INC,4.13,2/1/2028,"15,600,000","14,891,861"
SIMMONS FOOD INC/SIMMONS,4.63,3/1/2029,"47,950,000","42,314,872"
SIMON PROPERTY GROUP LP,6.65,1/15/2054,"27,000,000","26,906,320"
SIMON PROPERTY GROUP LP,5.85,3/8/2053,"5,000,000","4,985,156"
SIMON PROPERTY GROUP LP,3.25,9/13/2049,"5,000,000","5,050,307"
SIMON PROPERTY GROUP LP,6.25,1/15/2034,"5,000,000","5,301,321"
SIMON PROPERTY GROUP LP,5.50,3/8/2033,"36,500,000","36,374,405"
SIMON PROPERTY GROUP LP,2.65,2/1/2032,"13,250,000","12,693,906"
SIMON PROPERTY GROUP LP,2.20,2/1/2031,"5,000,000","4,854,531"
SINCLAIR TELEVISION GROU,4.13,12/1/2030,"13,375,000","10,561,003"
SINCLAIR TELEVISION GROU,5.50,3/1/2030,"3,595,000","2,342,049"
SIRIUS XM RADIO INC,3.88,9/1/2031,"54,036,000","44,978,463"
SIRIUS XM RADIO INC,4.13,7/1/2030,"37,655,000","32,746,764"
SIRIUS XM RADIO INC,5.50,7/1/2029,"46,124,000","43,962,700"
SIRIUS XM RADIO INC,4.00,7/15/2028,"76,818,000","69,907,203"
SIRIUS XM RADIO INC,5.00,8/1/2027,"63,691,000","61,247,421"
SIRIUS XM RADIO INC,3.13,9/1/2026,"2,800,000","2,629,706"
SITIO ROYAL OP / SIT FIN,7.88,11/1/2028,"6,850,000","7,021,970"
SIX FLAGS ENTER / THEME,6.63,5/1/2032,"37,786,000","37,824,295"
SIX FLAGS ENTERTAINMENT,7.25,5/15/2031,"30,666,000","30,095,393"
SIX FLAGS ENTERTAINMENT,5.50,4/15/2027,"11,999,000","11,603,999"
SIX FLAGS THEME PARKS,7.00,7/1/2025,"3,877,000","3,925,904"
SIZZLING PLATT/FIN CO,8.50,11/28/2025,"2,100,000","2,072,317"
SK INVICTUS INTERMEDIATE,5.00,10/30/2029,"13,100,000","11,310,806"
SLM CORP,3.13,11/2/2026,"18,575,000","17,385,609"
SLM CORP,4.20,10/29/2025,"12,300,000","11,914,526"
SM ENERGY CO,6.50,7/15/2028,"6,408,000","6,401,989"
SM ENERGY CO,6.63,1/15/2027,"4,000,000","3,993,923"
SM ENERGY CO,6.75,9/15/2026,"2,679,000","2,637,023"
SMURFIT KAPPA TREASURY,5.78,4/3/2054,"5,000,000","5,000,000"
SMURFIT KAPPA TREASURY,5.44,4/3/2034,"10,000,000","10,000,000"
SMYRNA READY MIX CONCRET,8.88,11/15/2031,"17,103,000","17,889,631"
SMYRNA READY MIX CONCRET,6.00,11/1/2028,"21,565,000","21,244,906"
SOCIETE GENERALE,7.37,1/10/2053,"3,000,000","3,156,394"
SOLARIS MIDSTREAM HOLDIN,7.63,4/1/2026,"1,000,000","1,006,827"
SONIC AUTOMOTIVE INC,4.88,11/15/2031,"10,940,000","9,674,779"
