0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
WESTPAC BANKING CORP,"5,962,271","110,544,466","108,427,993"
WESTPORTS HOLDINGS BHD,"298,800","251,510","264,122"
WH GROUP LTD,"18,501,500","14,426,821","12,180,580"
WH SMITH PLC,"213,377","3,260,169","3,053,458"
WHA CORP PCL FOREIGN,"11,133,120","1,434,303","1,468,337"
WHA CORP PCL NVDR,"659,000","96,740","86,919"
WHA UTILITIES AND POWER NVDR,"767,500","84,693","87,003"
WHARF HOLDINGS LTD,"1,754,203","4,590,797","4,931,859"
WHARF REAL ESTATE INVESTMENT,"2,579,222","11,238,224","6,838,415"
WHEATON PRECIOUS METALS CORP,"2,243,109","65,693,732","117,585,566"
WHIRLPOOL OF INDIA LTD,"93,199","1,917,178","2,233,480"
WHITBREAD PLC,"333,234","11,600,838","12,532,718"
WIHLBORGS FASTIGHETER AB,"442,620","2,661,174","4,091,759"
WILL SEMICONDUCTOR CO LTD A,"101,599","1,318,498","1,382,844"
WILLIS TOWERS WATSON PLC,"452,064","78,305,440","118,504,057"
WILMAR INTERNATIONAL LTD,"8,212,121","24,173,693","18,784,413"
WILSON BAYLY HOLMES OVCON,"13,736","112,178","120,419"
WILSON SONS SA,"275,228","961,548","753,175"
WIN SEMICONDUCTORS CORP,"576,000","3,684,575","3,098,254"
WINBOND ELECTRONICS CORP,"4,787,220","4,269,384","3,792,416"
WINGTECH TECHNOLOGY CO LTD A,"49,574","297,874","191,822"
WINMATE INC,"6,000","28,436","28,297"
WINNING HEALTH TECHNOLOGY A,"80,091","81,770","64,724"
WINSTEK SEMICONDUCTOR CO LTD,"1,000","3,860","4,131"
WIPRO LTD,"3,161,329","15,353,496","19,520,619"
WISDOM MARINE LINES CO LTD,"5,089,000","10,790,695","10,666,970"
WISE PLC A,"1,262,063","10,084,072","10,872,682"
WISETECH GLOBAL LTD,"274,326","10,502,732","18,375,865"
WISTRON CORP,"4,587,084","7,840,269","14,988,006"
WISTRON NEWEB CORP,"615,472","2,106,470","3,054,469"
WIWYNN CORP,"318,000","19,042,154","25,927,017"
WIX.COM LTD,"180,188","26,493,458","28,662,510"
WIZ CO,"15,700","22,126","16,140"
WIZZ AIR HOLDINGS PLC,"353,635","15,423,323","9,995,587"
WOLONG ELECTRIC GROUP CO L A,"62,700","117,554","104,346"
WOLTERS KLUWER,"1,234,064","102,904,288","204,739,824"
WONDERFUL HI TECH CO LTD,"70,000","79,867","88,143"
WONIK IPS CO LTD,"57,539","1,156,832","1,454,676"
WONIK MATERIALS CO LTD,"12,150","263,697","297,020"
WOODSIDE ENERGY GROUP LTD,"3,157,684","70,794,909","59,490,928"
WOOLWORTHS GROUP LTD,"2,006,156","46,392,012","45,272,276"
WOOLWORTHS HOLDINGS LTD,"1,711,135","6,072,868","5,789,383"
