0,1,2,3,4
Security Name,Rate,Maturity Date,Par Value,Book Value
KENNEDY WILSON INC,4.75,3/1/2029,"12,672,000","10,835,369"
KENVUE INC,5.20,3/22/2063,"15,000,000","15,045,622"
KENVUE INC,5.05,3/22/2053,"49,000,000","49,857,172"
KENVUE INC,5.10,3/22/2043,"15,000,000","14,963,353"
KENVUE INC,4.90,3/22/2033,"10,000,000","10,100,073"
KEY BANK NA,5.00,1/26/2033,"30,300,000","27,518,851"
KEYCORP,1.00,3/6/2035,"25,000,000","24,999,515"
KEYCORP,1.00,6/1/2033,"37,300,000","34,776,894"
KFC HLD/PIZZA HUT/TACO,4.75,6/1/2027,"20,870,000","20,474,479"
KHAZANAH CAPITAL LTD,4.88,6/1/2033,"5,000,000","4,996,340"
KHAZANAH GLOBAL SUKUK,4.69,6/1/2028,"14,000,000","13,852,965"
KILROY REALTY LP,6.25,1/15/2036,"10,000,000","9,892,271"
KIMBERLY CLARK CORP,4.50,2/16/2033,"1,900,000","1,921,351"
KIMCO REALTY OP LLC,6.40,3/1/2034,"30,000,000","29,885,529"
KIMCO REALTY OP LLC,4.60,2/1/2033,"1,500,000","1,400,304"
KIMCO REALTY OP LLC,3.20,4/1/2032,"17,500,000","16,867,061"
KINDER MORGAN ENER PART,7.50,11/15/2040,"23,468,000","24,711,236"
KINDER MORGAN INC,5.45,8/1/2052,"52,000,000","47,070,198"
KINDER MORGAN INC,5.55,6/1/2045,"50,750,000","52,335,939"
KINDER MORGAN INC,5.30,12/1/2034,"16,718,000","18,543,467"
KINDER MORGAN INC,5.40,2/1/2034,"15,000,000","14,944,083"
KINDER MORGAN INC,5.20,6/1/2033,"41,500,000","40,446,794"
KINDER MORGAN INC,4.80,2/1/2033,"4,500,000","4,317,683"
KINDER MORGAN INC,7.75,1/15/2032,"5,000,000","5,683,850"
KINETIK HOLDINGS LP,5.88,6/15/2030,"24,445,000","23,665,536"
KINETIK HOLDINGS LP,6.63,12/15/2028,"17,081,000","17,278,336"
KKR GROUP FIN CO X LLC,3.25,12/15/2051,"12,000,000","12,021,786"
KKR GROUP FINAN CO VIII,3.50,8/25/2050,"12,700,000","12,604,145"
KKR GROUP FINAN CO XII,4.85,5/17/2032,"20,200,000","19,949,591"
KKR GROUP FINANCE CO III,5.13,6/1/2044,"3,370,000","3,089,583"
KLA CORP,4.95,7/15/2052,"2,500,000","2,471,448"
KLA CORP,5.00,3/15/2049,"20,622,000","22,928,975"
KODIAK GAS SERVICES LLC,7.25,2/15/2029,"36,143,000","36,598,043"
KOHL S CORPORATION,4.63,5/1/2031,"5,300,000","4,445,959"
KOHLER ENERGY CO LLC,1.00,5/1/2031,"4,700,000","4,559,000"
KONINKIJKE AHOLD DLHAIZE,5.70,10/1/2040,"7,109,000","8,049,016"
KONTOOR BRANDS INC,4.13,11/15/2029,"700,000","700,000"
KRAFT HEINZ FOODS CO,5.50,6/1/2050,"6,000,000","5,960,550"
KRAFT HEINZ FOODS CO,4.88,10/1/2049,"17,000,000","15,012,617"
KRAFT HEINZ FOODS CO,4.38,6/1/2046,"69,217,000","68,431,946"
KRAFT HEINZ FOODS CO,5.20,7/15/2045,"3,400,000","3,887,254"
KRAFT HEINZ FOODS CO,5.00,6/4/2042,"4,000,000","4,747,884"
KRAFT HEINZ FOODS CO,4.63,10/1/2039,"11,425,000","11,849,717"
KROGER CO,3.95,1/15/2050,"4,000,000","3,232,359"
KROGER CO,4.45,2/1/2047,"3,500,000","3,073,761"
KROGER CO,7.50,4/1/2031,"17,250,000","18,982,266"
KRONOS ACQUISITION HOLDI,8.25,6/30/2031,"900,000","900,000"
KYNDRYL HOLDINGS INC,6.35,2/20/2034,"7,000,000","6,991,634"
L3HARRIS TECH INC,5.60,7/31/2053,"5,000,000","4,984,636"
L3HARRIS TECH INC,5.05,4/27/2045,"4,142,000","5,016,631"
L3HARRIS TECH INC,6.15,12/15/2040,"3,000,000","3,845,255"
L3HARRIS TECH INC,4.85,4/27/2035,"9,730,000","10,890,070"
L3HARRIS TECH INC,5.40,7/31/2033,"20,000,000","19,984,621"
