0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
HORMEL FOODS CORP,"3,754","138,133","114,459"
HOWMET AEROSPACE INC,"3,882","191,739","301,360"
HP INC,"11,387","341,651","398,773"
HUBBELL INC,618,"193,612","225,867"
HUBSPOT INC,585,"320,511","345,027"
HUMANA INC,"1,370","641,266","511,901"
HUNT (JB) TRANSPRT SVCS INC,944,"176,619","151,040"
HUNTINGTON BANCSHARES INC,"17,828","198,963","234,973"
HUNTINGTON INGALLS INDUSTRIE,378,"82,072","93,113"
HYATT HOTELS CORP   CL A,499,"61,651","75,808"
IDEX CORP,837,"185,956","168,404"
IDEXX LABORATORIES INC,916,"453,726","446,275"
ILLINOIS TOOL WORKS,"3,506","849,672","830,782"
ILLUMINA INC,"1,706","261,157","178,072"
INCYTE CORP,"1,800","113,275","109,116"
INGERSOLL RAND INC,"3,922","268,422","356,274"
INSULET CORP,748,"140,530","150,946"
INTEL CORP,"47,729","1,759,873","1,478,167"
INTERCONTINENTAL EXCHANGE IN,"6,865","803,039","939,750"
INTERNATIONAL PAPER CO,"3,918","134,619","169,062"
INTERPUBLIC GROUP OF COS INC,"5,870","188,673","170,758"
INTL BUSINESS MACHINES CORP,"10,479","1,559,578","1,812,343"
INTL FLAVORS + FRAGRANCES,"2,881","203,544","274,300"
INTUIT INC,"3,145","1,734,791","2,066,925"
INTUITIVE SURGICAL INC,"3,969","1,225,390","1,765,610"
IQVIA HOLDINGS INC,"2,206","487,283","466,437"
JABIL INC,"1,415","164,788","153,938"
JACK HENRY + ASSOCIATES INC,722,"112,712","119,866"
JACOBS SOLUTIONS INC,"1,344","179,598","187,770"
JM SMUCKER CO/THE,"1,505","209,611","164,105"
JOHNSON + JOHNSON,"27,321","4,386,881","3,993,237"
JOHNSON CONTROLS INTERNATION,"8,377","489,744","556,819"
JPMORGAN CHASE + CO,"32,491","4,725,184","6,571,630"
JUNIPER NETWORKS INC,"3,679","106,728","134,136"
KELLANOVA,"4,304","239,362","248,255"
KENNEDY WILSON HOLDINGS INC,"20,213","311,537","196,470"
KENVUE INC,"22,522","496,934","409,450"
KEURIG DR PEPPER INC,"16,679","543,564","557,079"
KEYCORP,"12,090","138,673","171,799"
KEYSIGHT TECHNOLOGIES IN,"1,897","255,890","259,415"
KIMBERLY CLARK CORP,"4,542","575,963","627,704"
KINDER MORGAN INC,"22,712","387,797","451,287"
