0,1,2,3
,Domestic Equity,,
Security Name,Shares,Book Value,Market Value
CABOT CORP,"104,116","7,545,694","9,567,219"
CACI INTERNATIONAL INC  CL A,"117,596","27,848,747","50,581,567"
CADENCE BANK,"314,435","8,164,546","8,892,229"
CADENCE DESIGN SYS INC,"997,105","155,079,640","306,859,064"
CAESARS ENTERTAINMENT INC,"363,230","18,960,676","14,434,766"
CAMPBELL SOUP CO,"923,405","38,618,003","41,728,672"
CAPITAL ONE FINANCIAL CORP,"940,342","90,329,300","130,190,394"
CARDINAL HEALTH INC,"1,514,848","116,580,518","148,939,855"
CARLISLE COS INC,"94,629","14,011,720","38,344,626"
CARLYLE GROUP INC/THE,"355,395","11,665,626","14,269,134"
CARLYLE PARTNERS V,"139,811,246","131,747,343","37,623,486"
CARMAX INC,"261,819","16,984,860","19,201,820"
CARNELIAN POINT HOLDINGS L.P.,"1,046","2,484,428","1,244,594"
CARNIVAL CORP,"1,753,492","40,795,877","32,825,371"
CARNIVAL PLC,"191,487","2,473,420","3,284,744"
CARRIER GLOBAL CORP,"1,448,359","38,210,807","91,362,515"
CARTER S INC,"70,303","5,491,193","4,356,681"
CARVANA CO,"192,755","15,877,095","24,811,424"
CASELLA WASTE SYSTEMS INC A,"236,598","19,595,996","23,475,260"
CASEY S GENERAL STORES INC,"190,019","37,020,464","72,503,650"
CATALENT INC,"235,536","14,095,219","13,244,201"
CATERPILLAR INC,"937,341","141,861,722","312,228,321"
CBOE GLOBAL MARKETS INC,"605,895","71,591,982","103,038,504"
CBRE GROUP INC   A,"548,204","28,022,361","48,850,625"
CCBOSHUS6 BANK OF AMERICA CCPC,"725,000","725,000","725,000"
CCBOSZUS6 BOA CCPC COC,"17,309,000","17,309,000","17,309,000"
CDW CORP/DE,"668,552","104,675,955","149,648,680"
CELANESE CORP,"196,830","18,640,557","26,550,415"
CELSIUS HOLDINGS INC,"316,759","12,627,837","18,083,777"
CENCORA INC,"912,003","134,062,710","205,474,276"
CENTENE CORP,"2,476,017","163,990,645","164,159,927"
CENTERPOINT ENERGY INC,"2,963,111","81,875,083","91,797,179"
"CENVEO ENTERPRISES, INC.","1,157","121,749","20,826"
CF INDUSTRIES HOLDINGS INC,"327,422","15,014,214","24,268,520"
CHAMPIONX CORP,"338,648","6,166,005","11,246,527"
CHAPARRAL ENERGY INC NEW  WTS,818,"52,052",0
CHARLES RIVER LABORATORIES,"96,653","14,827,036","19,966,579"
CHART INDUSTRIES INC,"58,312","4,841,438","8,416,755"
CHARTER COMMUNICATIONS INC A,"181,725","60,693,571","54,328,513"
CHEMED CORP,"76,772","32,543,497","41,654,952"
CHEMOURS CO/THE,"257,220","6,112,530","5,805,456"
CHENIERE ENERGY INC,"572,709","60,675,997","100,126,794"
