0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
IPSEN,"173,043","19,902,656","21,235,046"
IPSOS,"72,718","4,045,087","4,590,466"
IQIYI INC ADR,"775,769","7,685,146","2,847,079"
IRAY TECHNOLOGY CO LTD A,"4,228","98,929","66,731"
IRB BRASIL RESSEGUROS SA,"121,009","942,789","688,443"
IRB INFRASTRUCTURE DEVELOPER,"1,979,528","877,959","1,539,959"
IRCON INTERNATIONAL LTD,"369,216","1,048,418","1,193,935"
IREN SPA,"1,238,334","2,629,881","2,573,530"
IRESS LTD,"311,492","2,190,575","1,674,644"
IRISO ELECTRONICS CO LTD,"35,700","1,121,354","674,674"
IRON FORCE INDUSTRIAL CO LTD,"25,000","78,227","86,695"
IRPC PCL FOREIGN,"14,757,000","1,577,191","659,486"
IRPC PCL NVDR,"2,687,500","141,770","120,107"
IS DONGSEO CO LTD,"23,462","933,945","425,277"
ISC CO LTD,"17,956","1,130,138","854,427"
ISETAN MITSUKOSHI HOLDINGS L,"1,695,286","18,779,885","31,827,451"
ISHIHARA SANGYO KAISHA LTD,"6,400","55,117","64,613"
ISRACARD LTD,"338,290","1,114,580","1,130,567"
ISRAEL CORP LIMITED/THE,"6,603","2,050,755","1,476,000"
ISRAEL DISCOUNT BANK A,"2,354,429","9,656,259","11,743,395"
ISS A/S,"298,292","5,576,193","5,118,589"
ISU SPECIALTY CHEMICAL,"33,576","1,599,286","1,163,513"
ISUPETASYS CO LTD,"87,843","2,307,106","3,746,012"
ISUZU MOTORS LTD,"1,869,781","21,395,702","24,770,315"
ITALGAS SPA,"893,897","4,940,085","4,408,893"
ITALTILE LTD,"18,366","10,129","11,134"
ITAU UNIBANCO H SPON PRF ADR,"3,022,509","19,476,374","17,651,453"
ITAU UNIBANCO HOLDING S PREF,"13,289,966","90,075,563","77,546,435"
ITAU UNIBANCO HOLDING SA,"954,300","4,718,635","4,826,251"
ITAUSA SA,"12,018,905","25,669,402","21,248,874"
ITE TECHNOLOGY INC,"441,000","2,274,361","2,317,731"
ITEQ CORP,"287,812","960,667","1,029,125"
ITO EN LTD,"102,400","3,123,275","2,216,602"
ITOCHU CORP,"6,377,399","157,297,695","311,376,922"
ITOHAM YONEKYU HOLDINGS INC,"55,320","1,715,609","1,477,061"
ITV PLC,"7,324,273","6,852,508","7,454,898"
IVANHOE MINES LTD CL A,"1,060,200","7,411,059","13,675,261"
IVECO GROUP NV,"362,384","2,730,625","4,066,407"
IWATANI CORP,"98,400","5,594,279","5,721,988"
IYOGIN HOLDINGS INC,"485,437","3,612,600","4,494,960"
IZUMI CO LTD,"69,800","1,817,510","1,395,919"
J FRONT RETAILING CO LTD,"1,117,336","11,506,714","11,651,940"
