0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
COMPAL ELECTRONICS,"14,418,739","12,489,750","15,422,588"
COMPANHIA BRASILEIRA DE ALUM,"39,800","40,039","49,871"
COMPANHIA PARANAENSE  PREF B,"5,010,620","8,991,702","8,389,517"
COMPANHIA PARANAENSE DE ENER,"927,700","1,618,701","1,384,597"
COMPASS GROUP PLC,"7,699,125","179,889,462","210,221,129"
COMPEQ MANUFACTURING CO LTD,"1,850,000","2,849,205","4,641,900"
COMPUGROUP MEDICAL SE + CO K,"39,905","1,702,134","1,017,886"
COMPUTACENTER PLC,"407,884","10,576,976","14,808,203"
COMPUTER AGE MANAGEMENT SERV,"71,442","2,763,552","3,095,334"
COMPUTERSHARE LTD,"1,304,412","17,896,741","22,946,135"
COMSYS HOLDINGS CORP,"657,072","12,682,419","12,625,945"
COMTURE CORP,"36,900","660,036","418,641"
CONCORD NEW ENERGY GROUP LTD,"9,430,000","646,900","724,759"
CONCORD SECURITIES CO LTD,"56,000","28,128","28,827"
CONCORDIA FINANCIAL GROUP LT,"5,405,900","22,608,361","31,798,226"
CONSTELLATION SOFTWARE INC,"257,036","128,226,521","342,256,654"
CONSTRUTORA TENDA SA,"126,600","299,747","245,020"
CONSUN PHARMACEUTICAL GROUP,"1,389,000","885,781","989,170"
CONTACT ENERGY LTD,"1,277,337","6,251,639","7,005,108"
CONTAINER CORP OF INDIA LTD,"400,505","3,752,393","5,006,664"
CONTEMPORARY AMPEREX TECHN A,"226,353","6,721,289","5,581,620"
CONTINENTAL AG,"199,443","17,906,392","11,307,585"
CONTRA CLEMENTIA PHARM F,"9,646","13,022",0
CONTROLADORA VUELA CIA DE A,"1,372,900","1,342,160","869,447"
CONVATEC GROUP PLC,"2,672,174","8,283,361","7,931,595"
CONVOY,"26,358,000",0,3
CORBION NV,"100,231","2,445,270","2,012,029"
CORE LITHIUM LTD,"2,820,055","2,192,270","175,154"
CORETRONIC CORP,"655,000","1,355,506","1,837,363"
COROMANDEL INTERNATIONAL LTD,"211,805","2,691,995","4,065,995"
CORONADO GLOBAL RESOURCE CDI,"1,283,522","1,454,107","1,015,800"
CORONATION FUND MANAGERS LTD,"530,753","975,230","1,043,623"
CORP ACCIONA ENERGIAS RENOVA,"69,798","2,927,666","1,438,526"
CORP INMOBILIARIA VESTA ADR,"21,756","763,230","652,462"
CORP INMOBILIARIA VESTA SAB,"1,476,000","5,270,060","4,418,009"
CORPORATE TRAVEL MANAGEMENT,"205,861","2,594,510","1,823,051"
COSAN SA,"1,787,576","7,149,443","4,357,558"
COSCO SHIPPING DEVELOPME A,"309,600","112,845","109,419"
COSCO SHIPPING DEVELOPMENT H,"7,376,009","1,026,687","1,067,638"
COSCO SHIPPING ENERGY TRAN A,"153,200","356,919","327,558"
COSCO SHIPPING ENERGY TRAN H,"1,963,086","1,607,682","2,549,600"
COSCO SHIPPING HOLDINGS CO A,"12,897,435","21,856,079","27,364,111"
