0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
GJENSIDIGE FORSIKRING ASA,"285,673","4,710,824","5,119,217"
GLARUN TECHNOLOGY CO LTD   A,"61,100","124,859","114,322"
GLAXOSMITHKLINE   FOREIGN,"67,425","1,614,238","2,143,568"
GLENCORE PLC,"22,888,324","114,034,067","130,517,294"
GLENMARK PHARMACEUTICALS LTD,"232,532","1,834,590","3,431,379"
GLOBAL BRANDS MANUFACTURE,"80,000","170,194","183,222"
GLOBAL HEALTH LTD/INDIA,"109,491","1,145,087","1,717,872"
GLOBAL LIGHTING TECHNOLO,"25,000","49,845","50,013"
GLOBAL MIXED MODE TECHNOLOGY,"146,000","1,233,576","1,374,880"
GLOBAL POWER SYNERGY NVDR,"100,900","127,947","109,294"
GLOBAL POWER SYNERGY PCL F,"1,026,080","1,944,701","1,111,429"
GLOBAL UNICHIP CORP,"146,000","6,428,539","7,223,205"
GLOBALWAFERS CO LTD,"817,000","14,598,238","13,574,064"
GLOBANT SA,"69,854","8,590,711","12,452,177"
GLOBE UNION INDUSTRIAL CORP,"731,000","418,200","434,884"
GLOBERIDE INC,"34,000","1,099,623","452,319"
GLOBETRONICS TECHNOLOGY BHD,"136,000","35,756","42,667"
GLORIA MATERIAL TECHNOLOGY,"669,000","1,082,855","998,094"
GLORY LTD,"88,700","1,841,082","1,545,885"
GLYCONEX INC,"9,000","7,031","8,350"
GMO INTERNET GROUP INC,"87,600","1,489,623","1,337,480"
GMO PAYMENT GATEWAY INC,"50,000","2,690,884","2,751,780"
GMR AIRPORTS INFRASTRUCTURE,"3,738,402","1,977,487","4,329,547"
GN STORE NORD A/S,"246,145","5,872,261","6,866,273"
GODAWARI POWER AND ISPAT LTD,"42,139","571,962","537,732"
GODREJ CONSUMER PRODUCTS LTD,"572,308","6,411,616","9,443,288"
GODREJ INDUSTRIES LTD,"105,391","773,364","1,081,732"
GODREJ PROPERTIES LTD,"164,311","3,644,077","6,321,861"
GOERTEK INC  A,"427,375","991,853","1,142,071"
GOKE MICROELECTRONICS CO A,"8,200","65,971","59,348"
GOLD CIRCUIT ELECTRONICS LTD,"538,400","1,471,704","3,435,378"
GOLD FIELDS LTD,"1,532,096","15,852,700","22,942,002"
GOLD ROAD RESOURCES LTD,"1,908,424","1,467,243","2,179,468"
GOLDEN AGRI RESOURCES LTD,"9,425,400","1,905,284","1,877,782"
GOLDEN SOLAR NEW ENERGY TECH,"1,842,000","1,537,189","865,865"
GOLDSUN BUILDING MATERIALS C,"2,127,381","1,880,062","2,826,350"
GOLDWIN INC,"60,200","3,865,579","3,298,548"
GOLDWIND SCIENCE + TECHNOL A,"157,199","194,013","144,700"
GOLDWIND SCIENCE+TECHNOLOG H,"949,544","928,080","386,808"
GOOD WILL INSTRUMENT CO LTD,"40,000","52,269","51,292"
GOODWE TECHNOLOGIES CO LTD A,"7,789","105,800","59,872"
GOTION HIGH TECH CO LTD A,"76,984","256,685","201,931"
