0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
COSCO SHIPPING HOLDINGS CO H,"5,381,915","5,030,466","9,416,318"
COSCO SHIPPING PORTS LTD,"4,198,452","3,122,047","2,898,518"
COSMAX INC,"13,144","1,115,313","1,858,218"
COSMO ENERGY HOLDINGS CO LTD,"152,100","5,020,724","7,658,815"
COSMOAM+T CO LTD,"27,651","3,390,138","2,896,677"
COSMOCHEMICAL CO LTD,"43,270","1,275,159","880,175"
COSMOS PHARMACEUTICAL CORP,"28,400","2,562,324","2,290,755"
COUNTRY GARDEN HOLDINGS CO,"22,729,836","11,628,638",291
COUNTRY GARDEN SERVICES HOLD,"3,068,028","8,206,534","1,894,089"
COVESTRO AG,"308,112","17,342,487","18,096,105"
COWAY CO LTD,"345,876","20,471,379","16,131,674"
COWELL E HOLDINGS INC,"406,000","892,103","1,276,652"
CP ALL PCL FOREIGN,"9,200,200","18,763,061","13,788,705"
CP ALL PCL NVDR,"9,570,627","21,117,334","14,343,879"
CP AXTRA PCL FOREIGN,"2,379,900","2,495,637","1,767,212"
CP AXTRA PCL NVDR,"79,100","61,973","58,742"
CPFL ENERGIA SA,"311,900","1,980,027","1,837,929"
CRAFTSMAN AUTOMATION LTD,"13,902","787,784","923,866"
CRANSWICK PLC,"99,951","4,102,247","5,616,401"
CREATE RESTAURANTS HOLDINGS,"179,000","950,767","1,224,048"
CREATE SD HOLDINGS CO,"42,800","877,432","961,843"
CREATIVE + INNOVATIVE SYSTEM,"85,141","787,285","671,108"
CREDICORP LTD,"378,989","65,761,974","61,142,321"
CREDIT AGRICOLE SA,"1,896,404","28,966,732","25,898,336"
CREDIT BANK OF MOSCOW PJSC,"24,436,400",0,0
CREDIT CORP GROUP LTD,"106,792","1,381,135","1,067,682"
CREDIT SAISON CO LTD,"349,478","5,745,909","7,230,283"
CREDITACCESS GRAMEEN LTD,"106,573","1,638,065","1,689,734"
CRISIL LTD,"25,138","1,092,084","1,281,838"
CRISPR THERAPEUTICS AG,"143,140","10,338,444","7,730,996"
CRODA INTERNATIONAL PLC,"191,338","11,402,914","9,551,609"
CROMPTON GREAVES CONSUMER EL,"1,028,410","4,323,117","4,998,916"
CRRC CORP LTD   H,"21,507,000","11,521,577","13,883,659"
CRRC CORP LTD A,"1,449,791","1,357,479","1,491,470"
CS WIND CORP,"34,079","1,780,647","1,225,508"
CSC FINANCIAL CO LTD A,"237,767","767,915","626,630"
CSC FINANCIAL CO LTD H,"2,968,000","2,907,720","2,201,149"
CSG HOLDING CO LTD   B,"2,566,039","879,042","847,962"
CSHG LOGISTICA FI IMOBILIARIO,"57,031","1,815,309","1,664,898"
CSL LTD,"814,913","111,875,559","160,665,579"
CSN MINERACAO SA,"865,141","1,090,202","808,384"
CSPC PHARMACEUTICAL GROUP LT,"17,297,040","15,612,272","13,780,256"
