0,1,2,3
,International Equity,,
Security Name,Shares,Book Value,Market Value
XP INC   BDR,"670,449","16,148,203","11,804,933"
XP INC   CLASS A,"5,277,863","128,810,082","92,837,688"
XP LOG FII,"50,570","1,066,305","909,350"
XP MALLS FDO INV IMOB FII,"71,313","1,640,178","1,447,586"
XPEC ENTERTAINMENT INC,"37,368",0,0
XPENG INC  CLASS A SHARES,"1,572,700","23,297,560","5,952,480"
XTEP INTERNATIONAL HOLDINGS,"1,612,000","1,792,160","993,133"
XUJI ELECTRIC CO LTD A,"203,100","775,353","957,244"
YADEA GROUP HOLDINGS LTD,"2,420,000","4,942,294","3,059,579"
YAGEO CORPORATION,"1,799,412","33,457,017","40,490,445"
YAKULT HONSHA CO LTD,"1,316,900","35,353,273","23,548,818"
YAMADA HOLDINGS CO LTD,"2,969,520","11,121,654","7,974,839"
YAMAGUCHI FINANCIAL GROUP IN,"409,200","3,449,995","4,643,761"
YAMAHA CORP,"234,000","6,754,818","5,478,330"
YAMAHA MOTOR CO LTD,"1,492,995","10,596,899","13,819,934"
YAMAMA CEMENT CO,"165,770","1,459,413","1,473,619"
YAMATO HOLDINGS CO LTD,"1,343,371","21,016,558","14,769,064"
YAMATO KOGYO CO LTD,"67,400","2,594,758","3,279,077"
YAMAZAKI BAKING CO LTD,"215,800","3,486,986","4,429,772"
YAMAZEN CORP,"110,300","842,914","973,001"
YANBU CEMENT CO,"112,740","889,200","827,910"
YANBU NATIONAL PETROCHEMICAL,"1,223,346","16,136,987","11,951,069"
YANCOAL AUSTRALIA LTD,"661,133","2,473,603","2,922,044"
YANDEX NV A,"608,396",0,61
YANG MING MARINE TRANSPORT,"2,901,000","9,497,936","6,670,928"
YANGLING METRON NEW MATERI A,"168,600","635,435","446,854"
YANGTZE OPTICAL FIBRE AND H,"195,500","298,162","194,063"
YANGZHOU YANGJIE ELECTRONI A,"23,300","145,691","124,146"
YANGZIJIANG FINANCIAL HOLDIN,"3,556,100","1,512,619","918,393"
YANGZIJIANG SHIPBUILDING,"5,192,900","5,303,834","9,425,961"
YANKUANG ENERGY GROUP CO A,"9,961,724","33,134,264","31,014,210"
YANKUANG ENERGY GROUP CO H,"5,393,058","6,214,371","7,709,593"
YANLORD LAND GROUP LTD,"945,300","736,448","306,908"
YANTAI CHANGYU PIONEER B,"468,228","990,493","564,344"
YANTAI EDDIE PRECISION MAC A,"25,438","59,970","48,884"
YANTAI JEREH OILFIELD A,"89,234","411,854","428,774"
YAOKO CO LTD,"44,900","2,404,279","2,719,238"
YARA INTERNATIONAL ASA,"285,235","10,878,498","8,240,274"
YASKAWA ELECTRIC CORP,"365,500","9,802,731","13,126,579"
YATSEN HOLDING LTD ADR,1,0,3
YC CO LTD,"75,000","44,995","47,393"
YDUQS PARTICIPACOES SA,"428,600","1,478,287","803,279"
